"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.220664639908588,0.00693313026569375,0.592824701843315,0.193494861069969,0.15542622271089,0.149158890243182,0.0208456273377881,0.0562593739600722,0.130780348601704,0.768890533442097,0.518220521725483,0.112096152105524,0.726872029624198,0.0126778669414891,0.232752091443439,0.112724502785911,0.14143535844379,0.0472416723411735,0.179948887798873,0.0247724841900838,0.0480914392124714,0.0635598074713131,0.223094159674156,0.10528035388363,0.00189577930476748,0.173923797604477,0.150673572974695,0.630666933664213,0.277599253327196,0.034407682663905,0.0408136922008111,0.0497236340139001,0.414259459236191,0.520884202433522,0.110125329144308,0.183622299958638,0.207161471009041,0.0297666625633688,0.148011850945449,0.00908224129801039,0.0774592706114723,0.129863470814911,0.253607870487565,0.05292343337664,0.132871909361826,0.262098744999353,0.418247832497171,0.100148590509683,0.390156001919932,0.0611782276744953
"SNP-44_2",0.670314888323402,0.73277843553613,0.0030027393365023,0.18702616207848,0.152343548982373,0.24303975728787,0.200009225327925,0.398933649787323,0.791895004078043,0.440423283138037,0.0221480166160533,5.93074678256755e-09,0.0251883484571401,0.343521374054023,0.364581245286638,0.366088157820385,0.0648678953987695,0.0174084860149929,0.127518296218249,0.30520791449365,0.503475493848152,0.10221947872248,0.583845905798208,0.00657665586852396,0.0242779862305232,0.666623930510151,0.549706619633019,0.525167239880601,0.00179595461476201,0.120088129183101,0.174034533485782,0.0100441334060014,0.0176516852743593,0.0391751244383133,0.071311407542614,0.344323123528487,0.115918594871635,0.481236913496384,0.1022591414648,0.652519708857139,0.339434752884104,0.0020289400830138,0.142015525971771,0.620119336952334,0.0931553466818866,0.231115077355153,0.0062949187530098,0.00577963690956229,0.0396850504059967,0.344180986209913
"SNP-59_1",0.0565121882669559,0.302452123064222,0.388313283286438,0.45897111655252,0.625894073596714,0.421929372724017,0.628366168555535,0.0191216477599521,0.354087675920246,0.0168336729726132,0.750610510249578,0.0663008607872007,0.0486015302116797,0.0536704518051743,0.0909029803206098,0.727324586814011,0.0853535118528598,0.194998885566837,0.248584939859201,0.489688092013938,0.312902624485211,0.270097620251149,0.416260085407718,0.234615848780737,0.0435905266562392,0.177266302436878,0.757040252549372,0.0867264525714047,0.057178876951693,0.44802644384217,0.179126262905696,0.0110392174856264,0.811922469797327,0.607027992378143,0.642871950661419,0.650252630952774,0.00683552310486979,0.0155553803303847,0.0970315162249025,0.154626319580541,0.146057796749378,0.122881678158082,0.29735353998847,0.486326738460567,0.620330974677761,0.425897766924061,0.399111586288811,0.287036116400976,0.00972898608150463,0.372947159359149
"SNP-59_2",0.258397523053818,0.531119553709596,0.183845163015101,0.363549224139652,0.238480879070259,0.299186909372908,0.248594768444787,0.0324181917539664,0.491786493485315,0.161671880334858,0.0805853217966584,0.321973433009038,0.484909397998671,0.551660511802399,0.552479261685607,0.068082885219104,0.0239963331873561,0.246785071509655,0.224975245594178,0.0159129777432455,0.789092367193167,0.114092240680503,0.170330690066081,0.229369707211391,0.39449456665503,0.00895541816508472,0.261053663815868,0.334796418619841,0.191297777310615,0.1845968103747,0.0209060353234174,0.0529179974755258,0.0673699361237493,0.440492938387485,0.635550497914679,0.115824037302908,0.0866388690545844,0.090728806557308,0.136609255988307,0.0273122683038282,0.291362887330592,0.224057651675543,0.289021638489266,0.675268400734816,0.870404223782756,0.296580371938763,0.824663071768299,0.160190321169205,0.643703289705669,0.0755421890968001
"SNP-63_1",4.52650376262326e-05,0.000135859204439804,0.0140991082709169,1.12717767376364e-06,0.000561449331854091,2.99634282052708e-07,1.18438509222329e-07,4.56622861744194e-09,0.00982195257885254,0.00166193902933565,0,0.000366680282460185,0.27334341898228,0.000540216064684462,7.98395570255603e-08,1.12203597524285e-08,0.0168973157011565,1.32513008576394e-07,4.13416800792987e-09,0.000176287049682457,0.00446749723988826,0.00308212343457059,1.30945214649181e-06,0.00111808328428187,0.000551630021178307,0.00055426255483948,0.00237767922061516,4.60260182673938e-08,0.00392087079411618,0,0.0043879248292964,0.0141420094441651,0.0135503971644397,0.000100530885407365,2.41177853009828e-08,0.00661584422045081,0.000828950859824299,0.000562133554480315,0.123402257547459,0.0186972348800277,0.000710925963561182,0.88779739719229,0.000132442358132514,0.571632218179426,0.0324248687050265,0,0.0206881855921833,0.0495713782328159,0.00333789401738449,0.00233447502012389
"SNP-63_2",0.00169633727289864,3.71866963614604e-05,0.336146664677917,0.854297899290556,0.031006309985645,0.0156754127005863,0.0717728147295078,0.00223503472377862,0.0628732515001618,0.379866351665832,0,0.304779023669147,0.879742999255992,0.0351555843419558,0.000582197581816657,0.0251832209903634,0.231339790891898,2.80809034358676e-07,0.0263456752866462,0,0.115818661655035,1.36478899304127e-06,0.55102948313017,0.00325082736948867,0.0217944411752121,0.0822803135253856,0.000542605372372718,0.00218336497757388,0.893020113685938,0.100612247269935,0.428189008405584,0.0635421304176338,0.0022367104748322,0.116824248847865,0.000248525901400242,0.0487517829331228,0.170745255915127,0.0184176627812521,0.0315920083693292,0.00762663515802753,0.0686965607535263,0.671241591968537,0.00347401192079266,0.158108930759943,0.000148721263063035,0.210348624078515,0.0154982394195848,0.0745409798583938,0.0419166150114713,0.486998395644099
"SNP-76_1",0.00122427795515612,0.000592385237925597,0.323984080639894,0.0190358777427917,0.0380718155113271,0.130607754285661,0.0284666496723586,0.00117883265742458,0.877392920854307,0.00271698884266969,0.00608949967371919,0.585576174507106,0.643432512312834,0.214090387978006,0.0490512416732065,0.343201919395915,0.131524899565921,0.138131099692396,0.0555392785874201,0.000593097252073127,0.650228042224325,0.0879202726591899,0.165487314115292,0.15803902190523,9.55550819550565e-08,0.0359000384457139,0.0609277030182127,0.00051989037921496,0.660529380378482,0.0474577494925573,0.0645622937743362,0.0947850276923651,0.0754005928796021,0.168644089782963,0.00870997559265252,0.0593163989609163,0.0455013426526566,0.0629008959896653,0.311704586057842,0.122297123464014,0.000559023454308694,0.0871202496928905,0.105322337635841,0.455811852250232,0.789131463667537,0.327633778051016,0.0737928931361923,0.399559230591616,0.0299585940125396,0.104232241133148
"SNP-76_2",0.0089528189940109,0.00266909620535133,0.0265762235390995,0.159708206494045,0.00521648788208984,0.0143472911156968,0.0878812983193686,0.0310792902419837,0.320667490310163,0.481279507603878,4.77356280348836e-07,0.606900330879889,0.394167719624547,0.000866039670034069,0.0229865526452635,0.343893296419648,0.382573197564232,0.268999331084252,0.056803999263916,0.00304163129323853,0.00576642126946891,0.0306394426913219,0.294880235969317,0.323142980115021,0.00118681550528574,0.0289009240747549,0.00727948004647139,0.0105571684051238,0.636770685592133,0.0362462192036904,0.00163460435991525,0.14163855945698,0.00526527924398812,0.205274783249878,0.00348927789611231,0.0426805844913439,0.0682578002730762,0.0106403693561871,0.135226830456005,0.00127190440739678,0.0456384300047312,0.61727772131694,0.250205107018881,0.0689726381162342,0.233620896064093,0.264369369936213,0.149500841345861,0.0439391517432198,0.0113495674114145,0.136933685094828
"SNP-83_1",0.0561580032057701,0.128026223587034,0.328995182158564,0.549702898452308,0.296672289523383,0.242153633425753,0.195832786042437,0.459213393578513,0.132760364240674,0.0346901124679095,0.249568041578931,0.368162702467562,0.410528518079418,0.0285353636300991,0.00613463896439936,0.24677164477315,0.690254911900104,0.110021926130603,0.175043379227953,0.294246220690718,0.0278186018147033,0.0506617959552483,0.173534380278131,0.287260561120972,0.132950705945229,0.195253012632604,0.371475870009968,0.381517857744135,0.321078522398093,0.332639166909568,0.206864599492334,0.214706868166491,0.0893762316459056,0.247992259005759,0.411340003651184,0.251937872216868,0.0439333554651219,0.849857757766045,0.163172486441528,0.304096202112051,0.627535823417828,0.356826589388753,0.115767889377905,0.350759910445216,0.0750610718651668,0.0626922049053564,0.325022072916837,0.508020003050752,0.241351404512979,0.174199529742349
"SNP-83_2",0.0480650129215525,0.122507605530225,0.0963205273549681,0.00673116765095449,0.00477019317270055,0.014432699116749,0.157425008470268,0.284895231832763,0.00298578295654972,0.00637184680278113,0.0211462405300658,0.094672334731484,0.168432386380615,0.0790732399311641,0.0402403210665373,0.00419032704188027,0.0325328798959031,0.108199975967268,0.0358741315603303,0.257813203587905,0.00314244775661476,0.0318026723676383,0.137375515135502,0.0156125593493726,0.00545719634981379,0.15163197779129,0.154104801374805,0.0426922457447472,0.214704740629251,0.0273693657159417,0.0481512811790037,0.00619357074839932,0.204941020699962,0.277226324547918,0.0430635982772808,0.165783599412877,0.00151325968810478,0.460324783380451,0.00431401740503845,0.0359233672410354,0.252787628242651,0.0145682946439475,0.00453596152925995,0.0905238809167082,0.245666728981523,0.0886337475985023,0.631049403391267,0.187846017923703,0.0599046372750202,0.156007276194936
"CD46-1",0.758655113814996,0.353119399049675,0.119868245128811,0.0125637631811646,0.145657216708367,0.481839247830972,0.071327224673372,0.314986783469163,0.0950240201806984,0.0484100053243448,0.207149336419424,0.0968889981460884,0.188160896197702,0.428847456216585,0.592831522793952,0.147781678771877,0.256910766307784,0.0781523281143931,0.239631209200137,0.307464062275774,0.421046499830858,0.213743525068711,0.356074619187507,0.0245107328292777,0.627095339759268,0.182580304032356,0.149893872287257,0.461765688341772,0.229232405193154,0.0139042046229922,0.0633847116368499,0.0244160498145363,0.274057113344814,0.0903075400809659,0.0182842692041068,0.0691938871068373,0.410687766132348,0.325283037274897,0.355502420682396,0.12537969596279,0.336705814554255,0.53030632473114,0.737124940317941,0.0437054764264401,0.1384407165796,0.270815061494192,0.540677129895792,0.83386994912638,0.788888946861437,0.121257648637199
