"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.627736259045336,0.933824630939361,0.370410311110529,0.548560967912631,0.684499123523312,0.898164737471108,0.960236882075673,0.937981489556223,0.815351149042553,0.371381039174075,0.658700980957158,0.924325229441848,0.379580020748144,0.912596495118116,0.542532441276444,0.958345441662665,0.932981266595157,0.928957021386631,0.363427550551786,0.96117418768699,0.962508665925889,0.804862506544643,0.534067841719362,0.949625932603535,0.981994986219309,0.859391555322105,0.91197568279995,0.393026122116238,0.702801119064513,0.9687928291739,0.877049635473233,0.836868228226258,0.24622922433571,0.492005917033518,0.90480138182465,0.747127830588685,0.850463457245661,0.911574799644005,0.857995424121675,0.943988691717136,0.829980674561475,0.881357530822127,0.668106548044777,0.960977040632724,0.90158870126213,0.421879546292028,0.652174517524236,0.818800802900677,0.563787296759607,0.778043786132774
"SNP-44_2",0.225958631540228,0.413158149257777,0.98182804432893,0.617779101602833,0.685412250017886,0.901445936012628,0.90942824209023,0.701933967491592,0.177577630163211,0.443491405566831,0.969939683367235,0.987244788903387,0.92151636129078,0.440892319435271,0.772635604175658,0.763104082158308,0.966305139544103,0.946547536703068,0.87659881291737,0.652621872397251,0.688008345900098,0.874646894402045,0.184210991658119,0.985430712179737,0.952426106960521,0.356112364766006,0.635426548897107,0.43639484378459,0.976209125648531,0.852640182483388,0.912543739202357,0.984453222642249,0.973670327014359,0.957231838007548,0.902474426353117,0.689292521584221,0.834479149628321,0.650003509477439,0.835752648046032,0.416256505959683,0.662073657272539,0.965299844585821,0.803291385856881,0.305892385729911,0.916496629593859,0.714136911523824,0.972529508439726,0.993105071168504,0.919968281857976,0.525943805695468
"SNP-59_1",0.952626862535292,0.864573097910338,0.281715263695804,0.3105960110509,0.45832694443544,0.470569739169707,0.566497697390154,0.977444123284571,0.627495874814015,0.961239442794556,0.191312126607475,0.918750616401052,0.93900011924824,0.900263023220558,0.952128502223617,0.416212544807978,0.950021941706792,0.8961536983923,0.821881750855891,0.687866206228271,0.618630291563988,0.595139177108187,0.645400299609486,0.717298432200872,0.980285345173189,0.730725130790462,0.379061938953001,0.952838865995718,0.974865570156993,0.533098687056007,0.769491390282462,0.988912506004959,0.251364254985265,0.45731316321118,0.128852270116362,0.477699565657401,0.960306989672088,0.977671323720142,0.951825099578093,0.620521462887964,0.866854101598575,0.89506247278912,0.466609037115414,0.572581185747161,0.301524440033761,0.489104818154059,0.588465026231075,0.673552396984147,0.976784829786828,0.66527547639134
"SNP-59_2",0.82264928283888,0.549792866868302,0.888306287477264,0.338815073071458,0.74727210764192,0.675063369200912,0.856743309184533,0.94224011686739,0.468761544148191,0.750538163422166,0.921648397817908,0.513739578104334,0.505543904664411,0.650550756613127,0.448316099400262,0.883422578341772,0.964471248794591,0.744805923477977,0.698476687682896,0.947989368189898,0.177664469926394,0.759954924394099,0.91164149546786,0.829639943012144,0.618096832260036,0.926969236071418,0.46967344006208,0.829298202402226,0.867742042701235,0.854247719778045,0.933806298624878,0.956722965240358,0.950095856232612,0.241210192201771,0.449792740745323,0.357307000769106,0.772718074941844,0.92050927751601,0.920084583277618,0.959326159263727,0.693705742294202,0.761883818444176,0.729428318687435,0.31758343402001,0.137656447239875,0.782710077809534,0.205025373881431,0.614486944587134,0.389797034288366,0.744978764955558
"SNP-63_1",0.993986499669795,0.979232294878955,0.955039852009914,0.985007738822454,0.973181924074467,0.993406962248535,0.952089630723815,0.987733914363736,0.955355356361472,0.982969803037515,0.989540075479692,0.985807095132902,0.732499541149252,0.962706800426621,0.984431424437192,0.983248047116163,0.955623566566469,0.983717947619171,0.973452936920343,0.984558851264391,0.971769208615088,0.952826797671576,0.985797967285073,0.985241857056881,0.965046726688382,0.990449053291806,0.965394494556766,0.983751571415874,0.986132132158281,0.98263250889395,0.944058896095006,0.982646646655981,0.984869616151447,0.995296365592792,0.983159388934378,0.954620082215328,0.978213563355895,0.961181433340049,0.832947415866643,0.857229693854337,0.991282948243066,0.110728697633501,0.990049710334778,0.403455946215267,0.959012959652322,0.981841297910642,0.958572909911635,0.957071932570705,0.977354396315128,0.971554199038083
"SNP-63_2",0.987285502555117,0.913550786053596,0.652372124906645,0.210643057088565,0.931644625949141,0.923771266644633,0.940474072814326,0.980995470531767,0.934369638191463,0.718833168545714,0.991659127131531,0.747356515400213,0.140377758077815,0.94451256825841,0.979626241058008,0.93230771614213,0.718388082418921,0.9711557905788,0.880078107598785,0.982220432956249,0.856863537972739,0.97193945057349,0.443973033379565,0.982234569073996,0.894554367606198,0.874042126698971,0.986477007441881,0.952901211335594,0.160272035679786,0.855751976364354,0.391803962278872,0.960514544851331,0.944133385191233,0.903326275238462,0.982051288313812,0.966880830053071,0.821628259751403,0.974697692414494,0.960941757886318,0.928309531710305,0.806452038314408,0.361922808671469,0.957045795206576,0.89008265761147,0.996891623396746,0.838833568857259,0.98830610366211,0.943673393266138,0.950687107088529,0.44531302536352
"SNP-76_1",0.984957155912616,0.980887711295419,0.719703646487008,0.970948933588081,0.957898045592512,0.88318176309663,0.967701037223516,0.985728692977032,0.211729839339952,0.985213150132655,0.967824213994927,0.411445337878881,0.424735883838912,0.852272266424928,0.900311734500382,0.642389453353101,0.90631330891394,0.792435354845253,0.835531933568789,0.87208178126893,0.309481478737247,0.844397503658082,0.90099654461174,0.89059032633044,0.982860510552863,0.926207920822138,0.785640886630388,0.976321126006446,0.287259216904061,0.859182170056676,0.88114209205358,0.836741545833648,0.649119540864252,0.826579978195959,0.982094821633023,0.937066941929579,0.944049370424536,0.972947586723255,0.731810801851035,0.800772854586208,0.98501228245519,0.923041358616511,0.923464123528357,0.522975036139743,0.302181568818038,0.764636812131205,0.945570894135074,0.587563833734938,0.973905717443919,0.892263245646928
"SNP-76_2",0.863703092689482,0.978974272119571,0.966854767029674,0.819671330753787,0.905589963126104,0.752909165799796,0.783865943681281,0.75266882749839,0.715814756285532,0.59167603930981,0.984317491950259,0.394274046520609,0.593635841433467,0.970241061119508,0.975199803455384,0.585594884526241,0.707822670920935,0.362554259324686,0.970966257282028,0.977805856931116,0.97559264723105,0.908224935102462,0.72621855887611,0.556039782043968,0.992809364685069,0.687354436864247,0.955253426388127,0.981374491820601,0.387144169020508,0.918392759272979,0.987927258462081,0.889748062768869,0.990085990439368,0.841483317904383,0.969836566488083,0.904553124359788,0.962086567638296,0.850557264862438,0.795535606860965,0.886403986314436,0.934111547296877,0.399395311959879,0.720559620758898,0.926429579916325,0.704724470572771,0.630965936578712,0.809377601104123,0.962795076513237,0.970147179961043,0.830866088193281
"SNP-83_1",0.920297166190592,0.904512807143476,0.666544417028847,0.478548954733573,0.825278178276871,0.794022323743289,0.789626268457709,0.617079227263991,0.912840077236471,0.964663987386165,0.73433070561695,0.635587612210059,0.543375128262917,0.925913560969866,0.969388835456795,0.813908184669701,0.60232245769702,0.899492601530697,0.842095092143708,0.636642253255011,0.96746050145709,0.961566114695454,0.876707366270478,0.726097374741698,0.878098902242131,0.895128667145032,0.692342034070326,0.551450257121064,0.738712955689606,0.266500294487715,0.89275358446592,0.878040624485849,0.7451689880893,0.670882744569637,0.430117998115014,0.4569663505704,0.919927388643734,0.226152590771848,0.837874061857849,0.490026847878528,0.43378163933184,0.498745510190072,0.884313824400595,0.768977250550915,0.928150401495382,0.875031127756595,0.658704310031245,0.505128482447838,0.77537884094283,0.906850729933018
"SNP-83_2",0.792658380285995,0.641594253653321,0.528561797641524,0.983929145589589,0.970589348398035,0.952887677572887,0.919921563726959,0.52047668681318,0.928041230054927,0.963438884948173,0.904744740658073,0.4910169836256,0.864268437140197,0.590856966002209,0.74735068053705,0.986169306553151,0.953171037521057,0.944908048621159,0.861062586095568,0.85445037376198,0.959600150776764,0.964940769585167,0.79260077450253,0.865773394988416,0.841001609920116,0.718508588583851,0.881433622409656,0.91011730955729,0.862502809843335,0.67971188390069,0.819648180809273,0.960068490411137,0.885631988048393,0.590003121068274,0.906295922682913,0.864343713868037,0.908663627720626,0.674685672701787,0.950587859574283,0.911520285341175,0.733674682392136,0.958511048216031,0.924042693657815,0.848638240682899,0.748049645176781,0.898161825817398,0.397646603903975,0.690044398566492,0.867899517474653,0.639551508768465
"CD46-1",0.393931197941528,0.785679822374465,0.856853451812002,0.964279823523558,0.727756079509408,0.661548341909581,0.969431176394128,0.356624133365465,0.679996535638321,0.935746018408927,0.6528550619,0.924606018592348,0.893191551001722,0.700596158920453,0.411570009222118,0.633977332625815,0.75460481560536,0.889820246205145,0.702104731347792,0.562436997879107,0.650830689521958,0.81713424723703,0.659706644366278,0.90918048135935,0.318809320606843,0.853424021500235,0.929481191939577,0.347612677876863,0.791246722835887,0.922035920965797,0.962631259953829,0.977581059050957,0.823698608826868,0.904238854073639,0.983766802743195,0.946571892980843,0.639382396670891,0.38816918639406,0.76318807046893,0.79419536500506,0.450848877485911,0.515730918989094,0.180291917036559,0.900046268224019,0.815022046002072,0.814090163772643,0.524119831356668,0.100550796543789,0.211534146110918,0.839587082983681
"CD46-2",0.803819161122614,0.753990863042593,0.108185294207368,0.384269910149049,0.37330448867969,0.254835507530651,0.507021677686711,0.264492425114116,0.793525868542929,0.413623892589815,0.976479495432003,0.523683538963034,0.796799579674985,0.976597139146251,0.746931903606302,0.855454544902716,0.284800327072369,0.439316751098991,0.945803998522927,0.54545929309988,0.334484530655798,0.565835146259783,0.510952545367548,0.730587470643494,0.776393109536944,0.20948399658663,0.410644749194787,0.772889246671323,0.401165170947274,0.498835776131049,0.939502441693581,0.239206331357619,0.438157377511893,0.800345297990542,0.932006290316863,0.792925418262437,0.914018804191054,0.796293649086952,0.907461461806496,0.375324424668997,0.494651571943979,0.54880670352578,0.497517651970922,0.269106640927166,0.219980978843798,0.531329151941381,0.474094130819238,0.0439800006858644,0.814877927672909,0.776724528833649
"CD52-1",0.692404732366169,0.590070457735464,0.494960386645718,0.656112243338893,0.733890576812684,0.711942763822818,0.520059856392181,0.274633280482451,0.893578857852278,0.8533169027136,0.841463921449721,0.825570920168035,0.234825076355414,0.795085038558494,0.703759603529959,0.740118785632493,0.839600437192387,0.739988331091575,0.692510602999665,0.888513240224146,0.457730896760048,0.611528067302259,0.959546266164361,0.769210962945159,0.588438448148311,0.528935274519712,0.95383821158906,0.503668005216153,0.787073471672322,0.904934794305035,0.840437905545154,0.669813402319476,0.554990813661326,0.117405072173314,0.587843908463182,0.277993014657175,0.527143798978411,0.452104315058248,0.766816516574675,0.649990498138976,0.845551728404488,0.387651896019449,0.898308387082624,0.937942336761821,0.513242499186667,0.255165449256815,0.372073599869873,0.443441408403189,0.125500838064555,0.0716266711417174
"CD52-2",0.98096125323244,0.964772355637093,0.513207604273012,0.94817859560042,0.988707322680639,0.9780317846236,0.073264611475486,0.955124808488878,0.858451474286921,0.979913344765479,0.982102094610398,0.553630552418306,0.987996348685173,0.517648309718685,0.988148905171881,0.863947237741811,0.946279101850908,0.977631528366796,0.704754634122764,0.991292679328353,0.909485151048103,0.967640128685891,0.658067909322446,0.938411511538098,0.970394570192848,0.988220038745369,0.967546125986418,0.995781260502396,0.613938775889224,0.874320886579968,0.939074214482111,0.698363478079752,0.9594400039509,0.651058739701115,0.950193196155076,0.949355379729363,0.9017533980608,0.982636500872734,0.914903838311841,0.965893786286268,0.974209386747003,0.00574040309455329,0.92177867939113,0.698245931088908,0.878579424956518,0.852249570854513,0.729443473755318,0.734346309958586,0.809842962191369,0.95520743385131
"HSPA8-1",0.987946642499316,0.9586740654502,0.989366747615563,0.746182262981843,0.965223365236523,0.824715113024734,0.975919214741685,0.892017732877938,0.973099300247217,0.958742098714846,0.62296281378674,0.981437194678934,0.21768836925932,0.952212044790858,0.996147081124728,0.494733999004535,0.899358355536604,0.954104929163054,0.899077479524321,0.949103645226929,0.986409771471464,0.979120539205388,0.776693782305276,0.985056696431213,0.9664520244691,0.970185919145032,0.533926345059893,0.669995158331761,0.715490641089664,0.971187880598721,0.940154673542384,0.800157254692676,0.760248940732841,0.596321349900152,0.988703242771611,0.893182567018753,0.980153075809275,0.982454594061034,0.992196982223893,0.98501053679899,0.950205689819026,0.893153722162892,0.965171714365408,0.845526670751323,0.97758954483056,0.958297892539781,0.970067012192074,0.965388615986024,0.602299967805252,0.981286897818109
