"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.168026389340858,0.00507515989651597,0.00821817985359341,0.0132382191584692,0.0623307263937528,0.00649016673277658,0.174573798841606,0.0824321000452117,0.0699353255709751,0.116502297416854,0.0174153665822603,0.00548290337517154,0.00370810485520179,0.0833628019740219,0.173556036591629,0.0385127866932619,0.00618615949936807,0.00326241680333761,0.00276524555653401,0.0667820621859671,0.00217155450790107,0.310932899422158,0.493410026742861,0.081521234159792,0.0219536464212179,0.0304029346407872,0.00760199329368094,0.0648856808998824,0.0313685490306563,0.161296710610601,0.0736031370328274,0.0267706743156687,0.0180880379480538,0.0172779354236949,0.0459559816481624,0.030346902079715,0.0339575850540541,0.107537529407471,0.0633151073681568,0.202953721608724,0.339469008393494,0.00984620744632103,0.121299427672206,0.00660481085816644,0.0121760644072362,0.767194447243416,0.0258440118689701,0.944114132067804,0.186774758333182,0.00785423495791771
"SNP-44_2",7.53532716517996e-09,0.00131852502982735,0.479516950616634,0.0140883918374427,0.0237573383573652,0.0359946644385527,0.3221576130149,0.0187328634672097,0.0813695620853316,0.00352120517167454,0.171631963501023,0.424552869393596,0.0696507830902192,0.0570151661510331,0.0356338346948198,0.0978956538151975,0.00885383239599476,0.00437110942402352,0.00114240702184265,8.42780821990201e-07,0.00761865667798889,0.00486801408109605,1.68587233446728e-05,0.0627835784005539,0.00114409829101614,0.00226918699399137,0.0162921186560859,0.0856527227130319,0.048963063560553,0.0111395556848893,0.00679870383191794,0.188461340073292,0.148699001403214,0.00055528937135485,0.03953567877691,0.00116745548093111,0.124913510486756,0.0756122979352279,0.028703622807864,3.10286390228188e-06,0.153379329794916,0.791195953690221,0.0158473588932384,0.000217966398856017,0.000595367309429458,0.110817798762208,0.105903545723385,0.973128967399863,0.000136416956036449,0.0551373498870031
"SNP-59_1",0.0554750925880479,0.00259390461323372,0.242502372949032,0.0477381625921806,0.0855706252214148,0.0223804256557959,0.24893637008356,0.0332009355541745,0.0256328344531986,0.133976115308258,0.116433744161095,0.198114734304613,0.0443697975353435,0.599808684279513,0.0700237578379524,0.137078976489088,0.0153369936205673,0.00956412780993432,0.00980092491751461,0.0915870413053307,0.00933926278481934,0.111068894520942,0.0345992471431786,0.347183197333745,0.140316309476341,0.0194495399271523,0.0120643455377301,0.204135000430303,0.153868396842941,0.1584600104461,0.102778345358137,0.505909277208142,0.0705841624956203,0.0373315930846376,0.0989149196020402,0.0365114878867375,0.0348665358579331,0.0356149864899648,0.129269390528908,0.146118247645323,0.210363969213485,0.0785895658589626,0.0373544913959047,0.021195901564724,0.000583193282416703,0.162539298690633,0.0663979602876277,0.28397198893453,0.443728548520619,0.0513844532592467
"SNP-59_2",0.318954885410828,0.0129115186792744,0.0926533069083229,0.0301011446340306,0.277578925052985,0.143323791649691,0.299731040025502,0.0635129088997761,0.147518086219314,0.177965788684568,0.0539378055506682,0.0796279171971735,0.0290760800973899,0.26138607588342,0.176040012801177,0.223933310431406,0.0193402233116244,0.0209757126127371,0.0121345915448499,0.126114427827082,0.0255296940469105,0.10860723824037,0.388864186127831,0.321652221495521,0.0306017621504837,0.0272279074083148,0.0200436457757588,0.140570351224421,0.0488425194137144,0.220115881037044,0.0692701084785251,0.30534736022131,0.0715105577429245,0.105639637606763,0.143767874152903,0.121585966224244,0.0983250699135125,0.0639558848289554,0.267335797586119,0.488938866333231,0.349401683608249,0.0781025423632636,0.183511889316375,0.0306625321592124,0.018361747573345,0.183446735940624,0.0585912750409654,0.814089175679253,0.133300820576591,0.11248535811037
"SNP-63_1",0.268717392130191,0.000175182676943366,0.00341903736893845,0.00639725729318807,0.00246274444253047,0.00208295385855706,2.05639889941356e-05,4.31275248846674e-09,0.00119612104716449,0.000176362173428157,4.64476940138852e-05,0.000912993632166847,1.15150848546486e-05,1.53732533370032e-08,9.72902791729845e-06,9.36455152419056e-09,0.0007679311388998,0.000270439881138309,1.40000173302068e-05,0.042329508905557,0.010084604177357,0.350856883257074,0.950655362583173,0.00114998432290003,7.37356493640817e-08,2.84244155990265e-08,0.000126655614778673,0.00118797098780343,0.000219821586031191,4.53732675509603e-06,6.5403400667645e-05,2.77029974515841e-08,1.28989186742643e-08,0.0455725938058877,0.00170574372114729,0.00347776055925686,1.53019216155774e-07,2.14587280167322e-08,0.0123654846433464,0.0448850501679434,1.25894413118635e-06,0,0.00885899248892863,0.000154272483524478,0.000167357326436639,0.121194567457938,0.0066480905275369,0.976448414360481,0.592160543680007,0.000630617827626412
"SNP-63_2",0.304736105038065,3.01716640351819e-06,0.0316146824732583,0.0399149773107339,0.139038106508731,0.0722483276520409,0.00460105668963018,0.0117014074082695,0.0465099641534109,0.000568670143870726,0.0118441855020693,0.00767929925624589,0.00717841239316175,0.000147170690273413,0.000813072211057816,0.00274962497406658,0.00992334522108806,0.000247935974165524,8.04488094019451e-06,0.526797902746975,0.010671475509028,0.3419617008009,0.792299077978329,0.179085395033728,0.0395756057697786,0.0022910755327239,0.00110154776411364,0.0103854481322949,0.0193546827785123,0.0398549551969967,5.95581450419585e-08,0.0743481305969879,0.0113826197101583,0.0332522164984533,0.0734133990721323,0.0201680418036094,0.00231596604227458,0.00495572903662977,0.0564837028034497,0.584893674528017,0.00521747621082103,0.00281358269790966,0.138140480381526,0.00266774337228204,7.11761981353476e-07,0.393586083361312,0.0256028293378466,0.931587904817817,0.105877616354786,0.0339825078038822
"SNP-76_1",0.169765495873517,0.0132441395424072,0.011056315881569,0.0214859980264418,0.221757611003871,0.0557705241466019,0.0876136587525366,0.0190708371548589,0.0857563171143468,0.0318072857601254,0.0192925209507904,0.0115063979083133,0.0175558366615884,0.00650342523067571,0.0160729757975782,0.139189441999101,0.0181770187617361,0.0098056271906658,0.0342927211904835,0.241710157564446,0.0231319481507551,0.578195269707454,0.916809737403614,0.0309548223056462,0.0442478657874066,0.0189116730178406,0.0181166813917905,0.0185803212016313,0.00815762693625832,0.09341020268351,0.00791797623962243,0.111509490638923,0.0244734716147395,0.0988637364559506,0.0508700632755217,0.0542210516711422,0.0270246464086228,0.0744844099507217,0.0537975903300455,0.392429785103151,0.144646663111625,0.00647984920969435,0.131777212867683,0.0173386475309721,0.00698717165898743,0.647679220040335,0.0299520771824814,0.722426133699475,0.272306163065781,0.0273633351959849
"SNP-76_2",0.0587509787604874,0.00059290081059904,0.00985896937411135,0.0142216926639918,0.0382075421204047,0.0370832382511014,0.0190509795967265,0.0291169207907552,0.253149434540684,0.00115029956321755,0.00933293214515751,0.00444182995407316,3.06722589779258e-07,0.0266258829473485,0.0691759624376087,0.0789729892253257,0.00346841143620247,5.22811106629106e-08,2.00018333007534e-08,0.114611566939534,0.000544889218396905,0.505856876614342,0.95458287488754,0.126151349472366,0.0110277529406662,0.00230589217121224,0.00771607016754217,0.0110071312623677,0.00810624817053651,0.103050064570951,0.00208831059031205,0.122659028949841,0.00854890194202296,0.016601914035697,0.0585502557693317,0.0171455128335628,0.0322190801045283,0.0455792734841292,0.0692113265944502,0.398282528747441,0.0215001885292206,2.33767435834375e-05,0.183162292937333,0.000222706806547448,1.30604447218516e-05,0.38983168594836,0.0252545408961876,0.854307189397939,0.960066140863966,0.10307113971328
"SNP-83_1",0.130692454718926,0.226131406359335,0.259553897358202,0.142244487751131,0.0509801563116173,0.057291475888089,0.065572940257995,0.0699676562861193,0.485146282048811,0.403714912202601,0.131439237849867,0.240131353887749,0.104710134211504,0.745751261120354,0.221323306877546,0.0781162263707611,0.0936439250262032,0.0957994363869616,0.0691137869829439,0.0228678168775721,0.06900625008352,0.00856127911083227,0.00823772965673009,0.517008284963105,0.131903436928031,0.280162402231593,0.209109159623746,0.172953814142622,0.0649624338479999,0.457539421758276,0.0917961909638846,0.810260025696573,0.152446656002627,0.0926907967002633,0.190902365247222,0.0573577744685398,0.390259942648763,0.0983788381659754,0.220066762928061,0.589302310261138,0.389978212237388,0.144588079426092,0.350983739918453,0.0350906721441901,0.152312374284837,0.839240245861508,0.169177237796986,0.060846276360191,0.888358944456105,0.222310440374348
"SNP-83_2",3.00445623935275e-08,0.029367366105703,0.480322547519252,0.00435426752087775,0.00234272892790621,0.002328532940854,0.00798558511788239,3.48647940517921e-08,0.475215042530332,0.102812087742191,0.0269050307775059,0.269962616891519,0.003781020355065,0.80309512104598,0.0872613604549322,0.00689661599678493,0.000650161549093071,0.0038554650419127,2.69371067673774e-08,0.00045451117251414,2.37953009280528e-06,1.27283852724425e-06,0.184234682126501,0.446937210607685,0.0186329141767568,0.0210779453843664,0.0287915497103953,0.00108308718279548,0.00653170655712088,0.848429934548809,0.0564015738670495,0.955236284109314,0.0373553673725462,0.000606655921788213,0.0541072235124073,0.00230170746965086,0.0549207685838914,0.000224783824035112,0.0600800757959873,0.713154001605363,0.236439744822601,0.16289839887947,0.834244208722416,7.4230237845363e-08,0.0157490154394214,0.748710883669937,0.033000408293544,0.0807919078307918,0.966291897985383,0.142201157382536
