"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.29812376028354,0.0323858990267556,0.0141450840297705,0.0627236101805483,0.165027535427595,0.0351609689649164,0.16923633977041,0.172740906615987,0.141664664717093,0.143567720115918,0.0352925143373846,0.0195872003536832,0.0240346416859523,0.0885936991404068,0.190842947899769,0.0819639256091572,0.0441710341290642,0.019139381973479,0.04897023494653,0.0742146978577927,0.0461197787605059,0.360516972248979,0.422576524546269,0.121210410478354,0.0562042626687086,0.122963120911558,0.0175373971146908,0.121332587010723,0.058409487475755,0.174072531221696,0.171263570319064,0.049004794848896,0.0812409771409781,0.144589307599325,0.102858913478175,0.110827860028642,0.0740640432019057,0.282337679495258,0.177957766099621,0.227411893029783,0.29822373868093,0.0119695731041618,0.249166178684762,0.0289931644385218,0.0296829587318964,0.754324511174402,0.0735111672613585,0.941807166433194,0.111762266264552,0.0166893890494499
"SNP-44_2",0.00267746650585399,0.00228704565060811,0.611748050724928,0.181203099689039,0.123137618267689,0.16815746237741,0.33293940508732,0.0228864139017901,0.115442800599545,0.0041165661867274,0.299154153982682,0.737382881521901,0.566924463076662,0.0447547629160218,0.030983947125067,0.277215709648909,0.24768423715979,0.0887236244627272,0.00220147958884098,4.88196854053768e-08,0.0439043688451318,0.00527714993959044,1.2053853849202e-05,0.190028156133459,0.00648525185175358,0.0203920594467821,0.0148513613652156,0.221298511003139,0.118526305090962,0.0127279337468903,0.0314417621619997,0.478439391336499,0.552332526945744,0.00116049639941085,0.200648885657287,0.0219987414903646,0.291765749536063,0.283999475389873,0.176295543233015,3.42035741409906e-08,0.164273658084499,0.941521518094148,0.0218100922721365,0.000243360892364226,0.00136666141391961,0.125924976198789,0.411583522632026,0.978962608940948,9.24470741070493e-08,0.132960805749478
"SNP-59_1",0.351351685955455,0.00313430800309267,0.458151493109085,0.236333179851554,0.326625719174792,0.0928376853560138,0.235186376180864,0.0895320109382893,0.0217486408659018,0.189015244689999,0.297173480472443,0.424202673645034,0.208951054485726,0.671290780884514,0.0888218132877453,0.293760998471805,0.140278623107841,0.0147710785856123,0.111662658102211,0.186447817024544,0.0479002159789002,0.250002845034237,0.0203482767475374,0.478568653276761,0.274644109357286,0.153497300770737,0.0139233522435326,0.410485110449762,0.358928777649581,0.177562372871626,0.258050807166953,0.567552317646977,0.23537627604817,0.200399371985114,0.370840024724072,0.193256027510448,0.0752479524359754,0.0775358028549931,0.319200439016934,0.171258524405887,0.261676433153349,0.205060501433923,0.0683660606388982,0.133288220450435,0.00666076527332915,0.158854748452312,0.116019012582461,0.301538848710255,0.409518739014225,0.272064171238215
"SNP-59_2",0.81485996620625,0.0245212318585742,0.169176460327189,0.123242897868799,0.287917210762181,0.193619026596659,0.314153201079906,0.197393865745599,0.209088077646393,0.224053221125062,0.128226525249193,0.146606146684851,0.0930660156959936,0.256604220948558,0.172229972245668,0.276249697735083,0.0974338429437296,0.0447174422878271,0.0579898392066875,0.230978940872974,0.0949330944032865,0.413576362976615,0.412362636292698,0.420310181431395,0.10212002841139,0.0829922193497988,0.0443501816998695,0.224861927802332,0.119824707638885,0.263249666119691,0.195709776402186,0.34734916830958,0.161965498072338,0.255191676074306,0.318187360167594,0.270937507003365,0.207433391449761,0.219706245943911,0.386115045318828,0.596359130002794,0.398383018125868,0.133252984586573,0.225087250926276,0.100859683070732,0.0401957736201241,0.177312917581535,0.115350739411771,0.786069361302885,0.0795810262098909,0.316019556390366
"SNP-63_1",0.255789072578066,1.84129653053567e-06,6.01937011346365e-09,6.31294373443225e-08,0.000160246010065435,3.36755839414174e-06,4.05187505769788e-09,5.33027585181145e-07,2.56945714705026e-08,0.000456737004219325,3.57602502683621e-05,3.02418867259655e-08,2.36463483962428e-05,3.58022568456295e-05,1.83548705234848e-07,0.00021999443911962,0.000215435940988623,0.000164390266023485,2.80751802916868e-08,0.0438933176815216,0.00116588023366926,0.546469119533971,0.957652923066359,4.79787809481991e-09,1.86484201414316e-08,0.000282884236394387,1.00994781426778e-07,0.00150440439234889,0.000977503074208147,7.07261194055064e-09,9.90788025068134e-07,3.21314482243373e-07,4.3933452149116e-06,0.0471186975706761,0.000206582337674902,0.000853698952060349,8.99338884873073e-06,1.56226320517545e-05,0.0130282552106746,0.0555144688712027,0.000153502189644901,0,0.00648090611881713,2.97427963334707e-10,9.83819320230289e-05,0.111669781898214,0.00507746986416913,0.934260811568033,0.451112937229451,3.44238706428968e-08
"SNP-63_2",0.490172293690751,0.000170467103549837,0.0299144035268809,0.0372923185303868,0.109790052519832,0.0599907999589443,0.000561190788273769,0.00566619743991259,0.0186014170264538,0.000226991348244635,0.00552379631902189,0.00657984349274077,0.0078849176421425,2.80487058340897e-07,0.000615223052486846,0.0102430670035931,0.0106604237914497,0.000103241691646064,1.2741058430521e-08,0.618282728976649,0.00998296975464031,0.644395218569596,0.790994415376351,0.228792082849014,0.0398382615719467,0.00241922912371817,1.42569280760906e-07,0.00984296396233408,0.0197571475031265,0.0343703119403823,5.88322912609129e-08,0.0878980316740906,0.0110248308330452,0.0700440246118853,0.0680086063738093,0.0165772233893714,0.00117830066214863,0.00112503487991344,0.0854054376592249,0.532868715752394,0.00464316337782189,0.000543361985800073,0.0759175710097117,0.000858001632627322,0.000318711020089892,0.402015578377168,0.0240044315466941,0.90373996454103,0.127479327610119,0.0309357008857628
"SNP-76_1",0.133984544922709,0.00158033855302175,0.00808431814628541,0.0101034680760778,0.142708511807041,0.0438338916738368,0.067101278702549,0.00463829008923811,0.0187744901044042,0.0211854465331993,0.00542242849436769,0.00487606702270171,0.00679967187227426,0.00351040806339642,0.0180823082944146,0.081467356773861,0.00427846418822853,0.00192870199524142,0.016649255520725,0.222240906483507,0.0167057589790558,0.434192758348918,0.869396782838657,0.0334295777154862,0.0282497954482053,0.00589559222649205,0.00626384591315866,0.00841972200000096,0.00378097014811526,0.0883343528932919,0.00226654288501227,0.0610650100827094,0.0101477933717496,0.109540106823995,0.00862448353986978,0.0265174879605248,0.00978995288238116,0.0513382282878931,0.043444496701568,0.397135315260392,0.139382495248275,0.00325465918792878,0.0763042909821474,0.00349135509353071,0.00210311480173908,0.642228298979661,0.0182713295701491,0.671276902588467,0.159420641698691,0.00300174108912288
"SNP-76_2",0.263622617486655,0.00103672000581256,0.0167063238186355,0.0577510832585048,0.0254143166604771,0.0376589453476067,0.00957745393153842,0.0460572067100774,0.157267984247849,0.000763881485119361,0.0109766937378503,0.00867732342052574,0.00447454523055524,0.00784452560042503,0.0784244525031808,0.0698334718150689,0.0163544398111901,0.00215423829314165,0.00491235981004601,0.204765280038245,0.0112251888193984,0.871654642441637,0.950602959604942,0.146261266426651,0.0274669355766826,0.0261861641145354,0.00808832990437591,0.0206337529551239,0.0222173623257783,0.0764553073735958,5.41590464697705e-08,0.0921554125243708,0.0131355219720647,0.0786225054090456,0.0712849275370797,0.0257829436388036,0.0301142513082924,0.0560801386120201,0.187219223471504,0.460363051619538,0.0240023084246023,0.000547194066954915,0.187315003303048,0.0138013888820668,0.00125092727540155,0.305367355397714,0.0383965604618828,0.707229550594468,0.934259967033185,0.093730660395124
"SNP-83_1",0.307646471211087,0.542446136893235,0.324189553112416,0.253146986061405,0.164426206823444,0.131239701355058,0.0884101836746711,0.153510629576971,0.521387625247845,0.524222335831489,0.171938645744465,0.261914363776173,0.184975700459517,0.81040101170275,0.306651426317511,0.200041585058141,0.137190694531631,0.209785355501736,0.126329703663996,0.00995770994428458,0.205543918743521,0.00510935671770596,0.0119421263397855,0.573420283299619,0.206610036466573,0.455582720641619,0.284206017347063,0.22668166701384,0.140970103584888,0.463220213085707,0.297583448551221,0.770035342115887,0.289138876736612,0.247646208799421,0.34696360583755,0.0793915860893205,0.446656002743214,0.130371131829552,0.3208284530191,0.698299484293111,0.44204453803426,0.139666007011815,0.389396884958598,0.059905377697564,0.166743114041477,0.761948592456029,0.306196836867618,0.0541937091680694,0.90871509351691,0.356842964277485
"SNP-83_2",0.0366783833053269,0.377082515170377,0.669085971621884,0.192969060425182,0.04502352232287,0.116508998456708,0.0106645829435696,0.00176346444023012,0.818608378930827,0.197960821734851,0.140041693559914,0.537429545412202,0.24635593323058,0.943676335875126,0.174327624022794,0.0434783767708725,0.0397788832217756,0.16138139547781,0.0216563641082236,2.13747348709603e-08,0.108562851750448,2.87059952686263e-07,0.152653154741816,0.650926093080829,0.050660229360639,0.238066550162538,0.0837973305393322,0.0191067288757298,0.0426290197255366,0.82638312346443,0.172331162952289,0.933480411989953,0.321451649083933,0.0753457643265303,0.374540109883854,0.0252451808049483,0.238045090305872,1.7092777182174e-07,0.409052812328609,0.798566082501391,0.257387663868192,0.355704136351547,0.907635466389398,0.0109119258284047,0.155796016388352,0.700280984119334,0.171701854551693,0.0490927654176688,0.971630499818164,0.598648417412514
"CD46-1",0.0864009844539479,0.362199171686468,0.239817372353659,0.211285251650603,0.356603593540941,0.27195128571231,0.412075178949612,0.21632893254948,0.596111398065957,0.000255660156680921,0.270399411216952,0.140716156453887,0.155566355437172,0.628675066544592,0.541478514777843,0.266695187876161,0.169399630342888,0.252118571358529,0.114167873636778,0.174496866232117,0.166104517223343,0.175025336981202,0.76368137139921,0.585411535927424,0.333595812594577,0.200008694091181,0.239593921416677,0.270255533106424,0.163887230426349,0.522728051236911,0.222626528480728,0.592919136368966,0.229737951962467,0.415535946729011,0.254760594159895,0.297200877210084,0.257725786510709,0.447510010075573,0.144310911712334,0.453657274320015,0.768394198370952,0.207966499147826,0.23253197968761,0.135293272961248,0.0538259433458697,0.710912416342908,0.320833487219491,0.41540681286739,0.411550324202611,0.168758385905187
"CD46-2",0.13855898236997,0.151458848974206,0.47635972005918,0.151413916543499,0.229311970727211,0.215716875723681,0.170640377096305,0.164880465182297,0.376461401335479,2.75897206192255e-08,0.283275820652636,0.460340925895613,0.181697133867302,0.189064950301185,0.325753211872665,0.366902139842441,0.146265026903768,0.139826215336619,0.0626642784651845,0.235280861993659,0.0259117271269335,0.480412506646112,0.314366440356955,0.415963467298027,0.197577937852999,0.0497080277657176,0.185084460859387,0.235565055953114,0.102306935108812,0.550063478657494,0.114920983461325,0.389291002939382,0.31345086193194,0.0898848574435791,0.184727734685167,0.0772879557648468,0.250288078908679,0.192939970586859,0.191346067845642,0.282885312688137,0.154617576609487,0.471409396606765,0.299393208018993,0.05850670474028,0.0491716295457461,0.889459242046281,0.154465539043581,0.650230224116143,0.127242428339503,0.349690632997652
"CD52-1",0.391231237001748,0.20005396515056,0.353923526136604,0.329859012381763,0.367587867970045,0.339770051368706,0.607204841695548,0.142574607734722,0.639670159931683,0.591134019903222,0.380155894921479,0.362805098676008,0.352943078556206,0.444281602568626,0.300386217429714,0.271055548303925,0.300256273296268,0.287324120785933,0.335890056753077,0.48741201771368,0.400034121259284,0.421422384235988,0.863702018755015,0.382527655281831,0.175477155304947,0.358144451834537,0.39920620362563,0.463278041516764,0.360660986862057,0.659478439602774,0.437989061038596,0.61338445910589,0.491420824219813,0.320662521515101,0.509320099002383,0.391905321717901,0.356261050324148,0.262128476794218,0.502129661743257,0.868304930901077,0.548842590708688,0.416754689146478,0.331293400042532,0.180106570028632,0.510014592216508,0.613537303769231,0.488583745381672,0.713370784235279,0.183001122991969,0.395927214096055
"CD52-2",0.0881862494759288,0.0118826736699621,0.0773389541259428,0.0131328105803451,0.0278805413361749,0.0162427102986998,0.0381931908533658,0.052856232085066,0.23952116978052,0.142234776124655,0.032207009296459,0.0409144303477309,0.017494124321343,0.104552769609805,0.0371925626397459,0.0465013767326815,0.0184227481507968,0.00964821972306562,0.0210088108602063,0.0650341355438928,0.0177357606689941,0.465316334781247,0.572657181378507,0.374909800619417,0.0132420492477006,0.0125614117134678,0.011961957752377,0.0335301196562915,0.0103646091479704,0.0569388040353936,0.111828213987057,0.0374545659645188,0.0500020310453547,0.00334713544393606,0.0638120417151827,0.00654432987911779,0.0872678115959804,0.235029547584652,0.12424115000982,0.171565600655113,0.00922098626836909,0.0215240603920703,0.0922696373506808,0.00606148310471144,0.016883078549471,0.207927174479825,0.0671154219856209,0.813442937218226,0.81930068625308,0.187713961623394
