"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.264176316061292,0.0612328246625218,0.00381564667297696,0.0942104679167937,0.317872061117125,0.0551624333136469,0.172462328792914,0.363708394773834,0.182923140628027,0.267845462663419,0.0522878729928379,0.00218995759060248,0.00110363510140199,0.345152747234567,0.271081046180585,0.0642785515774958,0.0163941333151786,0.0983557029757843,0.00557354917506503,0.000375939224033454,0.0529542697818268,0.643587731927376,0.483008268312847,0.200693676510992,0.036092607545575,0.774639627518476,0.000585556134344967,0.185966726520442,0.018234207834751,0.121916970672469,0.557894407409902,0.0251453282379521,0.128432610914819,0.224259147498079,0.0780261812342491,0.0577610935631682,0.0264760853786193,0.4235876134787,0.330787955593067,0.940620544969014,0.315243522750287,0.00485775119172127,0.591506066644634,0.0774178592594258,0.262680253103166,0.704290956866048,0.244727129143277,0.958546578089712,0.484669506977328,0.282536281579932
"SNP-44_2",3.15531832087052e-10,3.3589075361106e-07,0.00118542991477181,1.1302098257282e-07,0.0331956457785302,0.00442753687624275,0.00424337823960563,0.0002656720361319,1.5584740054417e-05,0.000625072780413349,0.000228586230411887,0.808423492286109,0.00345863412971992,1.93972073309311e-06,0.000605646495634771,0.00165657623148929,3.5110697592972e-07,0.000171807649247811,4.493115496546e-06,0.000175194912658491,9.48122103050508e-09,3.6092367713621e-08,0.00133970980156073,0.00115089861954731,5.34553057374154e-09,0.000609551909482864,1.64040091639688e-06,0.00281305146831701,6.07199434524413e-05,8.72393399972218e-07,8.98419749706392e-09,0.458438399010059,0.0854813338993835,6.19680239547705e-06,2.03631503740849e-08,2.25368688292716e-08,0.00545943065500176,0.0268432026561436,0.0434631139673269,0.00140735853428886,0.0666226326389195,0.168802299209797,7.02730951795273e-09,4.76198521261016e-09,0.000534149921557108,9.21241400242027e-07,0.21028691679498,0.991256376879891,0.614406581585547,2.50472046436911e-08
"SNP-59_1",0.043708595047755,1.32390593833168e-08,0.438075452199191,0.0605477603271412,0.143588334796265,0.00950291761473254,0.0266680524883632,0.00596804740434675,8.16062678239721e-06,0.0439368626636305,0.276060792492331,0.274517846788287,0.0914355181194776,0.436125215880199,0.00113364589729781,0.0801492411652658,0.00110748965684815,0.000270462540637848,0.0392529798792768,0.0239937506887707,0.0353028256462412,0.0642045445032703,0.0127383677572749,0.428365055224554,0.058645363371073,0.291957522162279,0.000342251917943096,0.0842589818006649,0.247142543802091,0.00874153035154368,0.419984688802992,0.26224592613442,0.263777138339827,0.0337663522256904,0.623053833333312,0.0389549693010578,0.0117998610888066,0.0345725953768302,0.109354117714419,0.106262192202851,0.108187129859052,0.26635852351687,2.17829339438369e-05,0.00649496552931716,0.053551945983964,0.126105328718666,0.0386852814602083,0.214738895583982,0.87448003242334,0.44211152633225
"SNP-59_2",0.762729734787127,3.41707922515779e-08,0.00934241328859997,0.187531005143992,0.238488281254484,0.0702735857997118,0.0398687369836452,0.116295274175564,0.256658036612606,0.114597694287449,0.0262788412483802,0.0132022148686134,0.00605011838654446,0.146855225816323,0.252977767813517,0.0506816290891126,0.00836357641685437,0.00115479967197984,0.00409733651711142,0.374604556222609,0.146162699922685,0.64113386448999,0.129484238124019,0.794265063712152,0.0142154071270134,0.0292392108990114,0.000306476982033585,0.0284120715885589,0.0340339656886597,0.170015243665521,0.273301934806142,0.166015467780343,0.0510501854118367,0.519049647070441,0.021104112294297,0.195499712495769,0.213602977657143,0.142500705743366,0.650331924503785,0.816352607853503,0.707557629526507,0.138767115305347,0.127297837110911,0.0128994021113419,0.0380586852498576,0.0987238792388233,0.0279904241796703,0.834051246650179,0.52277615541575,0.272211523632158
"SNP-63_1",1.04405282983048e-06,6.54532994470713e-09,0,0,4.43681281044961e-08,1.70687757261589e-08,3.61905225188981e-07,3.89974439407581e-08,1.19719181457256e-07,4.15957139138223e-05,4.69023020421844e-09,3.14526647721873e-06,1.05812711023723e-14,0.000322187627745414,2.60389113748705e-06,9.80042480502874e-09,0,0,3.64705905697704e-07,1.31288492252764e-08,3.46001196775635e-06,1.25264605910225e-07,0.892313611512607,1.785337055792e-06,1.21669458952312e-08,4.65104980595932e-06,0,2.00057981424168e-06,0,0.00536292152736828,6.30697415890538e-06,0.000177063101177362,8.58152193750072e-09,4.59271589647869e-08,5.66290905279487e-08,1.96447979888012e-07,7.39556934795399e-05,2.68176310302959e-06,2.07953310127351e-09,0.00459317117235902,2.95656230577812e-05,0,2.90769828215076e-08,0,1.85351279828823e-08,0.286930761150276,0.000240336077138432,0.942853701450246,0.0971549553683884,8.14430780593511e-08
"SNP-63_2",8.32378588278004e-09,4.46195237424618e-08,0.00417614512565861,1.25504109929738e-05,0.00060107348962557,2.29153082842437e-07,9.43318312351948e-09,0.00114617874022349,0.000295417309451787,1.08456219560793e-08,0.00019456148926718,1.17955497713762e-06,0,1.92063042666844e-08,5.56188630921954e-05,4.70734018431784e-09,0,0.000182799085348987,2.26317354856675e-08,0.00430429258697962,1.40566264184017e-08,1.03397465733845e-06,0.054283192404641,0.00666989925679706,1.03911186433159e-07,0.000318688682798506,0,0.000134903752460755,0.00126769055705322,0.00551453046271366,1.05217883092119e-06,0.00197278087236907,3.08302327441454e-07,0.0131404305167533,0.000607188934003577,5.84694458992188e-08,0.000262898993989412,0.00244054483791689,0.0101127409689806,0.259608909813775,2.09829729543784e-07,3.08581354931435e-05,0.000277577389685661,7.34796163976608e-08,2.45850024435214e-05,0.593767891205402,8.15946233936753e-07,0.877046453085196,0.225106288989996,0.0223324682368
"SNP-76_1",0.0165240400171351,1.06579046699196e-08,2.89365991430191e-08,2.66929763687816e-07,0.0401183246124293,0.00221028188601391,0.00112225617058448,0.0237224622224305,0.0883112737528032,0.00172110197549604,0.0001548373674116,1.50772591628323e-05,0.00241694475785242,0.00501484727807955,0.00500812734808909,0.0017482840292572,0,0.000620889006211395,8.39988623102528e-09,0.533446831130199,0.00211021207325723,0.145369044371526,0.837726415588213,0.0387872287518685,6.82388381800791e-07,0.00494175330960966,5.33343171343704e-06,0.00275726600658116,0.000117179153409259,0.275180941289148,4.65927923643394e-07,0.030926485495845,7.49404238664653e-09,0.000654190826872458,0.000263458438191483,1.29549992955447e-08,8.82444505800883e-06,0.285906771952841,0.0196643939205359,0.40164981971187,0.00855191050515847,0,0.11312950953078,7.2994711861063e-05,0.068251774820496,0.63015562921985,0.000602904395716863,0.655556835862109,0.967231052042618,0.000325756177568018
"SNP-76_2",0.018840816596799,7.41768368950346e-09,2.79740045287781e-08,0.00938759726927529,0.00123791481004487,1.46455097818049e-05,2.56874299608967e-08,0.0944754827289633,0.0292372345239693,3.70587167886831e-08,0.000366694973065617,9.88771068355376e-08,5.00695405275531e-14,0.0433153046536597,0.00055283490067326,1.67835078412892e-06,0.000110747092646867,1.72558785038746e-08,0.000244410205961803,0.355430357642764,1.6779169831338e-08,0.257948114216916,0.853640931363051,0.108731899301444,3.40742105642278e-08,0.00972027222260852,2.9359563669118e-09,0.000572763000775356,1.35533466034709e-05,0.024274778060687,1.17479080907756e-08,0.00502348550769716,2.16669555874738e-06,0.162154023124776,0.00489238599091379,0.00410587171875987,0.00343077033224626,0.182274215806572,0.55877279419351,0.255836190015375,0.00118868281869566,0,0.0880903267818333,0,0.0032768874899054,0.550715313789371,0.0424956965260479,0.75645109645262,0.313937148557792,0.00921934552795212
"SNP-83_1",0.598504905090391,0.874011291802809,0.220891517652,0.0115215084626256,0.427050208481505,0.311171006838088,0.073104809130915,0.0698374913526519,0.274884586961047,0.0374023091359439,0.152487254287754,0.211497766211172,0.105519021622253,0.010977345117974,0.0241626308242544,0.510258950057933,0.055224733230503,0.0120837914383651,0.0596648646601119,0.00456374399593895,0.00357237721103221,0.0114291823019766,0.00944199522736877,0.825213687911389,0.214252742812451,0.0370685469547141,0.201293883242571,0.167819841208094,0.0653173435395802,0.704477087996093,0.0110840231961971,0.0061250090891426,0.251123478155212,0.398801728562755,0.099913975153757,0.00622282209597669,0.556530341325175,0.0578073152561975,0.129487052303378,0.594519470391273,0.444168921987819,0.0413541027993258,0.482391364855999,0.00447636009396457,0.948427228426509,0.81451846795369,0.722698454917837,0.0634964511580658,3.73412719367749e-06,0.699153880854856
"SNP-83_2",0.193066786906166,0.000241401371076604,0.169982778574231,0.00015079513699438,0.00185549258467121,0.0769062801371516,4.37859359880832e-09,0.000216254171867076,0.423359511318399,8.19232493234896e-05,1.98854289146233e-07,0.250019188605323,0.00175485056133429,1.1173851066637e-08,1.49205284794007e-08,0.000132144153354199,4.45087626082158e-08,6.70395712387695e-07,3.02412010725544e-07,0.000129789751821999,4.55941696646534e-05,2.23727529342597e-08,0.52218375304576,0.826277743517355,0.000453781611898884,8.85106181685986e-09,8.95295071412505e-09,1.27882328671003e-06,2.06724857487969e-07,0.185118879572676,8.42587349078889e-09,3.96163146731965e-09,2.46184411427074e-07,0.0768554265254986,9.28154915147417e-08,2.63718781257083e-08,0.0603258230436712,1.14366395853937e-06,0.333508543806019,0.221236135473245,0.0355889962665067,0.30346588907257,0.625772742124061,9.38767514356905e-06,0.646155671835905,0.458865370314686,0.0294077762826679,0.00878229057990776,1.04484250140757e-08,0.725907844600736
