"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.586005675740281,0.107296928532018,0.0666392562385667,0.189575970455999,0.3407580591068,0.0690801402354477,0.464985445383348,0.397365923839092,0.614152633000229,0.443224734847167,0.141543649133969,0.101168260261257,0.0811458189872132,0.406560328912901,0.742883798782965,0.284198189929759,0.151091842123216,0.0685481066808356,0.132174261577214,0.247934952256492,0.0926369407720957,0.797725349653149,0.573195731804325,0.334766004403229,0.208029693278054,0.317696591281037,0.0572673930385675,0.401576214174576,0.214681541700147,0.544184500243313,0.47995906340899,0.128458461779465,0.252588547440727,0.263186363108855,0.358587682486856,0.21459348032436,0.236670284800468,0.634866657876041,0.497507240124361,0.667477949406449,0.759988441553266,0.0671569906188836,0.547642283001252,0.0767122467690372,0.0545002452534081,0.897203502508967,0.227898638482228,0.985864663246522,0.668013905743271,0.0737938252595857
"SNP-44_2",0.00122219949304259,0.00401530481246637,0.756845366459595,0.359572166140226,0.083696228138043,0.215536295994657,0.632738993787345,0.0396042872163602,0.128352969460988,0.015993626012185,0.583772220018183,0.856730888172502,0.732365275837204,0.365680228664294,0.299958747067111,0.218987389350662,0.528288907053746,0.158119037048906,0.0841041557057273,0.000120347662716533,0.137477345525363,0.449448915698592,0.00703333887456237,0.282864635504215,0.00115644902379342,0.13602637486472,0.1407211848663,0.386109027460226,0.319263640891539,0.0126960767570872,0.14602886401174,0.784951948468375,0.816944333508637,0.00488911885911225,0.447455691550418,0.0679713586276325,0.444430585442584,0.627692926412164,0.335601302088999,0.000352077838135952,0.497321207235127,0.986938356247011,0.211067569652405,0.000298786642356791,0.0131732322908891,0.0337506833068607,0.814147654012822,0.976995370319448,0.48523997601904,0.151149870786866
"SNP-59_1",0.384547299927132,0.0200482064245573,0.711389109341567,0.495418633515727,0.380175254201073,0.193372790128802,0.535790804315659,0.318390849080984,0.144345994315749,0.363187704032178,0.646519224797398,0.668018445396915,0.330937743551989,0.926400330537593,0.217112112523313,0.465201723800159,0.325003354150521,0.0635239768885349,0.127902972765706,0.52312078203323,0.0750689382175616,0.351311836756286,0.13163695352783,0.736155918606156,0.536027130501417,0.344078672216005,0.0547518716744856,0.697612804193465,0.677634606942387,0.317331135575416,0.399699737514593,0.70428753330633,0.467090320363,0.328407066535972,0.699993008742203,0.363559642574917,0.183013549601869,0.345945046312411,0.636425912568232,0.339484086512762,0.393275769758825,0.486578004247079,0.148923042827873,0.30927955213598,0.0313904917134353,0.311566056922228,0.213469235363057,0.320435938266675,0.913369346997967,0.657640833166778
"SNP-59_2",0.91904276036805,0.0999524302396838,0.384376405665393,0.284817892921069,0.464860118708168,0.42051097656139,0.441728003856955,0.406900871123611,0.418419873473229,0.589804813665287,0.307594657017719,0.287638178064948,0.190421527995229,0.771803924770042,0.388698265391287,0.450955844475359,0.213126613621355,0.156267234028868,0.084679222354771,0.555146266998993,0.184017908896873,0.7148510189672,0.441374700065813,0.607728824815357,0.185727127834527,0.124882698454249,0.140613344924129,0.479235802816948,0.260305495424923,0.576448259563786,0.518832331222775,0.679174435870684,0.279408765743191,0.312957722593839,0.463751299763304,0.433211522772923,0.458306374934546,0.383745094867804,0.578531257977158,0.841140604108008,0.556670575733957,0.396109967007527,0.38583487711662,0.179392392030648,0.0517875714792558,0.405539133094223,0.233915629892078,0.885146251629615,0.876525250414736,0.614618851336716
"SNP-63_1",0.520725008252937,6.1724500621807e-08,3.3949441026261e-05,0.000551385942529681,0.0013372015708919,0.00618700706075892,4.54274600470596e-08,0.000240235766092798,0.000628588602150702,3.34029461740348e-05,1.96387761053352e-06,0.00277887225901774,1.02859616808175e-05,2.05842429744575e-09,3.07097296966883e-06,1.55256285745343e-08,0.00028139460402264,0.00696171395083556,4.2564143543089e-08,0.0258936681211066,0.00410562516455548,0.705566722632499,0.944928792949812,0.00117728152724123,0.000535172635888648,7.16963521406582e-05,0.000139967166226791,0.000112680112552034,0.00935691065208966,0.00360327632302837,1.7388853246203e-08,0.00109881984716753,2.18879199863782e-05,0.118222269094245,5.73703670122766e-09,0.000185635393648438,9.74474545500925e-09,6.31399068473648e-07,0.0436046604974695,0.162106674124215,2.33444453656695e-07,1.1011862264057e-09,0.00764286690720917,2.37015386080286e-06,0.00020521587469399,0.200198396826627,0.00663168268809522,0.941481823499258,0.260722508236656,9.62652043725127e-09
"SNP-63_2",0.618484764077544,5.88239562195671e-08,0.0866511833725629,0.0724842496753684,0.223530091073877,0.0792666051404968,0.00790027138097815,0.00953155858590737,0.0365819584270529,2.99995299531869e-09,0.00657889967263769,0.0162547066310424,0.011006140787735,1.19902381433845e-05,0.00121692973331466,0.0142694789551661,0.0194638159125677,3.47287354207637e-07,0.000569655668989588,0.600960198547993,0.0293235158253348,0.72553212142721,0.746175086051356,0.400757616616617,0.0543349313271324,0.00416680298111083,0.00247393786199079,0.0071185107978603,0.0439417597386667,0.26362342149349,0.000330381816727521,0.127191217268792,0.0109218413796066,0.116815034866049,0.0616371157107827,0.0264008921723974,0.00510124702131343,0.000624587812944166,0.199949830697238,0.623517373123753,0.00291781403397973,0.00420900008655367,0.196085873836547,0.00182897125582626,3.67838559611755e-09,0.637547037164643,0.03062993898177,0.910252125449851,0.552076382292857,0.0432003810199253
"SNP-76_1",0.212302937508624,0.00137998106342296,0.0173884724997911,0.0109665944613284,0.298667328469497,0.066861469981131,0.129144263668185,0.00520510382861393,0.0671660802106814,0.038475380581502,0.00268963566042679,0.0129689549434219,0.0105279566943314,0.0247459846348326,0.0524048188605032,0.220953976794552,0.00584769466618573,0.00234699411758155,0.0309038370332382,0.333593717887704,0.0376197678840708,0.737496653851304,0.933682210763606,0.0535432444868119,0.036441969772762,0.00926556980103344,0.00597570248456281,0.0122881018789479,0.00268636101444769,0.349667872973794,0.0116798825372336,0.202687534738224,0.0161592766709234,0.130497896889407,0.00591233961155568,0.0661335176413239,0.0280890523139,0.11605949200762,0.0773858545830738,0.611675301946386,0.147805782180577,0.00487687862346886,0.100561116122331,0.00220168415512989,0.00453016435403797,0.82594835813233,0.0114028651839646,0.794096394737077,0.903587688690129,0.000606106683583518
"SNP-76_2",0.508327722169245,0.00247087340876706,0.0682917239110339,0.156293231561174,0.138680283866645,0.124179942050068,0.102244925772806,0.115721576771346,0.291722408124075,0.0560790617278991,0.0316464914034733,0.0331766670613795,0.0192536451246283,0.0685936353256347,0.121926633075174,0.301142175705665,0.0599239674220724,0.0206750436409009,0.0185736729859283,0.369006033083471,0.019990070497677,0.907654898541065,0.985802845293773,0.339856570714135,0.187473059716204,0.0595246338008828,0.0393112556234676,0.0418811248167507,0.0813094361345152,0.403512962575078,0.0359864893893206,0.274847613543747,0.053769670717513,0.171303877597911,0.131502999310746,0.0545799346978869,0.0951100200848443,0.131657641593605,0.348209433179412,0.627069798656535,0.0616635162249413,0.0119685040577442,0.36872980333085,0.0251546318573427,0.00849799654976668,0.843461552353201,0.165655602978375,0.957164011029444,0.918644722912347,0.212320465453056
"SNP-83_1",0.0178493297975924,0.843172207030713,0.676154830167738,0.351385298508922,0.132180100226474,0.181292647901206,0.333946021819236,0.321292850425654,0.667901137800398,0.84625005538832,0.374364290872717,0.604957870264423,0.368789879658124,0.367075035553464,0.615413186603636,0.416036181091963,0.234741050777949,0.305598211080963,0.21077695083037,0.0122941285014232,0.152955780978712,0.00692861148589674,0.00893271634410886,0.910842548101906,0.0341128818574776,0.647263157156084,0.401208365153829,0.249290913355489,0.316699505288635,0.808352113821939,0.235009885872561,0.946596622975876,0.48820899649802,0.440577023347224,0.352884639077001,0.242956805835567,0.568398526730577,0.275321339026825,0.524441238213129,0.186799420657836,0.682253544349913,0.396622626666525,0.587549370851999,0.0982701125368791,0.333881638834891,0.902714229333304,0.681927033627957,0.116466346140257,0.630647859856626,0.542943581549432
"SNP-83_2",0.265264496728324,0.83272043337067,0.963922579902803,0.504598639156421,0.0322253417568405,0.106238033550244,0.0259236643755264,0.00812004286698931,0.939428744801158,0.576808427908716,0.390220685560276,0.937533046341633,0.517298805841341,0.975874744704913,0.191499635910784,0.106462040421996,0.191012516969642,0.362006351105811,0.0415131868154075,4.20789317834291e-08,0.12426850416385,1.3408039784708e-05,0.566798921088239,0.923725361773909,0.198238559314303,0.709718355389358,0.12713743550797,0.0164998586643385,0.113216767646672,0.98042980353206,0.476347313662599,0.962048887537993,0.698784516368174,0.390527181307211,0.796044649531819,0.0939997057968285,0.628118527096095,0.000595426153550238,0.807194099059716,0.922784803294028,0.62119162688381,0.888163074136467,0.962970128497851,0.026574239059162,0.620441633041772,0.886384383656167,0.42698754696922,0.177007803008615,0.620398840253793,0.943970084681151
