"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"CD46-1",0.854814518548145,0.42035796420358,0.0024997500249975,0.136286371362864,0.262773722627737,0.103989601039896,0.0704929507049295,0.0120987901209879,0.0084991500849915,0.0002999700029997,0.003999600039996,0.0012998700129987,0.0112988701129887,0.16998300169983,0.0028997100289971,0.353564643535646,0.0346965303469653,0.0288971102889711,0.19038096190381,0.0797920207979202,0.0344965503449655,0.0063993600639936,0.328167183281672,0.0004999500049995,0.11978802119788,0.472152784721528,0.0040995900409959,0.217478252174783,0.0122987701229877,0.0346965303469653,0.0501949805019498,0.0027997200279972,0.0428957104289571,0.22997700229977,0.0061993800619938,0.0043995600439956,0.0322967703229677,0.112388761123888,0.0077992200779922,0.002999700029997,0.0004999500049995,0.0221977802219778,0.571742825717428,0.464753524647535,0.203379662033797,0.92020797920208,0.918608139186081,0.384461553844616,0.0765923407659234,0.766123387661234
"CD46-2",0.287271272872713,0.0054994500549945,0.0003999600039996,0.0004999500049995,0.208979102089791,0.0305969403059694,0.128687131286871,0.056994300569943,0.0012998700129987,0.0003999600039996,0.0002999700029997,0.0003999600039996,0.0002999700029997,0.0196980301969803,0.242675732426757,0.0423957604239576,0.0004999500049995,0.0004999500049995,0.0018998100189981,0.0121987801219878,0.0008999100089991,0.0011998800119988,0.193380661933807,0.0002999700029997,0.0046995300469953,0.0077992200779922,0.0034996500349965,0.0041995800419958,0.0026997300269973,0.0020997900209979,0.0760923907609239,0.0002999700029997,0.0004999500049995,0.0180981901809819,0.0004999500049995,0.0014998500149985,0.020997900209979,0.165983401659834,0.0004999500049995,0.01999800019998,0.0016998300169983,0.0153984601539846,0.0092990700929907,0.0195980401959804,0.444455554444556,0.250874912508749,0.0651934806519348,0.160683931606839,0.0585941405859414,0.161283871612839
"CD52-1",0.194180581941806,0.669333066693331,0.0220977902209779,0.058994100589941,0.0771922807719228,0.178082191780822,0.221577842215778,0.136586341365863,0.343165683431657,0.645635436456354,0.0055994400559944,0.116788321167883,0.0497950204979502,0.517548245175482,0.519448055194481,0.207379262073793,0.046995300469953,0.444955504449555,0.0963903609639036,0.0627937206279372,0.810618938106189,0.858914108589141,0.330866913308669,0.0244975502449755,0.240775922407759,0.349065093490651,0.227377262273773,0.804319568043196,0.0314968503149685,0.0845915408459154,0.65033496650335,0.0871912808719128,0.0608939106089391,0.493250674932507,0.192380761923808,0.373462653734627,0.165583441655834,0.656834316568343,0.161583841615838,0.887311268873113,0.185281471852815,0.687531246875312,0.563043695630437,0.0784921507849215,0.534546545345465,0.375362463753625,0.986701329867013,0.28017198280172,0.174482551744826,0.632536746325367
"CD52-2",0.000999900009999,0.0004999500049995,0.0002999700029997,0.0002999700029997,0.0004999500049995,0.0004999500049995,0.0002999700029997,0.0005999400059994,0.0003999600039996,0.0002999700029997,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0021997800219978,0.0004999500049995,0.0003999600039996,0.0002999700029997,0.0002999700029997,0.0004999500049995,0.0003999600039996,0.0002999700029997,0.0003999600039996,0.0014998500149985,0.0003999600039996,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0004999500049995,0.0002999700029997,0.0003999600039996,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0004999500049995,0.0002999700029997,0.0004999500049995,0.0002999700029997,0.0003999600039996,0.0002999700029997,0.0037996200379962,0.0004999500049995,0.0213978602139786,0.254274572542746,0.0138986101389861,0.0510948905109489,0.0501949805019498
"HSPA8-1",0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0004999500049995,0.0004999500049995,0.0004999500049995,0.0004999500049995,0.0003999600039996,0.0002999700029997,0.0002999700029997,0.0002999700029997,0.0001999800019998,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0001999800019998,0.0002999700029997,0.0002999700029997,0.0003999600039996,0.0002999700029997,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0001999800019998,0.0001999800019998,0.0003999600039996,0.0002999700029997,0.0004999500049995,0.0004999500049995,0.0002999700029997,0.0003999600039996,0.0001999800019998,0.0003999600039996,0.0002999700029997,0.0002999700029997,0.0003999600039996,0.0002999700029997,0.0002999700029997,0.0002999700029997,0.0001999800019998,0.0004999500049995,0.0001999800019998,0.0001999800019998,0.0023997600239976,0.0765923407659234,0.0007999200079992,0.142285771422858,0.0003999600039996
"HSPA8-2",0.0004999500049995,0.0004999500049995,0.0002999700029997,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0004999500049995,0.0004999500049995,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0001999800019998,0.0007999200079992,0.0004999500049995,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0002999700029997,0.0002999700029997,0.0311968803119688,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0004999500049995,0.0004999500049995,0.0004999500049995,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0001999800019998,0.0005999400059994,0.0004999500049995,0.0007999200079992,0.160583941605839,0.449255074492551,0.04999500049995,0.040995900409959,0.308269173082692
"NMU-1",0.173982601739826,0.0008999100089991,0.0004999500049995,0.0010998900109989,0.533146685331467,0.109189081091891,0.0004999500049995,0.0004999500049995,0.175682431756824,0.0003999600039996,0.0005999400059994,0.0007999200079992,0.0005999400059994,0.150984901509849,0.143485651434857,0.0066993300669933,0.0083991600839916,0.0008999100089991,0.0034996500349965,0.004999500049995,0.0048995100489951,0.203179682031797,0.559044095590441,0.0268973102689731,0.0030996900309969,0.0122987701229877,0.0333966603339666,0.0004999500049995,0.0991900809919008,0.139086091390861,0.0012998700129987,0.0077992200779922,0.0004999500049995,0.0301969803019698,0.0056994300569943,0.0312968703129687,0.0045995400459954,0.0028997100289971,0.0033996600339966,0.0037996200379962,0.225777422257774,0.062993700629937,0.0643935606439356,0.1002899710029,0.191080891910809,0.164583541645835,0.1999800019998,0.0630936906309369,0.0588941105889411,0.0026997300269973
"NMU-2",0.0004999500049995,0.0003999600039996,0.0002999700029997,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0004999500049995,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0004999500049995,0.0004999500049995,0.0002999700029997,0.0003999600039996,0.0001999800019998,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0032996700329967,0.0003999600039996,0.0004999500049995,0.0004999500049995,0.0003999600039996,0.0002999700029997,0.0004999500049995,0.0002999700029997,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0002999700029997,0.0004999500049995,0.0003999600039996,0.0004999500049995,0.0004999500049995,0.0004999500049995,0.0003999600039996,0.0004999500049995,0.0038996100389961,0.0018998100189981,0.0151984801519848,0.0007999200079992,0.0010998900109989,0.0021997800219978
"PPIA-1",0.013998600139986,0.0004999500049995,0.0012998700129987,0.0007999200079992,0.0044995500449955,0.0008999100089991,0.0098990100989901,0.0008999100089991,0.0034996500349965,0.0004999500049995,0.0004999500049995,0.0108989101089891,0.0004999500049995,0.0018998100189981,0.0371962803719628,0.002999700029997,0.0002999700029997,0.0004999500049995,0.0004999500049995,0.0007999200079992,0.0012998700129987,0.012998700129987,0.368163183681632,0.0015998400159984,0.0035996400359964,0.0004999500049995,0.0004999500049995,0.000999900009999,0.0391960803919608,0.0016998300169983,0.0004999500049995,0.0141985801419858,0.0004999500049995,0.0280971902809719,0.0008999100089991,0.075992400759924,0.0038996100389961,0.0023997600239976,0.0005999400059994,0.020997900209979,0.000999900009999,0.0476952304769523,0.0564943505649435,0.850914908509149,0.485951404859514,0.151784821517848,0.714328567143286,0.0604939506049395,0.0063993600639936,0.173682631736826
"PPIA-2",0.0187981201879812,0.0013998600139986,0.0002999700029997,0.0010998900109989,0.0003999600039996,0.0004999500049995,0.0208979102089791,0.0024997500249975,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.0002999700029997,0.0003999600039996,0.0396960303969603,0.0420957904209579,0.0004999500049995,0.0002999700029997,0.0003999600039996,0.0002999700029997,0.0004999500049995,0.0004999500049995,0.0078992100789921,0.0413958604139586,0.0003999600039996,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0003999600039996,0.0011998800119988,0.0050994900509949,0.0040995900409959,0.0003999600039996,0.0002999700029997,0.0024997500249975,0.0003999600039996,0.0004999500049995,0.0003999600039996,0.0181981801819818,0.0003999600039996,0.0011998800119988,0.0004999500049995,0.0003999600039996,0.0004999500049995,0.0038996100389961,0.0283971602839716,0.0017998200179982,0.11008899110089,0.0042995700429957,0.530746925307469,0.0400959904009599
