"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"CD46-1",0.262473752624738,0.618538146185381,0.461053894610539,0.400759924007599,0.382661733826617,0.526147385261474,0.704929507049295,0.516048395160484,0.806419358064194,0.0001999800019998,0.548745125487451,0.31976802319768,0.306269373062694,0.798220177982202,0.817018298170183,0.457554244575542,0.337966203379662,0.474252574742526,0.206779322067793,0.342565743425657,0.237076292370763,0.372662733726627,0.828817118288171,0.706129387061294,0.56984301569843,0.411358864113589,0.471852814718528,0.511448855114489,0.373162683731627,0.788421157884212,0.27987201279872,0.802219778022198,0.477452254774523,0.561643835616438,0.401459854014599,0.496750324967503,0.489051094890511,0.812718728127187,0.364063593640636,0.892710728927107,0.894710528947105,0.439056094390561,0.382461753824618,0.373862613738626,0.105789421057894,0.6996300369963,0.585041495850415,0.533246675332467,0.238976102389761,0.374462553744626
"CD46-2",0.557144285571443,0.41995800419958,0.841315868413159,0.393060693930607,0.584841515848415,0.522847715228477,0.623037696230377,0.462153784621538,0.811018898110189,0.0001999800019998,0.648035196480352,0.764823517648235,0.357864213578642,0.682531746825317,0.792320767923208,0.644035596440356,0.378262173782622,0.407259274072593,0.174482551744826,0.479052094790521,0.0646935306469353,0.873312668733127,0.535346465353465,0.732626737326267,0.511048895110489,0.262173782621738,0.455554444555544,0.501349865013499,0.357564243575642,0.793720627937206,0.405959404059594,0.737126287371263,0.583641635836416,0.270772922707729,0.534246575342466,0.273872612738726,0.562643735626437,0.463153684631537,0.444655534446555,0.598540145985402,0.568843115688431,0.637736226377362,0.548745125487451,0.239176082391761,0.138986101389861,0.951604839516048,0.445655434456554,0.821717828217178,0.748525147485251,0.658034196580342
"CD52-1",0.575942405759424,0.363563643635636,0.522247775222478,0.527647235276472,0.554244575542446,0.501249875012499,0.81951804819518,0.406959304069593,0.823117688231177,0.714728527147285,0.581341865813419,0.468353164683532,0.521947805219478,0.4998500149985,0.539246075392461,0.50974902509749,0.453254674532547,0.495750424957504,0.578242175782422,0.694930506949305,0.568043195680432,0.668133186681332,0.80971902809719,0.515048495150485,0.341065893410659,0.482551744825517,0.612538746125388,0.59014098590141,0.501249875012499,0.655434456554345,0.547745225477452,0.628137186281372,0.708629137086291,0.524847515248475,0.661433856614339,0.67033296670333,0.464253574642536,0.344865513448655,0.705629437056294,0.776822317768223,0.8001199880012,0.558044195580442,0.707629237076292,0.422157784221578,0.649135086491351,0.501349865013499,0.742425757424258,0.550744925507449,0.167683231676832,0.411558844115588
"CD52-2",0.488351164883512,0.109189081091891,0.31996800319968,0.105789421057894,0.0863913608639136,0.0895910408959104,0.16968303169683,0.269173082691731,0.731526847315269,0.474852514748525,0.184981501849815,0.193080691930807,0.0826917308269173,0.404859514048595,0.223677632236776,0.236376362363764,0.107789221077892,0.0635936406359364,0.0828917108289171,0.338266173382662,0.0396960303969603,0.877812218778122,0.685231476852315,0.841615838416158,0.0971902809719028,0.0712928707129287,0.0980901909809019,0.226277372262774,0.0893910608939106,0.388061193880612,0.404459554044596,0.183281671832817,0.235276472352765,0.0575942405759424,0.354864513548645,0.0747925207479252,0.43045695430457,0.753724627537246,0.465453454654535,0.831216878312169,0.148585141485851,0.074992500749925,0.444455554444556,0.0718928107189281,0.106289371062894,0.507749225077492,0.30976902309769,0.941405859414059,0.946005399460054,0.524647535246475
"HSPA8-1",0.0195980401959804,0.0094990500949905,0.151584841515848,0.060993900609939,0.11998800119988,0.0445955404459554,0.288371162883712,0.0048995100489951,0.693030696930307,0.0001999800019998,0.0002999700029997,0.0437956204379562,0.0135986401359864,0.0820917908209179,0.0002999700029997,0.036996300369963,0.0758924107589241,0.0017998200179982,0.0367963203679632,0.318768123187681,0.0538946105389461,0.458554144585541,0.944605539446055,0.682631736826317,0.372162783721628,0.0001999800019998,0.0046995300469953,0.0152984701529847,0.07999200079992,0.631736826317368,0.209279072092791,0.370762923707629,0.0552944705529447,0.0003999600039996,0.433056694330567,0.0021997800219978,0.136386361363864,0.0005999400059994,0.0538946105389461,0.308969103089691,0.204979502049795,0.0002999700029997,0.432956704329567,0.0033996600339966,0.0001999800019998,0.0770922907709229,0.201379862013799,0.997400259974003,0.824817518248175,0.01999800019998
"HSPA8-2",0.533846615338466,0.0886911308869113,0.106289371062894,0.0620937906209379,0.273972602739726,0.198580141985801,0.298570142985701,0.101489851014899,0.768123187681232,0.663233676632337,0.0402959704029597,0.0510948905109489,0.020997900209979,0.249275072492751,0.114488551144886,0.207379262073793,0.0605939406059394,0.0237976202379762,0.030996900309969,0.331266873312669,0.0176982301769823,0.981101889811019,0.661333866613339,0.706429357064294,0.217378262173783,0.0471952804719528,0.026997300269973,0.121687831216878,0.215678432156784,0.162383761623838,0.294170582941706,0.247175282471753,0.0403959604039596,0.118888111188881,0.503249675032497,0.122087791220878,0.233876612338766,0.459054094590541,0.425357464253575,0.0848915108489151,0.308769123087691,0.0067993200679932,0.624837516248375,0.107289271072893,0.0005999400059994,0.0676932306769323,0.178482151784822,0.92980701929807,0.59034096590341,0.122287771222878
"NMU-1",0.597940205979402,0.418658134186581,0.371362863713629,0.251274872512749,0.587341265873413,0.275272472752725,0.565243475652435,0.57954204579542,0.621237876212379,0.288571142885711,0.390760923907609,0.375662433756624,0.142685731426857,0.75042495750425,0.635336466353365,0.638236176382362,0.136886311368863,0.358764123587641,0.0905909409059094,0.71982801719828,0.0648935106489351,0.853314668533147,0.744525547445255,0.543245675432457,0.532246775322468,0.484851514848515,0.448155184481552,0.455854414558544,0.385761423857614,0.723927607239276,0.277972202779722,0.692930706929307,0.315368463153685,0.559444055594441,0.52024797520248,0.609239076092391,0.458754124587541,0.791020897910209,0.467753224677532,0.707629237076292,0.851214878512149,0.245575442455754,0.663433656634337,0.303969603039696,0.352364763523648,0.851114888511149,0.415058494150585,0.789421057894211,0.885711428857114,0.606939306069393
"NMU-2",0.256074392560744,0.18968103189681,0.527847215278472,0.286371362863714,0.362963703629637,0.0002999700029997,0.420557944205579,0.232676732326767,0.840815918408159,0.590740925907409,0.263673632636736,0.380661933806619,0.181481851814819,0.623237676232377,0.663633636636336,0.335666433356664,0.214878512148785,0.181081891810819,0.131886811318868,0.304769523047695,0.126587341265873,0.0918908109189081,0.774322567743226,0.82011798820118,0.639136086391361,0.364963503649635,0.207579242075792,0.414158584141586,0.32966703329667,0.724127587241276,0.285871412858714,0.685231476852315,0.309169083091691,0.263373662633737,0.495050494950505,0.242675732426757,0.353364663533647,0.354364563543646,0.646735326467353,0.69013098690131,0.526847315268473,0.154684531546845,0.589241075892411,0.302169783021698,0.336666333366663,0.63993600639936,0.493850614938506,0.945705429457054,0.931206879312069,0.271072892710729
"PPIA-1",0.628337166283372,0.386861313868613,0.140685931406859,0.206479352064794,0.489251074892511,0.126687331266873,0.448755124487551,0.624037596240376,0.56984301569843,0.548945105489451,0.342865713428657,0.167283271672833,0.0845915408459154,0.696530346965303,0.360963903609639,0.538546145385461,0.116488351164884,0.334066593340666,0.0646935306469353,0.352164783521648,0.0762923707629237,0.661833816618338,0.668533146685331,0.353664633536646,0.375862413758624,0.430856914308569,0.244475552444756,0.383961603839616,0.189481051894811,0.443155684431557,0.278072192780722,0.399160083991601,0.134986501349865,0.477052294770523,0.364863513648635,0.473252674732527,0.348765123487651,0.751824817518248,0.574342565743426,0.7995200479952,0.627337266273373,0.144085591440856,0.55994400559944,0.336866313368663,0.315168483151685,0.872212778722128,0.261273872612739,0.706329367063294,0.91050894910509,0.190780921907809
"PPIA-2",0.0131986801319868,0.564343565643436,0.974802519748025,0.779122087791221,0.192080791920808,0.424157584241576,0.690530946905309,0.428657134286571,0.715528447155285,0.325467453254675,0.0001999800019998,0.928807119288071,0.0001999800019998,0.68033196680332,0.759124087591241,0.422657734226577,0.65973402659734,0.0001999800019998,0.271172882711729,0.17038296170383,0.13968603139686,0.0240975902409759,0.896810318968103,0.801819818018198,0.697030296970303,0.69013098690131,0.847815218478152,0.73032696730327,0.587941205879412,0.615938406159384,0.251274872512749,0.66033396660334,0.708629137086291,0.178182181781822,0.810518948105189,0.253374662533747,0.727527247275273,0.633736626337366,0.558344165583442,0.714928507149285,0.525147485251475,0.973202679732027,0.545545445455454,0.339366063393661,0.738226177382262,0.988701129887011,0.74042595740426,0.97970202979702,0.881311868813119,0.785521447855214
"RPL22-1",0.666533346665333,0.405259474052595,0.538746125387461,0.613038696130387,0.535946405359464,0.521347865213479,0.712628737126287,0.469153084691531,0.574342565743426,0.363063693630637,0.510848915108489,0.596340365963404,0.0001999800019998,0.593740625937406,0.346665333466653,0.559244075592441,0.47025297470253,0.532046795320468,0.38016198380162,0.853914608539146,0.45995400459954,0.856314368563144,0.697830216978302,0.642435756424358,0.605839416058394,0.689331066893311,0.502049795020498,0.604139586041396,0.501849815018498,0.755524447555245,0.528047195280472,0.488151184881512,0.583941605839416,0.695930406959304,0.544745525447455,0.678332166783322,0.52954704529547,0.586541345865414,0.614638536146385,0.719028097190281,0.574242575742426,0.360863913608639,0.559444055594441,0.467853214678532,0.455254474552545,0.640835916408359,0.718928107189281,0.105389461053895,0.764923507649235,0.578642135786421
"RPL22-2",0.382161783821618,0.101989801019898,0.16028397160284,0.135286471352865,0.254974502549745,0.17018298170183,0.22997700229977,0.224977502249775,0.449055094490551,0.387161283871613,0.0938906109389061,0.0988901109889011,0.0001999800019998,0.437156284371563,0.66003399660034,0.35956404359564,0.0735926407359264,0.0826917308269173,0.102189781021898,0.441055894410559,0.0552944705529447,0.754824517548245,0.788921107889211,0.574842515748425,0.337566243375662,0.32016798320168,0.0906909309069093,0.345765423457654,0.127987201279872,0.877812218778122,0.237176282371763,0.675832416758324,0.133186681331867,0.251174882511749,0.257674232576742,0.18038196180382,0.328267173282672,0.472652734726527,0.336966303369663,0.222577742225777,0.397960203979602,0.10968903109689,0.207179282071793,0.105589441055894,0.604339566043396,0.662633736626337,0.0294970502949705,0.92970702929707,0.734826517348265,0.0892910708929107
"NTC-1",0.090990900909909,0.404959504049595,0.76952304769523,0.447855214478552,0.56034396560344,0.619238076192381,0.657834216578342,0.613838616138386,0.865213478652135,0.551144885511449,0.562743725627437,0.703829617038296,0.29017098290171,0.852414758524148,0.596440355964404,0.532246775322468,0.377662233776622,0.332566743325667,0.11048895110489,0.631036896310369,0.0668933106689331,0.643235676432357,0.62963703629637,0.671632836716328,0.554444555544446,0.4001599840016,0.671932806719328,0.595240475952405,0.37966203379662,0.616238376162384,0.406059394060594,0.514948505149485,0.477852214778522,0.305569443055694,0.292270772922708,0.409359064093591,0.55024497550245,0.766623337666233,0.367063293670633,0.146385361463854,0.658334166583342,0.555044495550445,0.57984201579842,0.205579442055794,0.801319868013199,0.949405059494051,0.471852814718528,0.701229877012299,0.887611238876112,0.558244175582442
"NTC-2",0.759124087591241,0.702429757024298,0.685231476852315,0.703829617038296,0.787821217878212,0.702329767023298,0.559244075592441,0.752224777522248,0.863113688631137,0.724927507249275,0.647635236476352,0.605039496050395,0.380561943805619,0.834816518348165,0.690930906909309,0.772222777722228,0.557444255574443,0.685431456854315,0.273072692730727,0.82051794820518,0.247075292470753,0.467653234676532,0.883311668833117,0.82031796820318,0.676532346765323,0.713928607139286,0.547045295470453,0.728627137286271,0.667633236676332,0.751424857514249,0.653434656534347,0.694630536946305,0.481851814818518,0.850714928507149,0.656034396560344,0.61983801619838,0.516948305169483,0.715628437156284,0.804219578042196,0.761323867613239,0.509249075092491,0.316968303169683,0.471852814718528,0.53014698530147,0.40965903409659,0.631136886311369,0.586341365863414,0.92980701929807,0.817518248175182,0.875112488751125
"NTC-3",0.0271972802719728,0.0725927407259274,0.970502949705029,0.274672532746725,0.165283471652835,0.336566343365663,0.547745225477452,0.405459454054595,0.545745425457454,0.552544745525447,0.768923107689231,0.908909109089091,0.466653334666533,0.877712228777122,0.612538746125388,0.223877612238776,0.211578842115788,0.322967703229677,0.164183581641836,0.0967903209679032,0.0420957904209579,0.283171682831717,0.898210178982102,0.832216778322168,0.459254074592541,0.392960703929607,0.357364263573643,0.243975602439756,0.45955404459554,0.639336066393361,0.148485151484852,0.126587341265873,0.586041395860414,0.0012998700129987,0.337866213378662,0.0192980701929807,0.593540645935406,0.49015098490151,0.371362863713629,0.385561443855614,0.724427557244276,0.944205579442056,0.186981301869813,0.178782121787821,0.314768523147685,0.995000499950005,0.535846415358464,0.990800919908009,0.988101189881012,0.34976502349765
