"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"CD46-1",0.215801318747692,0.628994433833361,0.436806828111393,0.352392205017216,0.338529491600536,0.515822960654725,0.739547388565714,0.476755303232017,0.862667896671619,0.056084011858835,0.548637052232183,0.260169212798277,0.240027977296324,0.835741403805437,0.867984976858998,0.414068004318989,0.274320922500626,0.452852113850598,0.161626249138431,0.302470428884962,0.188470565261872,0.319159623695245,0.882118339886625,0.770704457384566,0.588071521677324,0.370734542096528,0.44607029924419,0.497536563510661,0.320503039207256,0.845785002746483,0.219976636358858,0.849725268796779,0.46676564060824,0.557556853802934,0.356885167001243,0.47383052421056,0.461656771225371,0.854891234953062,0.307688348227415,0.923424883810254,0.926982578800559,0.39145539026256,0.342200390289377,0.328446771676421,0.104047874466042,0.730964672374103,0.581215718603208,0.525274078514813,0.182618463872666,0.315533300268107
"CD46-2",0.542614938401856,0.362533058173073,0.873277249402104,0.337895626831353,0.571097008056935,0.514010749232321,0.64804828563595,0.418316825302606,0.846698292582984,0.0564125678708083,0.68065354837178,0.816156658476158,0.305383345509904,0.709930404990522,0.82783864989015,0.67892946882423,0.32462900893048,0.357326239588458,0.131635681932468,0.449783887443397,0.0774898173047722,0.90227795384706,0.504384021888252,0.767377072572581,0.481893803434213,0.19673981605317,0.423590675646793,0.477161511705582,0.298495253181974,0.831209741579417,0.332993913871581,0.781581098499517,0.599828340950005,0.210848594125233,0.518880260961567,0.20727487842884,0.565237918661983,0.41010253721394,0.382385446096865,0.570688739401409,0.581767516603184,0.674190254160146,0.514505325206334,0.183458009895135,0.121478937002029,0.956473763763978,0.39070822755932,0.85782753098879,0.7742917556814,0.667304847923403
"CD52-1",0.53277088095101,0.301579149094795,0.502784492053697,0.50976636732766,0.53606762576863,0.475340881758487,0.880013079203946,0.355768260542423,0.873632077806024,0.767730947777212,0.58833071832492,0.426299583198252,0.50445865962527,0.478883307782846,0.528259918468244,0.494664561924185,0.423954477432283,0.469704007269176,0.565788602460281,0.74477469902342,0.562440202586095,0.692553518489493,0.865899021890568,0.501718784572436,0.252364680146209,0.437430592579069,0.632662989715426,0.608152689804803,0.480038755227247,0.695703799105229,0.525150401821709,0.652805496556807,0.755613008117535,0.511475479996053,0.703917003388887,0.720225948136452,0.428777865328524,0.287552079357268,0.765001918836206,0.831958426886851,0.849185699084883,0.559037886864278,0.758993852007639,0.363193299303439,0.66970790149212,0.436567246149391,0.778047868228985,0.524725176893408,0.129453732739686,0.353536234386241
"CD52-2",0.441523979244565,0.103567424996044,0.263374430349844,0.0958695705256827,0.094942079437514,0.0915312136359092,0.137272278307862,0.210230894975084,0.756520557045702,0.426610694949371,0.14307446649385,0.148403119766203,0.0834968620006792,0.334077521265754,0.170331069332226,0.180766071837617,0.0917832132989614,0.0772901234075638,0.089533982381521,0.275153070548674,0.0717096469628672,0.914714492006427,0.702372537613721,0.873029193576606,0.100191080646233,0.0868924565269609,0.0937872293420947,0.186138627285547,0.0894011952411702,0.329050027216842,0.327944156809786,0.146430406986756,0.181672218568955,0.0796919271841128,0.293097633936097,0.0842168391818947,0.376066973413548,0.784780730464594,0.424046992244353,0.864827312690392,0.118448026692035,0.0822051063713096,0.385652150923115,0.0818409587233043,0.110066331612169,0.450465848250819,0.24348900178072,0.953438619593727,0.953227598409257,0.48288426093082
"HSPA8-1",0.07228067975463,0.0614307509751651,0.125149301060805,0.0733215037495383,0.10310472117301,0.0696691066397988,0.226839830336177,0.0584195431714238,0.721510907000945,0.0578066194757054,0.0512088791449192,0.0650894074952874,0.0490679978643677,0.092854271108737,0.0614111628216689,0.06553322269125,0.0741811987523693,0.0534778399781785,0.0689028318428706,0.254230660024992,0.0756842757712289,0.393316525816464,0.955508743947409,0.707836026181767,0.316919835042909,0.0592212301885486,0.0519676380689519,0.0563204752231211,0.0811258220312389,0.659476769972146,0.165151191164953,0.311521517070507,0.0701180013100711,0.0581000256021622,0.393378786775458,0.0539947611297773,0.11598344281054,0.0593059570115901,0.0719057425333029,0.243681761663573,0.159332958801431,0.0486188513500271,0.382270001451341,0.0518475714640872,0.0700667100157418,0.0938075533747601,0.153348157246876,0.980406014080208,0.850462479057394,0.0687602397407546
"HSPA8-2",0.486408218681829,0.0913154478348168,0.0918850833608588,0.0711115918875678,0.204984620198842,0.153562675574704,0.231354422864796,0.100583467400307,0.813561233042399,0.686704113013833,0.0645044254158142,0.0673064531187127,0.0516764600457341,0.189592843932358,0.107876172359951,0.158109023695949,0.0664623334550092,0.0593117810815236,0.0673105137371084,0.276082492030476,0.0635299243227471,0.968959350069145,0.676025185046584,0.752429630584484,0.169536840422851,0.0714671152585745,0.0573573224197256,0.104023479052026,0.160581785850906,0.135055227121,0.232702664248897,0.199211882562586,0.0640226773102504,0.105168358081423,0.471193371686184,0.105542518499625,0.179844769969501,0.414518196659009,0.372539288631909,0.0948990672890061,0.257462275410417,0.0505869268802656,0.619547468997542,0.0932544476514552,0.0706182886878073,0.0912805733237346,0.141887839580549,0.953591377757498,0.603832828103969,0.111508551263427
"NMU-1",0.564924571454462,0.324078156692975,0.29672930874568,0.173583538462896,0.573546208684005,0.198622215243535,0.546331633740886,0.562679470371617,0.633638607481304,0.20703305313366,0.316126907838064,0.296348243791502,0.10504064804371,0.777892929502745,0.624256827526403,0.652557268955246,0.104875266647498,0.266550949972341,0.0942295610651434,0.748649683419259,0.0824455948686216,0.894196246196205,0.764909721612394,0.529467952078027,0.489223181296798,0.422352984888023,0.369669109455893,0.391668116536825,0.295010246002504,0.753540454431523,0.189855153504765,0.720835702223661,0.232566460484475,0.528739655882557,0.486197748385361,0.611400803290272,0.387185721101316,0.821170760057651,0.415633628059023,0.752550277551625,0.881560248992085,0.171403768412214,0.690713837220777,0.21955927942575,0.279233896624806,0.896610138538839,0.342309324976798,0.830833691212229,0.922168503614354,0.577756245045187
"NMU-2",0.194060464369438,0.148803241666431,0.503184010408837,0.220812065664142,0.293933615831722,0.0548357938821539,0.339707779136036,0.180135971873228,0.877498232117826,0.587469099463559,0.197732390474579,0.328648969731516,0.139790845198342,0.644881082320051,0.675847206832009,0.271390578192076,0.162956671170712,0.136740766182427,0.109294223280685,0.230367580048949,0.109248369710109,0.0981994372295266,0.812577453619298,0.857575480836647,0.637630466382523,0.292658025028366,0.154997711488533,0.353927257067038,0.254763612433807,0.769042791650576,0.214938336823697,0.717269131061979,0.244116631421391,0.187317136864339,0.457506260950252,0.175235039955666,0.281145912910218,0.288016514293888,0.650233791971635,0.709699613054772,0.509145392707984,0.121285250857416,0.571605402724055,0.239454131251626,0.248217784926474,0.634052703138079,0.448799329750187,0.953653411118861,0.943664481031253,0.215999451474825
"PPIA-1",0.647713284392187,0.348727827061743,0.119662894642437,0.177353347675216,0.471994740263692,0.120990513752923,0.431726943143025,0.643474418726475,0.583923825445168,0.562246818946641,0.312716290196662,0.141715503418973,0.0832938756122311,0.746826646500539,0.319006927038837,0.549489260915923,0.107535117292051,0.294669854363498,0.0796558382697821,0.313882954993913,0.089067108455703,0.683570896081546,0.702057064709202,0.312652590253619,0.324030527609224,0.396578294470742,0.20191372497979,0.35883673192006,0.159808532514353,0.401924750281029,0.23215965057134,0.362711849369393,0.118079014163055,0.45662747336042,0.332741040165425,0.474795798724806,0.319444929274503,0.807592817971488,0.589310355389493,0.858520153602586,0.66405013843952,0.120057388254331,0.563202290038107,0.297279901302216,0.256312718266106,0.913346365802979,0.210608395345352,0.731322112593433,0.934119217934731,0.169632025371647
"PPIA-2",0.0678507252812198,0.562638054988299,0.958089584863351,0.824573149358017,0.136196425772699,0.375420738726982,0.713924362002547,0.368606895757711,0.764341443206926,0.238575384542273,0.0510211849224938,0.933677823788627,0.0452297548409662,0.717286173108464,0.796268624202962,0.370095490802204,0.696276420014727,0.0531203211964439,0.195910034078923,0.127723912592828,0.105614779342977,0.074224458381066,0.926175367301549,0.846394788778079,0.734534973433461,0.724946627776455,0.880761432537169,0.778572569083928,0.605262879391442,0.628751411385452,0.184147333420097,0.685330556513075,0.750535255954584,0.131424144622683,0.855070374918608,0.180316767058679,0.782272358933805,0.653375319842296,0.54578521008108,0.74893239288124,0.504475875331473,0.955348008907759,0.522454841849545,0.282717343706919,0.769907305872302,0.977687538255231,0.771673358234258,0.968650369626766,0.921361156621972,0.81335992927165
