"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"CD46-1",0.254690504052943,0.612406013132582,0.466221272987686,0.390108350666745,0.383740815043328,0.515244686966692,0.7123275169859,0.524193260586137,0.86329515255711,0.000295420946509148,0.551086729956518,0.307030859996643,0.291254380976982,0.829866312258959,0.858980682092752,0.474228845484574,0.33251774042013,0.486172267470566,0.18684391311634,0.360504255623478,0.222811619253011,0.299066047981765,0.872877285593477,0.76289990754714,0.586951787687996,0.401938794515842,0.467453365266857,0.510958259478835,0.373431187669845,0.741237436118301,0.250167548854339,0.82378263390819,0.481816256247914,0.567727543358662,0.398444044087267,0.5044130720612,0.467538604514236,0.851807586356562,0.379184648822834,0.914286958543394,0.888054833336062,0.414566098255086,0.38250424745493,0.366059828852896,0.0921593882229615,0.744626478123103,0.601717605277691,0.565902225975687,0.224021280576089,0.336145228239645
"CD46-2",0.564351311456286,0.411423050804681,0.85654302410849,0.379742450295618,0.55496808620282,0.533166682392636,0.646571066395883,0.430096240289011,0.836034286910787,1.61605628878903e-08,0.659885043354758,0.809108119106211,0.361160906280819,0.694000881294911,0.82443486541436,0.662682757196726,0.373449059911457,0.379668298987148,0.147969473804373,0.49147945752007,0.0439373652349501,0.886137562570651,0.46989852675286,0.745906494073341,0.511862652602669,0.238164091223809,0.455399549497238,0.497685678186235,0.353586899746076,0.727781408868261,0.3792229665475,0.766627647459204,0.577602412988919,0.252751786865587,0.54069713967666,0.256387934770502,0.541042195278401,0.441193660905424,0.437503703593592,0.570158079529408,0.562033661734587,0.638507821148645,0.553144364950675,0.220762197854192,0.114109883067524,0.956463646608312,0.411544161950395,0.850755974059333,0.778730069572106,0.654489040199712
"CD52-1",0.557595800313799,0.347175896591343,0.515100969710457,0.490429986784462,0.55504144568097,0.492883424250429,0.862840285252366,0.381777174914742,0.850275257453902,0.753859680459039,0.57727276051188,0.433728461188803,0.511547903176749,0.504050388675133,0.541261686670242,0.493960760353877,0.433866333362237,0.507518749474511,0.563068091118794,0.688837478914504,0.586883998340526,0.710410317298637,0.837417651109584,0.496827961870654,0.295910564349344,0.436724213031172,0.619409024315823,0.593297599075829,0.499042052001536,0.699555279030115,0.53717510817047,0.599918041521886,0.718458045008347,0.51214956836458,0.696251118447363,0.702136354661958,0.462507719938303,0.333323533528903,0.666984775721735,0.750056820149165,0.817685513476569,0.544482871654335,0.759175718251225,0.402726066128529,0.648712885896118,0.453206565648929,0.775397633590905,0.560935821199722,0.117027471606265,0.396416982040123
"CD52-2",0.468278823366178,0.0927243823975579,0.314477534082438,0.102012779184195,0.0796543629652844,0.0847499490809407,0.159906821173635,0.25674001923056,0.735445670029906,0.441313487210246,0.180638394350502,0.179579784826374,0.0948427724437879,0.355189601158434,0.211893349015102,0.202335485028639,0.107492178195476,0.0644438418522315,0.0772112925910236,0.294862008601424,0.0311629078649021,0.882181070810584,0.700098240091092,0.864132322411494,0.0968205803331443,0.0643639495568628,0.100165978133662,0.234303520364032,0.0968790786451541,0.383779688968838,0.365750520489074,0.177782520715185,0.228670202271074,0.0487335711915109,0.328910204740974,0.0714951573481655,0.39056071567639,0.704572516122848,0.427083323343466,0.855859075049262,0.131895932468461,0.0899438098138279,0.423089175255397,0.0756967890017445,0.0942618115712289,0.427755002864167,0.283681545480928,0.948026436617739,0.948002554699249,0.499696904159403
"HSPA8-1",0.0163822281006394,0.00591930375229888,0.159774059344145,0.0551919142436362,0.0991075989338894,0.0383826832078996,0.264162284287395,0.00114091283302942,0.723474717611159,2.58438840842817e-08,8.73714722128645e-08,0.0454986550590388,0.0102969177661164,0.0724510526640039,2.61477298701962e-08,0.0338227476640374,0.0727620153160695,3.33696732106139e-06,0.0246932242797359,0.311030889173033,0.0400959497906234,0.425553189170261,0.956302924922401,0.709130271502267,0.370814613775695,0.000146663909787632,0.00248849634116662,0.0164470567636399,0.0797392521817206,0.654773584335695,0.186998024712367,0.374091175726342,0.0486606411475869,8.36860019886956e-05,0.435315697745633,0.000591001957522597,0.13620863637003,0.00289088857048542,0.0502101682787646,0.286903420305713,0.190419133210259,9.14702658061373e-09,0.369830373798328,0.00273292948011916,1.77391282774053e-08,0.054660558781217,0.175315811738506,0.965606820260098,0.792857717222398,0.0131471514072894
"HSPA8-2",0.516689239979218,0.0814481031243492,0.105811835123472,0.0505838181660609,0.245960211686514,0.188119594917517,0.253429573390658,0.0990038728713516,0.78824530393301,0.674590592454583,0.0365666373507909,0.0540353779300063,0.0191566693423804,0.228891179708275,0.108456576275705,0.209829461250837,0.0544322713777096,0.0169544861654076,0.0251032007203892,0.30926477371517,0.0151443460558132,0.972027617068631,0.603594637454595,0.69838632763316,0.20961959913101,0.0350425133716625,0.0192562694408879,0.116992802958967,0.212617670983613,0.157012281861273,0.270290618360413,0.233395337499872,0.0351565294263575,0.100723944720514,0.503431128651142,0.115285806920649,0.223453629931291,0.455325340046891,0.436555358192555,0.0704966154325741,0.278575216101987,0.00686241873069504,0.614516411875244,0.097961784100797,0.00072370139972544,0.0559941653337475,0.16050738521319,0.940014125090991,0.636220281411975,0.101558961726028
"NMU-1",0.559049029852478,0.352901272787107,0.323098238459982,0.194939499840475,0.571735530974466,0.215196872864096,0.530251262245109,0.577217073467672,0.597139638762824,0.242075046584874,0.34397561022826,0.345211985659206,0.133212099418582,0.756276664417831,0.616759419298578,0.665295991917364,0.127659233728176,0.315211392968604,0.0702994550355546,0.739853066702348,0.0484788207033676,0.832263923477068,0.771131488798512,0.537341811059923,0.466187149771999,0.441488651127153,0.405666286341682,0.388397327153946,0.346789073192456,0.724606570120321,0.217566227057708,0.687160015697966,0.28652019497108,0.54661122244076,0.498790854325684,0.587998362057779,0.433196427547488,0.807124745357275,0.451593115576599,0.675817666646391,0.866016302908944,0.217364887134008,0.659023499400435,0.274310536701782,0.327033920862693,0.868933147788736,0.385742661224916,0.772403567960144,0.897507361110232,0.519488926286169
"NMU-2",0.225844284194128,0.171425659450309,0.524354528437384,0.27119092563014,0.337478614818649,3.06612003897477e-07,0.399568823978149,0.234031858247315,0.852158526670835,0.560933876732714,0.250435793057435,0.396633545229506,0.18563560790029,0.642677218541406,0.680118913654356,0.322858867113468,0.216121666129056,0.164576439223671,0.115773956700688,0.270499836475285,0.114425161558464,0.06529712717087,0.72683891157338,0.823552931105313,0.599307272204153,0.347066166324097,0.194479863497495,0.395302706471411,0.298744046119361,0.72966421433055,0.259772925043632,0.6759701301589,0.2926731166831,0.230001629461033,0.450523511441789,0.21162635593667,0.311167262581986,0.324938953084226,0.63651861950583,0.702518848964583,0.541086623373047,0.160406607585838,0.601058235957041,0.29225834314732,0.295259650491511,0.591306348732137,0.481001082838058,0.951649761277082,0.929056660720075,0.254841467328433
"PPIA-1",0.589813783837523,0.410276530867985,0.141345382879084,0.215457320126556,0.512744286370765,0.139204032264239,0.482688011109179,0.611294279558425,0.545299791538474,0.579680970801954,0.352519494194872,0.181050013592678,0.0944172357765949,0.74667131404975,0.366722400375805,0.558769918400166,0.131099680174965,0.354705758990293,0.0522400658612809,0.327012035933446,0.0684228350402672,0.620977800804401,0.688024461771075,0.367537309847088,0.376694096559209,0.423775188353082,0.247284453173188,0.388809806743448,0.203258760642817,0.448355888544408,0.256700868766611,0.41371171580233,0.13722914456235,0.475454284965765,0.381567029856634,0.477965741201253,0.358161603696784,0.802112002023886,0.60182847258654,0.781804006092419,0.660099593048712,0.150191500402057,0.592205202321715,0.343078819527039,0.298897396436533,0.902130507704925,0.223371672678415,0.713331995818303,0.893074267816994,0.198745241472036
"PPIA-2",0.00735683405937948,0.544142263662595,0.980553524755722,0.775363584481808,0.148953238696834,0.42228055658616,0.685590716962511,0.400673895282606,0.734030231825753,0.270675479701402,4.71110186417434e-08,0.949138154468888,0.000191014906250856,0.693326529058309,0.750770749456747,0.387624453228262,0.661472109415284,0.000152577277211532,0.222869999342198,0.154207510173153,0.0909110087506142,0.017257372229755,0.884164023359249,0.839175854152654,0.664900915997561,0.709421824690846,0.860106471727023,0.747546824790795,0.548517600075809,0.621714149198166,0.214865671824408,0.657105459275741,0.699030091745025,0.130389955266117,0.841250581262431,0.223184894005682,0.773305201742775,0.64993607016726,0.58185338846534,0.728880811299072,0.504970117571081,0.973494242609699,0.536901221741482,0.312494939426831,0.743528112713631,0.974091511628569,0.763987497213635,0.973223647381384,0.896056596152544,0.790768759873057
