"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"NTC-1",0.543345665433457,0.521747825217478,0.665833416658334,0.602239776022398,0.463253674632537,0.440955904409559,0.471052894710529,0.471952804719528,0.468753124687531,0.507049295070493,0.652934706529347,0.672832716728327,0.473352664733527,0.452954704529547,0.510648935106489,0.51954804519548,0.515248475152485,0.632736726327367,0.721027897210279,0.72002799720028,0.519148085191481,0.484751524847515,0.525547445255474,0.633636636336366,0.476652334766523,0.500549945005499,0.481251874812519,0.478052194780522,0.471452854714529,0.467653234676532,0.538446155384462,0.3996600339966,0.483151684831517,0.446055394460554,0.54014598540146,0.464353564643536,0.463453654634537,0.42035796420358,0.482151784821518,0.504449555044496,0.483151684831517,0.484451554844516,0.492550744925507,0.502549745025497,0.480551944805519,0.418458154184582,0.559444055594441,0.504349565043496,0.440955904409559,0.459254074592541
"NTC-2",0.43045695430457,0.484751524847515,0.424957504249575,0.463753624637536,0.47015298470153,0.484451554844516,0.485351464853515,0.5000499950005,0.41015898410159,0.440655934406559,0.456454354564544,0.436156384361564,1,0.494650534946505,0.446655334466553,0.471052894710529,1,0.477752224777522,0.503349665033497,0.478952104789521,0.480651934806519,0.39006099390061,0.453454654534547,0.412758724127587,0.479052094790521,0.450854914508549,0.474152584741526,0.490550944905509,0.477152284771523,0.418458154184582,1,0.455254474552545,0.494650534946505,0.426257374262574,0.477052294770523,0.444555544445555,0.473052694730527,0.477152284771523,0.414858514148585,0.460953904609539,0.447755224477552,1,0.475852414758524,1,0.413858614138586,0.4999500049995,1,0.402859714028597,0.423257674232577,0.454054594540546
"NTC-3",0.474752524747525,1,0.232976702329767,0.491250874912509,0.44035596440356,0.452154784521548,1,1,0.396360363963604,0.49015098490151,0.455754424557544,0.288471152884712,0.407859214078592,0.453954604539546,0.452454754524548,1,1,0.480751924807519,1,1,0.4995500449955,0.406359364063594,0.417558244175582,0.334466553344666,0.471352864713529,0.491750824917508,1,0.447455254474553,0.468753124687531,0.413458654134587,1,0.395060493950605,0.453754624537546,1,0.489251074892511,1,0.416958304169583,1,0.471952804719528,0.368563143685631,0.498050194980502,0.222977702229777,0.468453154684532,1,0.377362263773623,0.367863213678632,1,0.38006199380062,0.459154084591541,0.402159784021598
"NTC-4",0.47015298470153,0.483251674832517,0.468853114688531,0.501449855014499,0.486951304869513,1,0.454554544545545,0.464253574642536,0.472752724727527,0.480851914808519,0.475052494750525,1,1,0.453854614538546,0.424457554244576,0.445855414458554,1,0.493950604939506,0.478952104789521,0.417758224177582,0.508349165083492,0.441355864413559,0.397460253974603,0.411658834116588,0.498250174982502,0.45965403459654,0.475952404759524,0.507949205079492,1,0.421957804219578,0.464953504649535,0.480651934806519,0.489251074892511,0.421557844215578,0.433356664333567,0.471052894710529,0.445255474452555,0.463353664633537,0.47005299470053,0.453454654534547,0.457454254574543,1,0.458154184581542,0.511748825117488,0.425557444255574,1,0.47025297470253,0.436656334366563,0.471052894710529,0.504449555044496
"NTC-5",0.479352064793521,0.454854514548545,0.369363063693631,0.447355264473553,0.453254674532547,0.435656434356564,0.45005499450055,0.431756824317568,0.442955704429557,0.500949905009499,0.425657434256574,0.343165683431657,0.420557944205579,0.453754624537546,0.438156184381562,0.481151884811519,0.495350464953505,0.474052594740526,1,1,0.455054494550545,0.437656234376562,0.452154784521548,0.432656734326567,0.437356264373563,0.457154284571543,0.431156884311569,0.484151584841516,0.500849915008499,0.466653334666533,1,0.400959904009599,0.428757124287571,0.453954604539546,0.427857214278572,0.417758224177582,0.448655134486551,0.417158284171583,0.435656434356564,0.423457654234577,0.486351364863514,0.353364663533647,0.467253274672533,1,0.411158884111589,0.404259574042596,0.433956604339566,0.41035896410359,0.309269073092691,0.47965203479652
"NTC-6",0.447055294470553,0.460653934606539,0.42995700429957,0.467053294670533,0.481951804819518,0.465153484651535,0.480651934806519,0.49015098490151,0.452854714528547,0.496450354964504,0.445555444455554,0.435656434356564,1,0.454254574542546,0.48035196480352,0.472152784721528,1,0.471752824717528,0.475352464753525,0.477652234776522,0.502249775022498,0.46965303469653,1,0.369163083691631,0.465553444655534,0.419358064193581,1,0.46955304469553,1,0.422457754224578,0.488451154884512,0.487451254874513,0.5004499550045,0.47955204479552,0.411158884111589,1,0.473652634736526,0.457254274572543,0.38956104389561,0.400859914008599,0.470852914708529,0.494850514948505,0.365663433656634,1,0.436956304369563,0.420757924207579,1,0.45995400459954,0.368663133686631,1
"NTC-7",0.480551944805519,0.502949705029497,0.486851314868513,0.458954104589541,0.516448355164484,0.506149385061494,0.473752624737526,0.465653434656534,0.498750124987501,0.516248375162484,0.472052794720528,0.503249675032497,0.517348265173483,0.490750924907509,0.48015198480152,0.463353664633537,0.475152484751525,0.47005299470053,0.500949905009499,0.478352164783522,0.515148485151485,0.48035196480352,0.489151084891511,0.504349565043496,0.474752524747525,0.485451454854515,0.441955804419558,0.494750524947505,0.491250874912509,0.48975102489751,0.505249475052495,0.527847215278472,0.444655534446555,0.446255374462554,0.498850114988501,0.44975502449755,0.465853414658534,0.469453054694531,0.438456154384562,0.444655534446555,0.466153384661534,0.475852414758524,0.505349465053495,0.498050194980502,0.493950604939506,0.495950404959504,0.423657634236576,0.49015098490151,0.574542545745425,0.482651734826517
"NTC-8",0.472952704729527,0.46025397460254,0.252974702529747,0.425657434256574,0.432356764323568,0.407359264073593,0.468953104689531,0.481551844815518,0.411658834116588,0.498150184981502,0.463653634636536,0.27987201279872,0.38996100389961,0.473352664733527,0.453354664533547,0.447755224477552,0.455154484551545,0.443555644435556,0.47995200479952,0.484251574842516,0.441655834416558,0.438856114388561,0.433756624337566,0.288571142885711,0.452854714528547,0.426157384261574,0.446555344465553,0.447555244475552,0.44975502449755,0.420957904209579,1,0.325367463253675,0.472852714728527,0.496850314968503,0.375462453754625,0.462653734626537,0.396560343965603,0.458154184581542,0.429457054294571,0.462653734626537,0.475652434756524,0.295470452954705,0.458854114588541,0.452254774522548,0.482951704829517,0.373962603739626,1,0.353164683531647,0.399460053994601,0.428357164283572
"NTC-9",1,0.482951704829517,0.391660833916608,1,0.476152384761524,0.475952404759524,0.497950204979502,0.502149785021498,0.465053494650535,0.474852514748525,0.418058194180582,0.389061093890611,0.468253174682532,0.438156184381562,0.465853414658534,1,1,0.448555144485551,0.4997500249975,0.442555744425557,1,0.457354264573543,0.492850714928507,0.366863313668633,0.475252474752525,0.461553844615538,0.466453354664534,0.444455554444556,0.476352364763524,0.455854414558544,0.498250174982502,0.425957404259574,0.412058794120588,1,0.448855114488551,0.473452654734527,0.467753224677532,1,0.366863313668633,0.480651934806519,0.403959604039596,0.386061393860614,0.478352164783522,1,0.464653534646535,0.475852414758524,0.429257074292571,0.386761323867613,0.450954904509549,1
"NTC-10",0.37956204379562,0.426157384261574,0.443155684431557,0.47985201479852,0.401359864013599,0.450854914508549,0.438156184381562,0.383761623837616,0.399360063993601,0.416458354164584,0.382761723827617,0.44975502449755,1,0.355264473552645,0.353164683531647,0.443955604439556,1,0.443355664433557,0.456054394560544,0.427757224277572,0.427257274272573,0.414958504149585,0.458954104589541,0.387861213878612,0.398760123987601,0.414958504149585,0.493050694930507,0.464653534646535,0.499250074992501,0.355564443555644,0.442955704429557,0.434456554344566,0.426557344265573,0.47035296470353,0.392460753924608,0.479352064793521,0.398460153984602,0.428657134286571,0.357664233576642,0.411858814118588,0.402759724027597,0.477452254774523,0.438856114388561,1,1,0.398960103989601,1,0.41955804419558,0.329067093290671,0.490850914908509
