"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"NTC-1",0.549345065493451,0.678032196780322,0.36996300369963,0.844915508449155,0.472152784721528,0.535146485351465,0.468053194680532,0.464853514648535,0.473752624737526,0.48985101489851,0.91000899910009,0.355564443555644,0.406659334066593,0.431256874312569,0.5003499650035,0.513048695130487,0.431456854314569,0.81031896810319,0.846315368463154,0.899010098990101,0.522047795220478,0.491150884911509,0.528547145285471,0.795920407959204,0.520547945205479,0.490550944905509,0.595440455954405,0.584741525847415,0.668133186681332,0.474852514748525,0.522047795220478,0.402159784021598,0.524047595240476,0.451454854514549,0.523747625237476,0.453054694530547,0.452154784521548,0.412558744125587,0.493350664933507,0.516948305169483,0.486851314868513,0.458354164583542,0.492950704929507,0.539046095390461,0.462653734626537,0.423757624237576,0.481951804819518,0.514348565143486,0.423457654234577,0.453554644535546
"NTC-2",0.44975502449755,0.493550644935506,0.421957804219578,0.466353364663534,0.48995100489951,0.4996500349965,1,0.501049895010499,0.43035696430357,0.450554944505549,0.439356064393561,0.439356064393561,1,0.474252574742526,0.450754924507549,0.482551744825517,1,0.481651834816518,1,0.488851114888511,1,0.413658634136586,0.472452754724528,0.420857914208579,0.497050294970503,0.45985401459854,0.492550744925507,0.493750624937506,1,0.448955104489551,1,0.471052894710529,0.49045095490451,0.44955504449555,0.471452854714529,0.476252374762524,0.483551644835516,0.47985201479852,0.454554544545545,0.473852614738526,0.473252674732527,1,1,1,0.41995800419958,1,1,0.412458754124588,0.360563943605639,0.443055694430557
"NTC-3",1,1,0.201779822017798,1,0.487851214878512,0.487551244875512,1,1,0.444455554444556,1,0.422857714228577,0.26957304269573,0.294670532946705,0.455354464553545,0.485451454854515,1,1,1,1,1,1,0.443455654434557,0.449455054494551,0.363563643635636,1,1,1,0.470952904709529,1,0.468353164683532,1,0.437456254374563,0.436056394360564,1,0.5002499750025,1,0.442355764423558,1,1,0.427857214278572,1,0.201579842015798,1,1,0.440555944405559,0.407959204079592,1,0.443855614438556,0.461153884611539,0.486851314868513
"NTC-4",0.472552744725527,1,0.481551844815518,1,0.498650134986501,1,0.46975302469753,0.483551644835516,0.492250774922508,0.497150284971503,0.48995100489951,1,1,0.466153384661534,0.446855314468553,0.464653534646535,1,1,1,0.42035796420358,1,0.448855114488551,0.408559144085591,0.415858414158584,1,0.476952304769523,1,1,1,0.44015598440156,0.494050594940506,0.478452154784522,1,0.430656934306569,0.438556144385561,0.483451654834517,0.457454254574543,0.472352764723528,0.481351864813519,0.474952504749525,0.454854514548545,1,0.47975202479752,1,0.458554144585541,1,1,0.444755524447555,0.471052894710529,1
"NTC-5",1,0.477352264773523,0.34976502349765,0.462953704629537,0.484551544845515,0.459254074592541,0.459354064593541,0.451954804519548,0.473952604739526,1,0.401059894010599,0.343165683431657,0.348665133486651,0.433356664333567,0.447655234476552,1,0.487751224877512,0.488651134886511,1,1,0.494650534946505,0.459054094590541,0.473552644735526,0.442455754424558,0.46955304469553,0.481251874812519,0.446555344465553,0.471152884711529,1,0.493350664933507,1,0.428657134286571,0.396560343965603,0.494450554944506,0.439356064393561,0.451554844515548,0.453954604539546,0.415058494150585,0.488551144885511,0.457354264573543,1,0.362363763623638,1,1,0.4004599540046,0.426957304269573,0.386661333866613,0.43965603439656,0.322667733226677,1
"NTC-6",0.475652434756524,0.493650634936506,0.433456654334567,1,1,0.497650234976502,1,1,0.487251274872513,1,0.446755324467553,0.466053394660534,1,0.43975602439756,1,1,1,0.499050094990501,1,0.498250174982502,1,0.49045095490451,1,0.391560843915608,0.495550444955504,0.446355364463554,1,0.488951104889511,1,0.455054494550545,1,1,1,1,0.427857214278572,1,0.48955104489551,0.47995200479952,0.456054394560544,0.422257774222578,0.494150584941506,1,0.400559944005599,1,0.492850714928507,0.447355264473553,1,0.488551144885511,0.345765423457654,1
"NTC-7",0.483851614838516,0.496750324967503,0.509449055094491,0.460753924607539,0.510948905109489,0.512248775122488,0.48025197480252,0.468453154684532,0.504049595040496,0.522747725227477,0.473552644735526,0.511748825117488,0.512248775122488,0.484451554844516,0.479352064793521,0.476352364763524,0.496150384961504,0.480551944805519,0.501749825017498,0.474952504749525,0.540645935406459,0.49025097490251,0.497650234976502,0.511848815118488,0.490750924907509,0.483651634836516,0.45025497450255,0.47975202479752,0.505349465053495,0.494250574942506,0.508649135086491,0.525747425257474,0.45015498450155,0.462853714628537,0.48025197480252,0.457254274572543,0.486351364863514,0.46015398460154,0.440755924407559,0.444355564443556,0.482551744825517,0.501749825017498,0.520947905209479,0.479352064793521,0.478652134786521,0.501649835016498,0.44025597440256,0.503349665033497,0.599140085991401,0.494650534946505
"NTC-8",1,0.497050294970503,0.263873612638736,0.493850614938506,0.482351764823518,0.456854314568543,1,1,0.478852114788521,1,0.464153584641536,0.319068093190681,0.384561543845615,0.468253174682532,0.480651934806519,1,1,0.486951304869513,1,1,1,0.477852214778522,0.471952804719528,0.331166883311669,1,0.456754324567543,1,0.491850814918508,1,0.460553944605539,1,0.378262173782622,0.492250774922508,1,0.403059694030597,1,0.434856514348565,1,1,1,1,0.33986601339866,1,1,1,0.419358064193581,1,0.383661633836616,0.382461753824618,1
"NTC-9",1,0.494850514948505,0.393060693930607,1,1,1,1,1,0.497450254974503,0.497650234976502,0.407959204079592,0.414658534146585,0.439156084391561,0.429157084291571,0.484051594840516,1,1,0.462353764623538,1,0.471052894710529,1,0.47975202479752,1,0.386461353864614,1,0.481751824817518,1,0.448655134486551,1,0.483651634836516,1,0.447455254474553,0.409359064093591,1,0.447255274472553,0.488151184881512,0.491150884911509,1,0.411858814118588,1,0.418058194180582,0.430656934306569,0.499150084991501,1,0.497050294970503,0.4998500149985,0.501049895010499,0.406659334066593,0.429057094290571,1
"NTC-10",0.397360263973603,0.451854814518548,0.447655234476552,1,0.436756324367563,0.48035196480352,0.462653734626537,0.416158384161584,0.426157384261574,0.434856514348565,0.384361563843616,0.470752924707529,1,0.32956704329567,0.366963303669633,0.493150684931507,1,0.473952604739526,1,0.458654134586541,0.479052094790521,0.436856314368563,0.472952704729527,0.41005899410059,0.43025697430257,0.425157484251575,1,0.462453754624538,1,0.383361663833617,0.454354564543546,0.467153284671533,0.405159484051595,1,0.374962503749625,1,0.424057594240576,0.458254174582542,0.3999600039996,0.441055894410559,0.424257574242576,1,0.467153284671533,1,1,0.42005799420058,1,0.447755224477552,0.27977202279772,1
"NTC-11",0.522547745225477,0.51044895510449,0.296470352964704,0.491050894910509,0.497550244975502,0.454354564543546,0.494550544945505,0.502049795020498,0.492550744925507,0.522247775222478,0.389261073892611,0.305569443055694,0.291570842915708,0.543945605439456,0.540845915408459,0.512148785121488,0.485251474852515,0.467753224677532,0.502049795020498,0.521247875212479,0.52994700529947,0.500949905009499,0.473552644735526,0.403459654034597,0.508149185081492,0.509449055094491,0.481751824817518,0.460553944605539,0.465553444655534,0.470652934706529,0.528347165283472,0.404559544045595,0.396160383961604,0.526047395260474,0.448355164483552,0.516248375162484,0.47955204479552,0.554644535546445,0.471852814718528,0.509449055094491,0.502449755024498,0.317968203179682,0.468253174682532,0.603039696030397,0.525847415258474,0.475252474752525,0.447955204479552,0.472152784721528,0.45045495450455,0.507349265073493
"NTC-12",0.431956804319568,0.465253474652535,0.402459754024598,1,0.47015298470153,0.480651934806519,1,1,1,0.468353164683532,0.485651434856514,0.493150684931507,1,0.435156484351565,0.43955604439556,1,1,1,1,0.472152784721528,0.495550444955504,0.480651934806519,1,0.382661733826617,0.46985301469853,0.464953504649535,1,0.489451054894511,1,0.408059194080592,1,0.495450454954505,0.471152884711529,1,0.486751324867513,1,1,1,0.454854514548545,0.362663733626637,0.487851214878512,1,0.458854114588541,1,1,0.434856514348565,0.481251874812519,0.435756424357564,0.478152184781522,1
