"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-1_1",0.403659634036596,0.358564143585641,0.961003899610039,0.154684531546845,0.566243375662434,0.923807619238076,0.222477752224778,0.903409659034097,0.327867213278672,0.0916908309169083,0.76012398760124,0.962103789621038,0.911608839116088,0.86971302869713,0.388661133886611,0.11018898110189,0.0692930706929307,0.617938206179382,0.458554144585541,0.76012398760124,0.446755324467553,0.402259774022598,0.285771422857714,0.862913708629137,0.800519948005199,0.863413658634137,0.121387861213879,0.106389361063894,0.02999700029997,0.4999500049995,0.436856314368563,0.564143585641436,0.642035796420358,0.15998400159984,0.713328667133287,0.839216078392161,0.474752524747525,0.806619338066193,0.383261673832617,0.434256574342566,0.219478052194781,0.591340865913409,0.667533246675332,0.75962403759624,0.103089691030897,0.534446555344466,0.28957104289571,0.372762723727627,0.191280871912809,0.593240675932407
"SNP-1_2",0.998400159984002,0.973702629737026,0.698430156984302,0.878612138786121,0.488751124887511,0.529147085291471,0.96970302969703,0.714828517148285,0.285671432856714,0.594140585941406,0.671232876712329,0.523147685231477,0.321067893210679,0.971902809719028,0.917008299170083,0.706729327067293,0.520647935206479,0.958504149585041,0.988901109889011,0.819218078192181,0.808219178082192,0.748925107489251,0.617838216178382,0.417158284171583,0.674332566743326,0.523447655234477,0.53984601539846,0.195680431956804,0.21017898210179,0.919008099190081,0.0986901309869013,0.712128787121288,0.872012798720128,0.712928707129287,0.927507249275072,0.891710828917108,0.721827817218278,0.670732926707329,0.995000499950005,0.837216278372163,0.255974402559744,0.684231576842316,0.948905109489051,0.790520947905209,0.317168283171683,0.705629437056294,0.333166683331667,0.123487651234877,0.735526447355265,0.876612338766123
"SNP-2_1",0.219078092190781,0.224077592240776,0.2996700329967,0.448355164483552,0.317968203179682,0.331766823317668,0.633536646335366,0.465253474652535,0.177382261773823,0.918808119188081,0.488351164883512,0.626837316268373,0.0394960503949605,0.621537846215378,0.953804619538046,0.333466653334667,0.538946105389461,0.251974802519748,0.667633236676332,0.202279772022798,0.885911408859114,0.475252474752525,0.14968503149685,0.103989601039896,0.0275972402759724,0.203879612038796,0.375362463753625,0.220777922207779,0.106089391060894,0.62013798620138,0.229077092290771,0.0937906209379062,0.452254774522548,0.206679332066793,0.614038596140386,0.287071292870713,0.856914308569143,0.355864413558644,0.114388561143886,0.799220077992201,0.935106489351065,0.707729227077292,0.161783821617838,0.59014098590141,0.881411858814119,0.125087491250875,0.943905609439056,0.468253174682532,0.0485951404859514,0.0925907409259074
"SNP-2_2",0.778222177782222,0.793120687931207,0.472052794720528,0.811018898110189,0.862413758624138,0.728327167283272,0.817218278172183,0.164783521647835,0.230576942305769,0.800819918008199,0.0608939106089391,0.717528247175283,0.0285971402859714,0.351764823517648,0.173482651734827,0.319268073192681,0.396060393960604,0.824417558244176,0.0780921907809219,0.242075792420758,0.46995300469953,0.0362963703629637,0.348165183481652,0.747025297470253,0.374162583741626,0.813718628137186,0.77022297770223,0.248275172482752,0.288671132886711,0.112488751124888,0.92990700929907,0.393560643935606,0.428857114288571,0.182081791820818,0.547745225477452,0.85041495850415,0.623837616238376,0.365363463653635,0.538446155384462,0.946005399460054,0.114888511148885,0.655434456554345,0.787621237876212,0.684631536846315,0.228977102289771,0.351764823517648,0.26977302269773,0.158684131586841,0.35996400359964,0.0694930506949305
"SNP-3_1",0.859214078592141,0.29017098290171,0.208679132086791,0.0955904409559044,0.146785321467853,0.891410858914109,0.716828317168283,0.695930406959304,0.424957504249575,0.7995200479952,0.396060393960604,0.244575542445755,0.465353464653535,0.314368563143686,0.0951904809519048,0.134886511348865,0.367263273672633,0.342665733426657,0.0115988401159884,0.679332066793321,0.319468053194681,0.621837816218378,0.661933806619338,0.278172182781722,0.334066593340666,0.837616238376162,0.149385061493851,0.134286571342866,0.227477252274773,0.684631536846315,0.851814818518148,0.215078492150785,0.152184781521848,0.130886911308869,0.913608639136086,0.184381561843816,0.342565743425657,0.0932906709329067,0.558744125587441,0.655734426557344,0.926807319268073,0.226477352264774,0.878612138786121,0.453454654534547,0.327967203279672,0.16008399160084,0.906809319068093,0.268873112688731,0.687631236876312,0.193680631936806
"SNP-3_2",0.919008099190081,0.123587641235876,0.592240775922408,0.314868513148685,0.643135686431357,0.507449255074493,0.0995900409959004,0.201079892010799,0.101489851014899,0.48975102489751,0.183681631836816,0.59054094590541,0.603039696030397,0.486951304869513,0.89031096890311,0.20987901209879,0.567243275672433,0.155284471552845,0.873112688731127,0.45975402459754,0.416558344165583,0.0236976302369763,0.813918608139186,0.262873712628737,0.221577842215778,0.412658734126587,0.657734226577342,0.941105889411059,0.149485051494851,0.622937706229377,0.825917408259174,0.0963903609639036,0.473652634736526,0.157684231576842,0.177782221777822,0.222177782221778,0.128087191280872,0.332266773322668,0.753824617538246,0.72962703729627,0.167283271672833,0.684231576842316,0.667233276672333,0.972102789721028,0.738826117388261,0.363163683631637,0.179482051794821,0.546945305469453,0.771022897710229,0.297770222977702
"SNP-4_1",0.158284171582842,0.094990500949905,0.0138986101389861,0.321167883211679,0.511248875112489,0.677632236776322,0.0358964103589641,0.301469853014699,0.112588741125887,0.109289071092891,0.135886411358864,0.484051594840516,0.504549545045495,0.523947605239476,0.615838416158384,0.590940905909409,0.67003299670033,0.14958504149585,0.0425957404259574,0.0127987201279872,0.0337966203379662,0.607239276072393,0.292370762923708,0.326967303269673,0.605039496050395,0.455954404559544,0.465253474652535,0.266973302669733,0.836016398360164,0.634536546345365,0.691930806919308,0.777522247775222,0.683531646835316,0.778722127787221,0.107689231076892,0.734726527347265,0.126187381261874,0.215778422157784,0.0971902809719028,0.155084491550845,0.12978702129787,0.378262173782622,0.506249375062494,0.465753424657534,0.476452354764524,0.341365863413659,0.863113688631137,0.836916308369163,0.175982401759824,0.382561743825617
"SNP-4_2",0.542645735426457,0.237676232376762,0.210678932106789,0.113488651134887,0.523547645235476,0.520847915208479,0.873712628737126,0.0504949505049495,0.300569943005699,0.624337566243376,0.33046695330467,0.476552344765523,0.0143985601439856,0.261173882611739,0.0837916208379162,0.86991300869913,0.417658234176582,0.285071492850715,0.307969203079692,0.445255474452555,0.01999800019998,0.0328967103289671,0.137486251374863,0.17048295170483,0.0077992200779922,0.0528947105289471,0.363563643635636,0.207679232076792,0.376762323767623,0.838816118388161,0.81041895810419,0.46005399460054,0.178882111788821,0.199480051994801,0.0242975702429757,0.277872212778722,0.532246775322468,0.0344965503449655,0.401859814018598,0.173782621737826,0.753424657534247,0.0521947805219478,0.107989201079892,0.533746625337466,0.818618138186181,0.694130586941306,0.626437356264374,0.625837416258374,0.165783421657834,0.16978302169783
"SNP-5_1",0.4996500349965,0.262573742625737,0.518748125187481,0.257374262573743,0.0068993100689931,0.0077992200779922,0.612238776122388,0.518448155184482,0.129287071292871,0.495550444955504,0.752624737526247,0.522347765223478,0.704729527047295,0.375662433756624,9.99900009999e-05,0.647835216478352,0.316768323167683,0.564943505649435,0.65953404659534,0.237876212378762,0.651534846515348,9.99900009999e-05,0.597940205979402,0.931506849315068,9.99900009999e-05,0.506949305069493,0.205379462053795,0.349465053494651,0.73982601739826,0.378062193780622,0.452254774522548,0.216778322167783,0.35966403359664,0.42975702429757,0.158484151584842,0.568443155684432,0.766723327667233,0.398560143985601,0.286671332866713,9.99900009999e-05,0.259074092590741,0.726627337266273,0.521947805219478,0.3995600439956,0.679432056794321,0.641935806419358,0.0510948905109489,0.70972902709729,0.697330266973303,0.0727927207279272
"SNP-5_2",0.51024897510249,0.244075592440756,0.551644835516448,0.634136586341366,0.854114588541146,0.382461753824618,0.678332166783322,0.587741225877412,0.971402859714029,0.631036896310369,0.342165783421658,0.552444755524448,0.264673532646735,0.71012898710129,0.818318168183182,0.752124787521248,0.697130286971303,0.258874112588741,0.495850414958504,0.797720227977202,0.127787221277872,0.193980601939806,0.968603139686031,0.475152484751525,0.216378362163784,0.354364563543646,0.812018798120188,0.908109189081092,0.798720127987201,0.568043195680432,0.955104489551045,0.824017598240176,0.0647935206479352,0.331466853314669,0.688531146885311,0.326167383261674,0.797220277972203,0.527747225277472,0.46045395460454,0.232976702329767,0.618238176182382,0.930806919308069,0.300769923007699,0.152884711528847,0.944605539446055,0.948705129487051,0.364563543645635,0.328467153284672,0.597540245975402,0.95970402959704
