"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-1_1",0.633836616338366,0.31026897310269,0.663533646635336,0.280871912808719,0.755424457554245,0.97990200979902,0.317468253174683,0.923607639236076,0.378462153784622,0.211878812118788,0.592640735926407,0.615438456154385,0.763823617638236,0.749125087491251,0.581341865813419,0.209279072092791,0.0651934806519348,0.452154784521548,0.572242775722428,0.487251274872513,0.620637936206379,0.51004899510049,0.439456054394561,0.622937706229377,0.851514848515148,0.8001199880012,0.222677732226777,0.25047495250475,0.125087491250875,0.67023297670233,0.614738526147385,0.29017098290171,0.676332366763324,0.272972702729727,0.852114788521148,0.904309569043096,0.643635636436356,0.866313368663134,0.434956504349565,0.591040895910409,0.314168583141686,0.63013698630137,0.601339866013399,0.47045295470453,0.178582141785821,0.67023297670233,0.161783821617838,0.514748525147485,0.133086691330867,0.595840415958404
"SNP-1_2",0.989301069893011,0.801819818018198,0.74992500749925,0.795820417958204,0.621437856214379,0.671832816718328,0.850814918508149,0.749025097490251,0.409459054094591,0.624237576242376,0.82991700829917,0.729527047295271,0.435056494350565,0.929307069293071,0.97000299970003,0.885311468853115,0.584441555844416,0.695030496950305,0.983301669833017,0.674732526747325,0.764223577642236,0.688031196880312,0.773022697730227,0.565243475652435,0.832116788321168,0.548645135486451,0.523947605239476,0.314868513148685,0.326567343265673,0.745725427457254,0.190780921907809,0.865413458654135,0.703829617038296,0.604139586041396,0.977202279772023,0.93040695930407,0.862113788621138,0.801619838016198,0.816518348165183,0.897210278972103,0.389161083891611,0.682931706829317,0.774922507749225,0.88051194880512,0.42045795420458,0.835316468353165,0.442955704429557,0.222677732226777,0.805019498050195,0.937906209379062
"SNP-2_1",0.344765523447655,0.396860313968603,0.366863313668633,0.440755924407559,0.378662133786621,0.456654334566543,0.536046395360464,0.221577842215778,0.323867613238676,0.604839516048395,0.517248275172483,0.541645835416458,0.0891910808919108,0.645635436456354,0.76022397760224,0.28967103289671,0.423457654234577,0.306169383061694,0.3001699830017,0.198480151984802,0.642735726427357,0.647735226477352,0.217278272172783,0.167183281671833,0.0722927707229277,0.2002799720028,0.346965303469653,0.31036896310369,0.274372562743726,0.420857914208579,0.140885911408859,0.177782221777822,0.499150084991501,0.106889311068893,0.485051494850515,0.340865913408659,0.766023397660234,0.452954704529547,0.209379062093791,0.467853214678532,0.88961103889611,0.336666333366663,0.251774822517748,0.165883411658834,0.741225877412259,0.238776122387761,0.836216378362164,0.289271072892711,0.0370962903709629,0.170882911708829
"SNP-2_2",0.762423757624238,0.503749625037496,0.558944105589441,0.467553244675532,0.725927407259274,0.497650234976502,0.477552244775522,0.282271772822718,0.238176182381762,0.861113888611139,0.147285271472853,0.641235876412359,0.0616938306169383,0.517548245175482,0.238976102389761,0.462553744625537,0.301769823017698,0.792720727927207,0.101789821017898,0.208879112088791,0.148885111488851,0.0486951304869513,0.293770622937706,0.560843915608439,0.241175882411759,0.59004099590041,0.541145885411459,0.437656234376562,0.385761423857614,0.181681831816818,0.975802419758024,0.490750924907509,0.583041695830417,0.317268273172683,0.70962903709629,0.606239376062394,0.24987501249875,0.282771722827717,0.525447455254475,0.95000499950005,0.173182681731827,0.223077692230777,0.771322867713229,0.375262473752625,0.184581541845815,0.306169383061694,0.396160383961604,0.0425957404259574,0.438156184381562,0.121087891210879
"SNP-3_1",0.497650234976502,0.31956804319568,0.301669833016698,0.181681831816818,0.239476052394761,0.53964603539646,0.610838916108389,0.843115688431157,0.534946505349465,0.484151584841516,0.247175282471753,0.311468853114689,0.391560843915608,0.433356664333567,0.163883611638836,0.16978302169783,0.144185581441856,0.267173282671733,0.0260973902609739,0.419458054194581,0.523147685231477,0.234376562343766,0.392760723927607,0.249075092490751,0.34046595340466,0.755024497550245,0.180781921807819,0.123587641235876,0.171682831716828,0.753124687531247,0.476452354764524,0.112788721127887,0.246775322467753,0.0927907209279072,0.901209879012099,0.177682231776822,0.342165783421658,0.168683131686831,0.643235676432357,0.714728527147285,0.699330066993301,0.371162883711629,0.868813118688131,0.448555144485551,0.473052694730527,0.227877212278772,0.942805719428057,0.189481051894811,0.410758924107589,0.28007199280072
"SNP-3_2",0.640735926407359,0.185181481851815,0.395260473952605,0.456654334566543,0.754124587541246,0.648335166483352,0.201479852014799,0.321567843215678,0.196580341965803,0.63003699630037,0.206879312068793,0.472852714728527,0.491350864913509,0.673532646735326,0.733526647335267,0.243775622437756,0.428257174282572,0.236676332366763,0.562443755624438,0.525147485251475,0.580741925807419,0.0293970602939706,0.735826417358264,0.349065093490651,0.357564243575642,0.437256274372563,0.434556544345565,0.827417258274173,0.299370062993701,0.362663733626637,0.641535846415358,0.136986301369863,0.566443355664434,0.201779822017798,0.288171182881712,0.27997200279972,0.230676932306769,0.44955504449555,0.775722427757224,0.193880611938806,0.105189481051895,0.318168183181682,0.798920107989201,0.981401859814019,0.727427257274273,0.195080491950805,0.290970902909709,0.105189481051895,0.719528047195281,0.137286271372863
"SNP-4_1",0.228577142285771,0.153184681531847,0.0288971102889711,0.344865513448655,0.253074692530747,0.506149385061494,0.0606939306069393,0.236876312368763,0.205679432056794,0.206479352064794,0.218678132186781,0.312168783121688,0.617238276172383,0.405559444055594,0.773122687731227,0.51044895510449,0.445555444455554,0.294070592940706,0.111688831116888,0.0354964503549645,0.0244975502449755,0.608339166083392,0.402059794020598,0.27957204279572,0.289371062893711,0.502349765023498,0.486151384861514,0.443755624437556,0.837716228377162,0.52024797520248,0.646735326467353,0.632036796320368,0.596240375962404,0.457054294570543,0.15978402159784,0.465753424657534,0.194880511948805,0.250674932506749,0.194180581941806,0.182081791820818,0.232576742325767,0.532346765323468,0.395660433956604,0.632936706329367,0.330766923307669,0.0981901809819018,0.923507649235076,0.776322367763224,0.263873612638736,0.36016398360164
"SNP-4_2",0.634136586341366,0.153884611538846,0.155984401559844,0.0647935206479352,0.684931506849315,0.481251874812519,0.818618138186181,0.0714928507149285,0.444255574442556,0.584441555844416,0.253274672532747,0.292770722927707,0.0168983101689831,0.388361163883612,0.173182681731827,0.542545745425457,0.216978302169783,0.401659834016598,0.192380761923808,0.284671532846715,0.0538946105389461,0.0251974802519748,0.183281671832817,0.281671832816718,0.0563943605639436,0.0955904409559044,0.160583941605839,0.249075092490751,0.192080791920808,0.429457054294571,0.812818718128187,0.655934406559344,0.177982201779822,0.34976502349765,0.063993600639936,0.427957204279572,0.390960903909609,0.0696930306969303,0.280771922807719,0.252774722527747,0.508649135086491,0.110688931106889,0.221277872212779,0.320967903209679,0.714828517148285,0.395160483951605,0.713228677132287,0.751924807519248,0.144985501449855,0.247275272472753
"SNP-5_1",0.633036696330367,0.405559444055594,0.56044395560444,0.283571642835716,0.0403959604039596,0.0464953504649535,0.754124587541246,0.683831616838316,0.178282171782822,0.657634236576342,0.505249475052495,0.447755224477552,0.587741225877412,0.445555444455554,0.0067993200679932,0.698330166983302,0.357564243575642,0.771322867713229,0.612838716128387,0.14008599140086,0.807519248075192,0.0064993500649935,0.512148785121488,0.77022297770223,0.0126987301269873,0.63993600639936,0.235076492350765,0.445355464453555,0.593640635936406,0.345565443455654,0.505249475052495,0.347365263473653,0.522647735226477,0.575742425757424,0.23017698230177,0.725627437256274,0.797120287971203,0.559344065593441,0.441755824417558,0.003999600039996,0.313668633136686,0.368263173682632,0.405959404059594,0.537546245375462,0.743825617438256,0.783621637836216,0.0932906709329067,0.755224477552245,0.796020397960204,0.109489051094891
"SNP-5_2",0.573742625737426,0.301669833016698,0.636336366363364,0.77962203779622,0.907609239076092,0.45965403459654,0.807319268073193,0.285671432856714,0.950504949505049,0.452954704529547,0.322767723227677,0.652134786521348,0.491450854914509,0.834216578342166,0.757024297570243,0.798420157984202,0.899210078992101,0.242375762423758,0.673332666733327,0.884311568843116,0.266973302669733,0.298270172982702,0.839016098390161,0.565343465653435,0.36006399360064,0.328067193280672,0.734426557344266,0.858714128587141,0.612838716128387,0.472752724727527,0.978602139786021,0.919008099190081,0.112888711128887,0.33026697330267,0.5999400059994,0.266473352664734,0.796120387961204,0.476452354764524,0.598640135986401,0.16988301169883,0.565243475652435,0.744025597440256,0.392560743925607,0.224077592240776,0.918808119188081,0.982201779822018,0.498850114988501,0.33046695330467,0.488651134886511,0.915508449155084
