"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.529937782742944,0.132610085626196,0.0662599308777075,0.179789413928299,0.351249329025036,0.0664456189763011,0.489091856402711,0.369656492761691,0.665451561370284,0.457463630415292,0.137127107279722,0.104783933547145,0.0776907649672347,0.43568007121681,0.722278941162087,0.261088349551127,0.128865288497961,0.0692099812209701,0.126915103788036,0.224828844984622,0.0964517204945049,0.79921458132488,0.676363807140578,0.361362168921467,0.197776031283835,0.290508459183635,0.0606132480273878,0.385780945073103,0.207857644781709,0.533950171459,0.469270649125167,0.120846226695534,0.228521607203135,0.25489209461944,0.337039246593404,0.238133374455328,0.239430685958251,0.688174745830516,0.498944535270515,0.591127724947023,0.76932514366862,0.0544738737989611,0.55686020664176,0.0756858810457961,0.0481314822590118,0.913425005852251,0.200576665393927,0.978861670234583,0.717731363168212,0.082846365414695
"SNP-44_2",0.00427306231049673,0.00274698685033292,0.704536840322609,0.378500262560184,0.0982292639003787,0.231484436393443,0.608695252946966,0.0407182701368211,0.131103067878776,0.0165303122134969,0.571471840507054,0.87858195944071,0.754928452149808,0.442056522091784,0.320167125230826,0.215388093617203,0.530311612027071,0.154331719759697,0.103615618771263,0.000254092995834216,0.157010566041777,0.514333482002252,0.00393509082622079,0.282224004415681,0.000561261572468941,0.145439513957762,0.138845115691847,0.397960604667536,0.338999648750741,0.0085717354100453,0.155816546777194,0.820065700338865,0.841951769103939,0.00778984984915765,0.521836938272527,0.0688077449364788,0.457598438682364,0.623852726622272,0.325690183742112,2.24180548569208e-08,0.502743292894267,0.986137764766279,0.189547064509642,4.02800446478461e-05,0.0117397138527957,0.0327264084841535,0.869341568708126,0.991734492541042,0.490330020368676,0.141020226515945
"SNP-59_1",0.365413220967064,0.0176431227017932,0.692259308835927,0.487522596555533,0.354859341272647,0.232228787510996,0.517593995634488,0.316759954381991,0.147799653340614,0.392969753464407,0.622316976939746,0.63916316756182,0.329604237137067,0.908999248689314,0.221570353165288,0.456744723217004,0.31641718551156,0.0630305803885417,0.142529329503359,0.519472886600345,0.0697775498437697,0.370413160559762,0.102314928933842,0.751192704921083,0.533960183094677,0.317942445779902,0.0524764357179516,0.651996186408514,0.666291555143226,0.318299709717585,0.40205538949292,0.746604763151469,0.426882677663358,0.325981767381214,0.644905483632195,0.347902368971035,0.179143308760346,0.31539006053335,0.678974635896217,0.341761357021287,0.420674647843222,0.461763196563069,0.157012071950312,0.310485331014181,0.0319300802481414,0.301112304500371,0.21536582688186,0.355777078782317,0.884947238446925,0.608584866821086
"SNP-59_2",0.914962103779411,0.0887637704911748,0.400445086994451,0.274702695437459,0.446111397264697,0.406270134695145,0.485418240628896,0.402951815237116,0.442658095235094,0.610620088098465,0.302690519188102,0.316589532729401,0.182795926424538,0.782462663232896,0.412788575255522,0.470486558163702,0.213016261492154,0.153818604555699,0.0763045790272143,0.559681901485668,0.182247573357815,0.758490867615633,0.414817344415397,0.620418518681395,0.177148950820331,0.1346973193006,0.154775533774189,0.477914518879794,0.243380349755721,0.563588483031347,0.528346175425506,0.69759292871761,0.27114605803266,0.314550526686183,0.462034670390053,0.442224648954976,0.460938103372596,0.375000351905345,0.606167742084431,0.850440865429339,0.5498530847563,0.396713615253044,0.367146319096035,0.157981184608063,0.04597874720568,0.386798179073241,0.238166237794695,0.887346644481987,0.855139205849454,0.620419872498745
"SNP-63_1",0.495846210604681,0.000224512814487848,6.94910710080004e-09,0.00164385926396438,0.0030787587181661,0.00516655411887379,3.07464424420496e-08,2.03302427972944e-06,0.00136556983361804,0.000143305915845739,1.62444485989307e-06,2.8959209474877e-09,0,5.06806472792766e-08,9.328607591424e-07,5.87488523962065e-06,0.000710363629063385,2.02633082535542e-08,1.15883133271348e-06,0.0288687837899441,0.00390064700106452,0.704975624812646,0.939289109674445,0.00240465056655215,0.000596877286856201,1.1933498855754e-08,1.10057370994454e-08,0.000129583392935947,0.000545911561909862,0.00419383454220323,0.000156197341464756,0.00231080997722655,2.84022242517377e-06,0.115948797235581,0.000778667417003727,0.000568721073399892,5.74752372928256e-06,3.04065037470824e-06,0.0563934418634857,0.155188832623485,3.26175791377431e-06,2.08991715184518e-06,0.0112197129149023,0.00366039952753977,7.36748197404466e-06,0.233936360122057,0.00842651711331188,0.976399107323192,0.243081446009393,6.30560018226001e-05
"SNP-63_2",0.661174761777074,8.13321845433784e-09,0.0867747892019517,0.0684290424288907,0.248814195052039,0.0732241544457291,0.00411010560117619,0.00348918282179322,0.0318077188621426,9.6660032333773e-06,0.000643237563570875,0.0108805442714214,0.00631015321929984,3.99034674558166e-08,0.00270109773707938,0.011319121610307,0.0114168294634374,0.000179167110790749,2.38453922607462e-07,0.685207872173054,0.0290334343698514,0.714118688678819,0.701865830047395,0.3999226947618,0.0501987503867865,0.00183463366650005,0.000254544882161288,0.00219586753214485,0.0488090352526664,0.246420452326656,8.9605223052569e-07,0.116264766042847,0.0113279879382799,0.105568419840082,0.0575044229243311,0.0158052726222245,0.00138864493481006,2.3383362517837e-05,0.206979482537654,0.629917726320521,0.00116835844362106,3.49036224811528e-07,0.199571180116559,7.30990246998273e-09,5.54548715836489e-08,0.628624809349248,0.0297931049259171,0.947548362110004,0.549601499013543,0.0305831204304454
"SNP-76_1",0.226320084610278,2.52219980154138e-07,0.0157029720706042,0.0162390893997943,0.269439134142238,0.0750401985035473,0.117974431429931,0.0128814914763111,0.0598625295228458,0.0364205849630279,0.00529547612758141,0.00969162552588809,0.0148808400823135,0.0368298748398074,0.0438162711629212,0.223388256786593,0.00979766750632594,0.0014339034646394,0.0348821073586781,0.352400623701601,0.0480113671957036,0.737994289896521,0.912169575216373,0.050683784216344,0.0394643924061695,0.0185752598757305,0.008590488530276,0.0128813158219526,0.00693928164374369,0.363826880337906,0.0156875994728183,0.1872908059706,0.0168390593009892,0.113900412039327,0.0127738993709139,0.0556324607706471,0.0275053147159956,0.104775923045901,0.0704166416887726,0.577252567173273,0.141862779542967,0.0070174224226015,0.0935604989310482,0.00706911847875402,0.00854496817417283,0.799474659228628,0.0105357420868388,0.837560117586034,0.90258248593828,0.000612797223035644
"SNP-76_2",0.58328276554495,0.00639520253989323,0.0668113301243088,0.152388485340054,0.133517646784057,0.118818095243063,0.117043131222305,0.108267211514648,0.266401817144775,0.0446218268803102,0.0269093254221782,0.0310214234641832,0.0138668583214776,0.0536425437486964,0.113993438321769,0.302276772257825,0.0513567598957234,0.00812746816796306,0.0129710560849152,0.379470872944444,0.0145987089213566,0.900406911407713,0.969196895177941,0.322844365864392,0.179650368885255,0.0522543105712,0.0307863880356972,0.0318658536024412,0.0900970387624624,0.40995047628591,0.0281019584636228,0.248973275350221,0.0449431306733561,0.175979910433851,0.122972931322352,0.0399585082490818,0.0847545537241143,0.118915812570882,0.410188757892763,0.591285801184184,0.041265375861149,0.00866467397458781,0.335121602918428,0.01935332707191,0.00498153251552902,0.779176966312974,0.187209561172538,0.960664412596016,0.895711927609827,0.212023876649003
"SNP-83_1",0.0311965012419904,0.821278714627808,0.654873712646123,0.339600353564499,0.153596632860199,0.204440380453553,0.292959671358012,0.243507579031119,0.66538706823548,0.869576674312343,0.420911038322973,0.574746046220576,0.3526256654758,0.482314311107211,0.641889260808093,0.437429154466372,0.243706913089238,0.340180515066749,0.233550936833996,0.0106711595216868,0.155902533031561,0.00461764672968457,0.00711284072705121,0.91310088489798,0.036526761392202,0.702761942169132,0.426943260317076,0.261258597639206,0.331960153074914,0.840715105738022,0.25545565490372,0.967383759390179,0.518442886741872,0.453276714686403,0.408920555277695,0.236277540490182,0.564558825154637,0.299785961388867,0.554218072966607,0.199330721033155,0.709826388753072,0.411398458736527,0.636782138603908,0.101616982827094,0.437541819449671,0.944152395515208,0.726851907613925,0.151335795519316,0.775628515376566,0.56182161585334
"SNP-83_2",0.25083589193062,0.832555994326292,0.941416001250133,0.498105123147235,0.0321192690322413,0.107817781218895,0.0217151902277091,0.00399471183133582,0.934923261598741,0.556374714121269,0.394169698974125,0.935411499771864,0.448177761218051,0.975227625370685,0.166648999387869,0.100017084602785,0.175855239636752,0.32380550343494,0.0450348796535792,4.84198707795258e-08,0.11588713064375,0.000238284180528645,0.605020859600939,0.917488314403184,0.189488506776179,0.709765734779603,0.11929429790422,0.011430869733667,0.109236470849644,0.972463342393202,0.45391038457522,0.97366545684444,0.698063136453294,0.400365496748827,0.762277275683204,0.0929005661535787,0.703003020133406,6.4343200219158e-07,0.786258286349631,0.92324426901555,0.593599182792376,0.889039985850434,0.957942666859851,0.0187325799653313,0.614158496200951,0.868907757863892,0.428180472027686,0.23076148935322,0.684274279746778,0.938181042365428
