"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-45_1",0.687722687582728,0.729123392591028,0.863258356494627,0.621820727060646,0.775938604248027,0.789727445821405,0.566088059249119,0.811303340641526,0.754431930277014,0.0466194202233555,0.773032718340627,0.837906681741479,0.63717226913073,0.804085685224744,0.859978439634013,0.761772828710472,0.469603891265739,0.682392226503117,0.389155682464237,0.142796513006079,0.342233965208496,0.795033803149609,0.846515402469822,0.87436703070922,0.807626042990227,0.66036434881192,0.716446280683714,0.813719208282417,0.369631719273201,0.809989744592527,0.0488825785654352,0.854675383523054,0.718159576014662,0.381804247087682,0.818289616003607,0.477036331837013,0.700263283384872,0.803757951970807,0.735450278421079,0.790312013242003,0.902965799224334,0.734612152255554,0.853155121611252,0.401313129280249,0.490865915990974,0.812725859899833,0.357790102579131,0.863419179402724,0.87234101642476,0.417568253949004
"SNP-33_2",0.801215254812322,0.795817678011446,0.681588222593552,0.313975484076136,0.66225971490128,0.67414950505011,0.79516080218866,0.801105632960894,0.789237253464872,0.796223221759618,0.654674069642865,0.543577824438098,0.332355676342226,0.714052188472709,0.800867430108973,0.669452179418604,0.303532532779664,0.646001391540907,0.77164558934139,0.790232775968561,0.608529495036364,0.800260634373621,0.812092588639168,0.787006594716704,0.794792545870112,0.591935694697527,0.20931897460341,0.572677003776189,0.264549735668894,0.793066952680472,0.799972441540716,0.642836948928048,0.705984043543074,0.39767281726221,0.634518097254791,0.759866992171192,0.548746808959153,0.801632069929189,0.762530792202859,0.799357670509582,0.638191896156764,0.33748923557851,0.832378541538299,0.284761608548684,0.050771648131477,0.804095756848322,0.135288638550468,0.756229387018369,0.827233796856706,0.705011226890353
"SNP-35_1",0.751851845542268,0.211205680240144,0.0619644428901831,0.172425067558009,0.468241661253735,0.17966054165849,0.420574113263649,0.738960234950873,0.0940853632969448,0.837295805859115,0.211273279270545,0.0730866034013457,0.0679826840299678,0.868498608188561,0.505857942967212,0.631331138292818,0.119344761536298,0.187116847689541,0.0869139850366286,0.607497954191827,0.0621600100817834,0.810516021024214,0.866073020871583,0.583071582537977,0.288201012962762,0.694732038635509,0.0775221911287741,0.143133382379393,0.132297029471236,0.355484610631102,0.26301781889118,0.654377168975421,0.168213145586598,0.830103935901391,0.350806011899232,0.416835516083321,0.533687430907065,0.792778819512897,0.777199355636145,0.864315619055219,0.365120214675008,0.0576260499251889,0.667224293715329,0.438939068898044,0.133215142916129,0.644595211980921,0.129302740002815,0.324976225752795,0.815712378351233,0.257797582276412
"CD55-10",0.807935160618091,0.698478189307231,0.740595473815537,0.638364996027713,0.799100611968966,0.79726292537132,0.656828075235915,0.798237126536092,0.794433121886785,0.80039018116599,0.787181312170393,0.675108010447919,0.396346399091087,0.801668581866333,0.805412261351712,0.800228232705011,0.693004878824058,0.743358036796601,0.612071619923035,0.404364202860808,0.217213123797733,0.695965382687223,0.338850912369655,0.794363397791704,0.571040595224965,0.631994958190077,0.788754073593437,0.790906234848835,0.620750742988363,0.75059268195135,0.626901600815993,0.791884664168883,0.790079150160432,0.262444822545445,0.679010315961666,0.457075879850391,0.795505178233764,0.806439573213386,0.602445460590943,0.157020791323477,0.796459557695259,0.351503481154803,0.592993175218042,0.137453563868415,0.657099506790483,0.808683568644583,0.798724085377095,0.850613343864397,0.845443508388525,0.673686806092782
"SNP-69_1",0.765534363580046,0.0975544311160956,0.371667353488789,0.131257370439328,0.490943754950986,0.227875093264789,0.378626492678765,0.272354015595782,0.324521468839293,0.228329933151685,0.156845166013514,0.292395911492897,0.137949111811843,0.706173286704465,0.466222882050275,0.402630774453489,0.0697536390710057,0.140590706326671,0.205248690091627,0.554396374124157,0.226645432279901,0.754339768498927,0.875874213685642,0.732470911955555,0.254351226507907,0.155044734986849,0.1541141273307,0.262694183043873,0.198986207384627,0.76759378614407,0.174254300331549,0.687988356749032,0.160683942834496,0.300180592560709,0.233824979721666,0.393508662870076,0.445599104641926,0.15276806136241,0.50153930354491,0.87844304493352,0.393547393351687,0.227781073285062,0.623387520017749,0.120764897346997,0.130744481570323,0.90184659412073,0.113860657195148,0.448379693145512,0.755126429477651,0.152314234537813
"SNP-66_1",0.87492097674416,0.222120519496174,0.77623316952135,0.284348236075877,0.680556387240426,0.704320125012037,0.817091431548286,0.455909819847842,0.649950787443149,0.481871363041655,0.380874339185649,0.654281696989321,0.263398794096906,0.846421118063801,0.696278224821564,0.705086779399687,0.146300484319253,0.256064523356243,0.249573584328316,0.805622091078871,0.313128465688164,0.787358685956245,0.942416626039333,0.895514925273074,0.796213519050481,0.460822417556117,0.334455652784118,0.67018050283345,0.544188356548309,0.803237817053814,0.657182236931599,0.767283120736693,0.481709090417089,0.439879478912044,0.815683570540814,0.437959273561782,0.663078733999324,0.511553115588975,0.779028703950998,0.913422635184975,0.565763331144811,0.304954254904766,0.907336544470704,0.179586461045807,0.105707243428812,0.888041040456812,0.152838079033199,0.432732773851273,0.928143920803027,0.276657561193334
"CD55-1",0.119778448940402,0.0691053877934764,0.164027022298295,0.0960289863922874,0.0845304180786147,0.123233251885232,0.102494354441495,0.0779261386515751,0.40241494506101,0.049608755261852,0.054549011631668,0.0859179151479768,0.0589833414689189,0.132241922691703,0.0523444530129742,0.0804548034670076,0.116963326747219,0.0563695826566253,0.220422029393727,0.249268011851997,0.0779119128736979,0.872929045163595,0.89379417943645,0.397610273480216,0.0840956738772346,0.0849688613842594,0.061973778960703,0.0839223520140445,0.0704135198194699,0.140868175239753,0.0859596480468653,0.176870312206395,0.0649178593684374,0.10944179852922,0.0563034475676054,0.0623041864842838,0.138537746519141,0.495671635871632,0.144658573364963,0.242247964771193,0.476483338680496,0.0493184125965014,0.164562890166126,0.0503138823538276,0.642073093137435,0.105488894350005,0.053097471184076,0.929361639719587,0.15882034074991,0.0578567452907492
"SNP-72_2",0.750512141843401,0.646728380277323,0.607681281710708,0.485853508797835,0.638373365378897,0.499656905113679,0.634253690898628,0.85000877592756,0.776332425325769,0.854908452303578,0.58155078125977,0.621449674287453,0.34853205100733,0.915098953363199,0.815083259399781,0.536640465699267,0.243227359639112,0.605651023514284,0.389282019129872,0.579895187223352,0.470634594525359,0.896198297050547,0.901299728884717,0.901288275589358,0.385603501292121,0.72335885233037,0.458510684212403,0.605000697529652,0.203954783105242,0.917810682291515,0.910894516628476,0.511511970667262,0.555521597917668,0.619781369556361,0.720686667903676,0.585181914967568,0.793943143391275,0.604898235935845,0.855954475823502,0.929045163278215,0.309620518436889,0.421951498410134,0.753098027509532,0.48282370610592,0.551063782883372,0.930391462357057,0.355148011724953,0.887170929359559,0.917505128894854,0.597788081602493
"SNP-9_2",0.790832296750502,0.54054291969105,0.822199391668128,0.339045801271772,0.545428835992644,0.506044838519643,0.674284981499812,0.696117707805705,0.554113002750742,0.629203577718178,0.528958182808479,0.757683517997954,0.321515474675805,0.860383815200757,0.667753032994723,0.63393495345384,0.157570878791367,0.446690953745786,0.133708973500658,0.675412701611532,0.166999167913005,0.141112695852669,0.961314960962407,0.891187504929234,0.616938555069631,0.229210797099372,0.395752015866267,0.748531976049213,0.441476753973882,0.737612040696493,0.375813931337197,0.585899374053829,0.297839829465178,0.323968226871646,0.625677974001108,0.285374562471993,0.702820295415777,0.752275696121628,0.625874507846441,0.906984230717548,0.653865605351089,0.458300185963747,0.694804597302683,0.091220607396451,0.0776037742741378,0.873713219087208,0.234457427926179,0.886026106228105,0.761589075311785,0.417511153137074
"SNP-88_1",0.771856380081992,0.60344114513587,0.7500780806464,0.772234083529545,0.827514659219036,0.819616801436825,0.797030731671709,0.790639838876191,0.790598448014625,0.271998392161825,0.760874436294513,0.0245991817283921,0.434050460634322,0.825886756294435,0.820915776193955,0.815887378447848,0.736831513770602,0.753464698157067,0.788288094331947,0.794318327621759,0.0923864422835869,0.157550489319822,0.810844953944903,0.809457164465912,0.8055372457654,0.687221245195819,0.760587905352409,0.801182126735356,0.78387029817137,0.818313756696876,0.790950567632218,0.781318602570986,0.785454468546673,0.784359300578222,0.653579830905343,0.786620350249334,0.807757781538438,0.797659257994891,0.781593411752255,0.792967852478947,0.784650512153696,0.554004589628839,0.777076899974338,0.715788332999936,0.766797537291279,0.631106056184199,0.766222377299732,0.774827045183647,0.772225150959333,0.768952772177571
"SNP-60_2",0.465035942123839,0.119804746234108,0.0763820375137322,0.0721734896389658,0.132135680024747,0.237851139752404,0.277997865866655,0.278732462186688,0.368740976363395,0.759793002834283,0.100387090484692,0.107153921948866,0.0475943275804809,0.310562953212418,0.386075117407463,0.186449047246398,0.0830969275416992,0.0694301689950254,0.0667617802819098,0.44473058812441,0.0567006222722684,0.652759684445696,0.646382618487426,0.676564413958605,0.123694983808011,0.263543817571895,0.0619116495903535,0.178646856027804,0.0912820652171867,0.626861927571848,0.224411809149332,0.421083249020809,0.0761647028967475,0.331121110546414,0.11949102935806,0.153958268665123,0.499523288180402,0.855278940210982,0.423433569300214,0.711846814002166,0.108699662970834,0.0618863730960162,0.255504509306319,0.113581649336843,0.370746440931293,0.921060812461612,0.223023212795491,0.913224361495433,0.532641082973066,0.624148964862534
"SNP-14_2",0.321232548674564,0.187826604223057,0.822466032975752,0.229765576129787,0.679439272261594,0.341523613670884,0.783296020063165,0.34695064284026,0.466844048961799,0.152163435290978,0.639912872365315,0.640968369982677,0.396463411913077,0.278535996033402,0.513378869739774,0.697916116221628,0.117982112225978,0.364215272864018,0.13450135608983,0.833590391709395,0.146188147034831,0.527848762408526,0.732311911913047,0.807317763208537,0.136677261070892,0.211566752125447,0.32600809238917,0.456497355813234,0.36180121852618,0.584419945799806,0.226383470325631,0.845380940722654,0.439246877490056,0.440666263228231,0.497517859030348,0.527427465576748,0.515779284011448,0.543882320960842,0.506175852711624,0.563504197007093,0.843198223688022,0.437252800595154,0.342535190493237,0.136706233319955,0.0610725273314753,0.887165123221463,0.251322858402722,0.451225827054597,0.738081937140473,0.579948031699052
