"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-45_1",0.563143685631437,0.600639936006399,0.814218578142186,0.486451354864514,0.664433556644336,0.676332366763324,0.576442355764424,0.71002899710029,0.638436156384362,0.0174982501749825,0.647135286471353,0.757324267573243,0.474552544745525,0.698730126987301,0.797020297970203,0.641035896410359,0.352864713528647,0.54014598540146,0.332666733326667,0.17038296170383,0.292570742925707,0.694730526947305,0.767923207679232,0.834116588341166,0.705029497050295,0.534346565343466,0.573242675732427,0.70972902709729,0.308669133086691,0.717728227177282,0.0086991300869913,0.793020697930207,0.57964203579642,0.33036696330367,0.71972802719728,0.392560743925607,0.567743225677432,0.696930306969303,0.60953904609539,0.685331466853315,0.911208879112089,0.582441755824418,0.784321567843216,0.330766923307669,0.397960203979602,0.767523247675233,0.43015698430157,0.785921407859214,0.816518348165183,0.343965603439656
"SNP-33_2",0.42975702429757,0.427657234276572,0.503349665033497,0.266073392660734,0.441255874412559,0.332566743325667,0.447455254474553,0.52964703529647,0.465653434656534,0.512648735126487,0.389361063893611,0.402259774022598,0.311468853114689,0.309169083091691,0.598440155984402,0.36986301369863,0.225077492250775,0.368263173682632,0.413158684131587,0.711128887111289,0.332166783321668,0.853914608539146,0.753024697530247,0.546045395460454,0.398860113988601,0.154184581541846,0.214978502149785,0.362063793620638,0.244075592440756,0.833916608339166,0.483751624837516,0.486251374862514,0.338266173382662,0.327067293270673,0.458854114588541,0.404059594040596,0.374962503749625,0.676332366763324,0.352364763523648,0.51004899510049,0.406659334066593,0.278872112788721,0.728127187281272,0.222777722227777,0.0131986801319868,0.471552844715528,0.212278772122788,0.633136686331367,0.655934406559344,0.634736526347365
"SNP-35_1",0.673532646735326,0.254874512548745,0.0712928707129287,0.215878412158784,0.442655734426557,0.224377562243776,0.40955904409559,0.64963503649635,0.124987501249875,0.768823117688231,0.248075192480752,0.0945905409459054,0.0860913908609139,0.813518648135186,0.470752924707529,0.551144885511449,0.158884111588841,0.230976902309769,0.113088691130887,0.536346365363464,0.0546945305469453,0.727127287271273,0.809019098090191,0.516648335166483,0.313068693130687,0.611738826117388,0.102789721027897,0.189281071892811,0.178982101789821,0.36966303369663,0.2995700429957,0.602439756024398,0.210978902109789,0.755924407559244,0.355864413558644,0.398060193980602,0.477752224777522,0.706329367063294,0.691330866913309,0.806819318068193,0.367163283671633,0.0631936806319368,0.586241375862414,0.40975902409759,0.185281471852815,0.567643235676432,0.175782421757824,0.410758924107589,0.784221577842216,0.291070892910709
"CD55-10",0.504349565043496,0.337566243375662,0.609239076092391,0.289471052894711,0.394860513948605,0.467053294670533,0.503649635036496,0.478252174782522,0.548845115488451,0.4996500349965,0.595240475952405,0.506149385061494,0.362263773622638,0.559344065593441,0.666933306669333,0.484351564843516,0.413158684131587,0.216778322167783,0.225577442255774,0.332566743325667,0.0687931206879312,0.543945605439456,0.458254174582542,0.712328767123288,0.304269573042696,0.102989701029897,0.523447655234477,0.438056194380562,0.343665633436656,0.122987701229877,0.484251574842516,0.279172082791721,0.564343565643436,0.0252974702529747,0.624737526247375,0.0924907509249075,0.572542745725427,0.775522447755224,0.178582141785821,0.286971302869713,0.618538146185381,0.40955904409559,0.458354164583542,0.0248975102489751,0.57034296570343,0.719528047195281,0.801419858014199,0.819218078192181,0.715728427157284,0.614538546145386
"SNP-69_1",0.658434156584342,0.129087091290871,0.320967903209679,0.159384061593841,0.421957804219578,0.245575442455754,0.34986501349865,0.271672832716728,0.314868513148685,0.248575142485751,0.180981901809819,0.271172882711729,0.15958404159584,0.588141185881412,0.407559244075592,0.357164283571643,0.0903909609039096,0.170782921707829,0.221877812218778,0.459354064593541,0.238976102389761,0.645035496450355,0.817018298170183,0.62043795620438,0.266473352664734,0.18958104189581,0.18038196180382,0.261673832616738,0.214078592140786,0.664933506649335,0.212378762123788,0.568043195680432,0.185081491850815,0.292870712928707,0.242975702429757,0.351964803519648,0.382561743825617,0.189081091890811,0.423557644235576,0.831716828317168,0.345365463453655,0.225077492250775,0.514248575142486,0.155284471552845,0.165183481651835,0.880611938806119,0.146885311468853,0.371762823717628,0.63953604639536,0.207579242075792
"SNP-66_1",0.825517448255174,0.252174782521748,0.666433356664334,0.282571742825717,0.583441655834417,0.592740725927407,0.741225877412259,0.400859914008599,0.557144285571443,0.426457354264574,0.343065693430657,0.53964603539646,0.255874412558744,0.775022497750225,0.591940805919408,0.593640635936406,0.172882711728827,0.264773522647735,0.259474052594741,0.714428557144286,0.306569343065693,0.695430456954305,0.967903209679032,0.876112388761124,0.706329367063294,0.410958904109589,0.311168883111689,0.562443755624438,0.452854714528547,0.718028197180282,0.608539146085392,0.65993400659934,0.408259174082592,0.4002599740026,0.731326867313269,0.392060793920608,0.559444055594441,0.438356164383562,0.67983201679832,0.904309569043096,0.476652334766523,0.284471552844716,0.894110588941106,0.209179082091791,0.143085691430857,0.84951504849515,0.187581241875812,0.381961803819618,0.925607439256074,0.287071292870713
"CD55-1",0.157484251574843,0.0790920907909209,0.202479752024798,0.13028697130287,0.109189081091891,0.167383261673833,0.137886211378862,0.0948905109489051,0.385361463853615,0.0002999700029997,0.0543945605439456,0.115388461153885,0.0696930306969303,0.176582341765823,0.0001999800019998,0.105089491050895,0.15998400159984,0.0586941305869413,0.251374862513749,0.272872712728727,0.0993900609939006,0.819118088191181,0.857214278572143,0.37966203379662,0.107289271072893,0.104589541045895,0.0700929907009299,0.108389161083892,0.0898910108989101,0.181081891810819,0.108489151084892,0.212678732126787,0.075992400759924,0.143385661433857,0.0554944505549445,0.0687931206879312,0.17978202179782,0.451554844515548,0.186681331866813,0.277872212778722,0.427257274272573,0.0440955904409559,0.205879412058794,0.0384961503849615,0.563043695630437,0.145085491450855,0.0186981301869813,0.934706529347065,0.195680431956804,0.0308969103089691
"SNP-72_2",0.634036596340366,0.52034796520348,0.506949305069493,0.387861213878612,0.523647635236476,0.407759224077592,0.531646835316468,0.775622437756224,0.668633136686331,0.791120887911209,0.453754624537546,0.480651934806519,0.340965903409659,0.923607639236076,0.708929107089291,0.438156184381562,0.225677432256774,0.487451254874513,0.340765923407659,0.473452654734527,0.384861513848615,0.871212878712129,0.854414558544146,0.894910508949105,0.346765323467653,0.6003399660034,0.374862513748625,0.482151784821518,0.216278372162784,0.931306869313069,0.87991200879912,0.528247175282472,0.44035596440356,0.495050494950505,0.586841315868413,0.466353364663534,0.67963203679632,0.5003499650035,0.792420757924208,0.944605539446055,0.28967103289671,0.363663633636636,0.715728427157284,0.384761523847615,0.443155684431557,0.957904209579042,0.310668933106689,0.838516148385162,0.925207479252075,0.463853614638536
"SNP-9_2",0.691330866913309,0.461153884611539,0.732726727327267,0.317368263173683,0.470552944705529,0.428957104289571,0.594840515948405,0.588941105889411,0.473052694730527,0.528347165283472,0.439056094390561,0.638736126387361,0.287871212878712,0.794520547945205,0.561543845615438,0.527747225277472,0.179282071792821,0.386661333866613,0.175082491750825,0.564043595640436,0.201879812018798,0.184781521847815,0.993300669933007,0.864613538646135,0.514848515148485,0.255074492550745,0.346965303469653,0.64013598640136,0.377662233776622,0.63043695630437,0.351064893510649,0.49035096490351,0.29037096290371,0.316568343165683,0.51974802519748,0.284771522847715,0.586241375862414,0.63953604639536,0.523647635236476,0.888511148885112,0.542945705429457,0.379162083791621,0.584041595840416,0.122887711228877,0.0980901909809019,0.813118688131187,0.255274472552745,0.843615638436156,0.734026597340266,0.37016298370163
"SNP-88_1",0.773922607739226,0.393660633936606,0.451954804519548,0.336966303369663,0.586741325867413,0.627537246275372,0.699330066993301,0.808919108089191,0.539046095390461,0.274372562743726,0.485351464853515,0.0910908909109089,0.348065193480652,0.932906709329067,0.905809419058094,0.765123487651235,0.435756424357564,0.555844415558444,0.713528647135287,0.731326867313269,0.264473552644736,0.249275072492751,0.578542145785422,0.604639536046395,0.672032796720328,0.624237576242376,0.445055494450555,0.596140385961404,0.568143185681432,0.857414258574143,0.603839616038396,0.592840715928407,0.513948605139486,0.628237176282372,0.503949605039496,0.541045895410459,0.62003799620038,0.733926607339266,0.645335466453355,0.772222777722228,0.530546945305469,0.401059894010599,0.637936206379362,0.456354364563544,0.705529447055295,0.62033796620338,0.42035796420358,0.823417658234177,0.682131786821318,0.413858614138586
