"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"NTC-1",0.538,0.557,0.369,0.721,0.631,0.842,0.856,0.687,0.262,0.923,0.714,0.64,0.05,0.72,0.394,0.347,0.095,0.483,0.723,0.77,0.95,0.949,0.917,0.102,0.266,0.867,0.396,0.637,0.627,0.253,0.939,0.795,0.64,0.689,0.478,0.799,0.861,0.919,0.772,0.091,0.623,0.495,0.82,0.137,0.692,0.688,0.525,0.909,0.053,0.86
"NTC-2",0.546,0.821,0.756,0.699,0.923,0.62,0.712,0.809,0.593,0.833,0.654,0.434,0.213,0.783,0.376,0.857,0.441,0.79,0.178,0.643,0.276,0.196,0.868,0.885,0.776,0.789,0.635,0.8,0.67,0.67,0.564,0.703,0.361,0.763,0.682,0.718,0.594,0.66,0.743,0.676,0.605,0.232,0.402,0.571,0.458,0.735,0.546,0.811,0.833,0.921
"NTC-3",0.007,0,0.943,0.215,0,0.135,0.689,0.375,0.118,0.707,0.871,0.733,0.061,0.857,0.725,0.004,0.027,0.08,0.072,0.046,0.012,0.076,0.616,0.328,0.547,0.298,0.297,0.088,0.343,0.232,0.095,0,0.02,0,0.172,0,0.366,0.196,0.239,0.409,0.798,0.594,0.055,0.274,0.267,0.959,0.611,0.985,0.959,0.332
"NTC-4",0.095,0.113,0.409,0.141,0.779,0.35,0.76,0.09,0.539,0.1,0.062,0.138,0.018,0.781,0.305,0.377,0.046,0.088,0.15,0.049,0.219,0.982,0.839,0.317,0.288,0.238,0.016,0.232,0.2,0.597,0.692,0.506,0.091,0.02,0.128,0.03,0.45,0.015,0.283,0.856,0.288,0.231,0.649,0.173,0.113,0.145,0.159,0.538,0.412,0.28
"NTC-5",0.072,0.111,0.706,0.231,0.099,0.452,0.844,0.517,0.705,0.517,0.521,0.782,0.096,0.707,0.907,0.172,0.052,0.117,0.085,0.251,0.078,0.939,0.109,0.531,0.179,0.088,0.443,0.698,0.201,0.626,0.576,0.043,0.259,0.066,0.579,0.08,0.792,0.667,0.067,0.107,0.579,0.86,0.699,0.105,0.812,0.986,0.89,0.894,1,0.214
"NTC-6",0.33,0.258,0.538,0.224,0.177,0.422,0.8,0.494,0.285,0.55,0.303,0.619,0.246,0.701,0.462,0.281,0.181,0.121,0.259,0.421,0.183,0.706,0.325,0.374,0.606,0.14,0.521,0.371,0.515,0.548,0.629,0.884,0.153,0.105,0.497,0.134,0.641,0.462,0.1,0.875,0.61,0.398,0.846,0.166,0.115,0.85,0.567,0.924,0.997,0.185
"NTC-7",0.114,0.259,0.472,0.74,0.105,0.536,0.595,0.177,0.456,0.585,0.258,0.601,0.507,0.447,0.978,0.334,0.172,0.775,0.41,0.338,0.579,0.987,0.74,0.662,0.812,0.613,0.561,0.929,0.368,0.803,0.509,0.445,0.773,0.444,0.055,0.864,0.055,0.873,0.439,0.958,0.542,0.447,0.659,0.127,0.124,0.736,0.963,0.224,0.068,0.518
"NTC-8",0.212,0.349,0.837,0.357,0.125,0.538,0.609,0.43,0.746,0.325,0.171,0.481,0.015,0.845,0.829,0.195,0.085,0.677,0.013,0.307,0.062,0.309,0.963,0.11,0.698,0.772,0.723,0.371,0.348,0.646,0.343,0.322,0.035,0.34,0.655,0.352,0.468,0.383,0.672,0.176,0.786,0.82,0.535,0.607,0.54,0.835,0.659,0.999,0.986,0.109
"NTC-9",0.251,0.398,0.761,0.147,0.241,0.375,0.747,0.303,0.85,0.231,0.427,0.307,0.128,0.668,0.643,0.299,0.042,0.262,0.229,0.335,0.214,0.574,0.554,0.562,0.274,0.468,0.665,0.368,0.12,0.653,0.395,0.436,0.102,0.4,0.614,0.482,0.236,0.13,0.172,0.745,0.398,0.575,0.61,0.232,0.389,0.924,0.332,0.968,0.778,0.182
"NTC-10",0.505,0.317,0.498,0.108,0.478,0.494,0.721,0.758,0.391,0.865,0.144,0.476,0.01,0.356,0.444,0.332,0.069,0.398,0.046,0.394,0.126,0.639,0.071,0.383,0.267,0.166,0.559,0.335,0.321,0.878,0.82,0.61,0.119,0.124,0.949,0.077,0.76,0.017,0.213,0.144,0.932,0.154,0.837,0.073,0.056,0.961,0.391,0.995,0.915,0.324
