"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-1_1",0.719640179910045,0.301349325337331,0.250374812593703,0.339830084957521,0.650174912543728,0.742628685657171,0.295352323838081,0.36631684157921,0.359820089955023,0.171414292853573,0.397301349325337,0.230384807596202,0.477261369315342,0.766116941529235,0.582708645677161,0.416291854072964,0.286356821589205,0.327336331834083,0.829085457271364,0.355322338830585,0.87456271864068,0.332833583208396,0.119940029985007,0.182908545727136,0.47776111944028,0.695652173913043,0.44127936031984,0.326336831584208,0.504247876061969,0.0156190776464424,0.104447776111944,0.115942028985507,0.36631684157921,0.271864067966017,0.320339830084958,0.330334832583708,0.470264867566217,0.282858570714643,0.511244377811094,0.131934032983508,0.0851836734550388,0.411294352823588,0.253873063468266,0.935032483758121,0.391304347826087,0.176411794102949,0.108445777111444,0.538230884557721,0.186906546726637,0.434782608695652
"SNP-1_2",0.538230884557721,0.0955606186682181,0.299350324837581,0.186406796601699,0.419790104947526,0.533733133433283,0.255372313843078,0.0958512611662801,0.160419790104948,0.314842578710645,0.254872563718141,0.0958912288307952,0.368815592203898,0.124437781109445,0.106446776611694,0.383808095952024,0.407796101949025,0.174912543728136,0.340829585207396,0.255372313843078,0.569215392303848,0.258370814592704,0.174412793603198,0.411294352823588,0.612693653173413,0.100949525237381,0.328835582208896,0.161419290354823,0.0411656638954662,0.0837674379883532,0.422788605697151,0.685657171414293,0.136931534232884,0.101604418123787,0.0525948563763231,0.12543728135932,0.651674162918541,0.111444277861069,0.0159340413470037,0.417791104447776,0.565217391304348,0.260869565217391,0.326336831584208,0.416291854072964,0.658170914542729,0.249875062468766,0.523738130934533,0.249375312343828,0.310344827586207,0.587706146926537
"SNP-2_1",0.467266366816592,0.341329335332334,0.548725637181409,0.280859570214893,0.644177911044478,0.274362818590705,0.380309845077461,0.24487756121939,0.146426786606697,0.0534168255954655,0.235382308845577,0.658170914542729,0.551724137931034,0.0441068400370373,0.289355322338831,0.619690154922539,0.611194402798601,0.358820589705147,0.122938530734633,0.4047976011994,0.27536231884058,0.193903048475762,0.529735132433783,0.335832083958021,0.166916541729135,0.307846076961519,0.538230884557721,0.0647333060620539,0.3928035982009,0.480759620189905,0.386806596701649,0.328335832083958,0.67616191904048,0.267366316841579,0.632683658170915,0.335832083958021,0.341829085457271,0.020412266614714,0.156921539230385,0.0316511564961658,0.27336331834083,0.0804070605342513,0.125937031484258,0.385307346326837,0.673163418290855,0.429785107446277,0.269365317341329,0.455272363818091,0.191904047976012,0.337831084457771
"SNP-2_2",0.429785107446277,0.460769615192404,0.611194402798601,0.316841579210395,0.226386806596702,0.611694152923538,0.684657671164418,0.334832583708146,0.169415292353823,0.412793603198401,0.310844577711144,0.648675662168916,0.688655672163918,0.71464267866067,0.443778110944528,0.950524737631184,0.2023988005997,0.411294352823588,0.347826086956522,0.374312843578211,0.272863568215892,0.187906046976512,0.0497269921537139,0.683658170914543,0.657671164417791,0.858570714642679,0.635182408795602,0.510244877561219,0.267866066966517,0.838580709645177,0.837581209395302,0.0619425064438916,0.418290854572714,0.944027986006997,0.0846673167487801,0.64367816091954,0.342328835582209,0.129935032483758,0.150924537731134,0.467766116941529,0.905547226386807,0.130934532733633,0.0590535045425548,0.388305847076462,0.334832583708146,0.287856071964018,0.336831584207896,0.429785107446277,0.628185907046477,0.582208895552224
"SNP-3_1",0.0392763971120807,0.0469416432813099,0.435782108945527,0.201399300349825,0.733633183408296,0.718140929535232,0.568715642178911,0.852573713143428,0.377311344327836,0.411794102948526,0.205897051474263,0.278360819590205,0.393803098450775,0.0215469547901155,0.701649175412294,0.266866566716642,0.379810094952524,0.0360512456472683,0.266866566716642,0.788605697151424,0.415292353823088,0.955022488755622,0.457771114442779,0.289355322338831,0.274362818590705,0.661669165417291,0.602198900549725,0.275862068965517,0.262368815592204,0.776611694152924,0.862068965517241,0.250374812593703,0.736131934032983,0.541229385307346,0.667666166916542,0.386306846576712,0.650674662668666,0.921539230384808,0.498250874562719,0.189905047476262,0.15992003998001,0.0944636443482519,0.0362137299324293,0.635182408795602,0.583208395802099,0.608195902048976,0.694152923538231,0.606696651674163,0.454772613693153,0.71464267866067
"SNP-3_2",0.836581709145427,0.525737131434283,0.402298850574713,0.278860569715142,0.0610925252733216,0.56671664167916,0.608195902048976,0.388805597201399,0.195402298850575,0.487756121939031,0.197401299350325,0.281859070464768,0.377311344327836,0.229385307346327,0.391304347826087,0.51424287856072,0.280859570214893,0.264867566216892,0.899050474762619,0.628685657171414,0.160919540229885,0.151424287856072,0.222388805597201,0.0656812366328699,0.397801099450275,0.420789605197401,0.0964504846156487,0.540229885057471,0.12543728135932,0.830084957521239,0.738630684657671,0.252373813093453,0.380309845077461,0.0206413812994675,0.663668165917041,0.214392803598201,0.727136431784108,0.147426286856572,0.179410294852574,0.553723138430785,0.276861569215392,0.353823088455772,0.664667666166917,0.391804097951024,0.296851574212894,0.0923381893036009,0.0841686401275973,0.991504247876062,0.273863068465767,0.209395302348826
"SNP-4_1",0.134432783608196,0.335332333833083,0.294352823588206,0.176411794102949,0.312843578210895,0.468265867066467,0.211394302848576,0.156421789105447,0.315342328835582,0.225387306346827,0.528735632183908,0.183408295852074,0.252373813093453,0.0834281553801709,0.788105947026487,0.458770614692654,0.363318340829585,0.331334332833583,0.211894052973513,0.305847076461769,0.28535732133933,0.0656307757375742,0.0420293996461101,0.218390804597701,0.251874062968516,0.123938030984508,0.428785607196402,0.10134427019382,0.531234382808596,0.109445277361319,0.448775612193903,0.0247598768684521,0.449775112443778,0.266366816591704,0.364817591204398,0.452773613193403,0.609695152423788,0.112943528235882,0.404297851074463,0.393303348325837,0.192903548225887,0.463268365817091,0.0178379191404032,0.529235382308846,0.400299850074962,0.0460891158541552,0.730134932533733,0.945527236381809,0.371814092953523,0.16391804097951
"SNP-4_2",0.141929035482259,0.140929535232384,0.102430938593762,0.16791604197901,0.240379810094953,0.27936031984008,0.162418790604698,0.0822115491854328,0.0509733810526597,0.110444777611194,0.169915042478761,0.103948025987006,0.213393303348326,0.143928035982009,0.0973701521534399,0.274362818590705,0.0910754756721842,0.448775612193903,0.0758974145961634,0.171914042978511,0.140929535232384,0.164417791104448,0.0322465159923673,0.143428285857071,0.129435282358821,0.385807096451774,0.207896051974013,0.0133427678209519,0.186406796601699,0.116441779110445,0.164417791104448,0.0153892295140539,0.212393803098451,0.725137431284358,0.128935532233883,0.699650174912544,0.286856571714143,0.108945527236382,0.166916541729135,0.0922070263538904,0.0883570917638789,0.117941029485257,0.0579270443158702,0.728135932033983,0.488755622188906,0.028516699095125,0.87456271864068,0.740629685157421,0.145427286356822,0.170914542728636
"SNP-5_1",0.755622188905547,0.297351324337831,0.594202898550725,0.376811594202899,0.486756621689155,0.143928035982009,0.393303348325837,0.75312343828086,0.299850074962519,0.823588205897052,0.452773613193403,0.602698650674663,0.347326336831584,0.654172913543228,0.592203898050975,0.618690654672664,0.540229885057471,0.095992334513196,0.64167916041979,0.530734632683658,0.578210894552724,0.488255872063968,0.195902048975512,0.525737131434283,0.0333908360958451,0.620689655172414,0.880059970014992,0.141929035482259,0.265867066466767,0.403798100949525,0.698150924537731,0.395802098950525,0.51624187906047,0.142428785607196,0.622688655672164,0.190904547726137,0.534232883558221,0.636181909045477,0.621689155422289,0.468265867066467,0.170914542728636,0.501249375312344,0.401299350324838,0.769615192403798,0.597701149425287,0.485257371314343,0.11744127936032,0.64367816091954,0.454772613693153,0.343828085957021
"SNP-5_2",0.16191904047976,0.0783006953731266,0.210894552723638,0.126436781609195,0.509245377311344,0.331334332833583,0.0721322085598188,0.112443778110945,0.0668732356724992,0.0740464570497093,0.0527312359094847,0.355322338830585,0.0785879665304436,0.485257371314343,0.096168417991171,0.602698650674663,0.241879060469765,0.0467112918802042,0.229885057471264,0.156421789105447,0.212893553223388,0.442278860569715,0.1984007996002,0.0877939504528549,0.155422288855572,0.604197901049475,0.134932533733133,0.0764089958834162,0.201899050474763,0.302348825587206,0.657671164417791,0.407296351824088,0.338830584707646,0.0623883757725288,0.219890054972514,0.0505803964828102,0.0785258654793542,0.2063968015992,0.545727136431784,0.0303866612786993,0.274362818590705,0.0484565996742097,0.325337331334333,0.456771614192904,0.853573213393303,0.826586706646677,0.381809095452274,0.347326336831584,0.222888555722139,0.498750624687656
