"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-1_1",0.147085291470853,0.159184081591841,0.0623437656234377,0.320767923207679,0.246725327467253,0.754724527547245,0.116238376162384,0.144635536446355,0.361763823617638,0.167033296670333,0.222227777222278,0.233876612338766,0.295620437956204,0.62973702629737,0.0886411358864114,0.624787521247875,0.294120587941206,0.329167083291671,0.225427457254275,0.355664433556644,0.309119088091191,0.339216078392161,0.124037596240376,0.0497450254974503,0.497750224977502,0.146385361463854,0.735726427357264,0.315968403159684,0.6997800219978,0.793370662933707,0.107689231076892,0.385511448855115,0.389211078892111,0.72957704229577,0.131436856314369,0.670782921707829,0.285871412858714,0.332366763323668,0.512548745125487,0.349215078492151,0.0790920907909209,0.416258374162584,0.212028797120288,0.916108389161084,0.16028397160284,0.159034096590341,0.113588641135886,0.527897210278972,0.156234376562344,0.736676332366763
"SNP-1_2",0.676382361763824,0.111138886111389,0.170732926707329,0.194030596940306,0.346865313468653,0.0406959304069593,0.15048495150485,0.194330566943306,0.604139586041396,0.326667333266673,0.262773722627737,0.0925907409259074,0.0414458554144586,0.175532446755324,0.517848215178482,0.166833316668333,0.409159084091591,0.0514448555144486,0.365913408659134,0.351414858514149,0.11958804119588,0.460703929607039,0.63033696630337,0.161583841615838,0.640635936406359,0.115838416158384,0.146835316468353,0.176182381761824,0.276072392760724,0.0845915408459154,0.431106889311069,0.885611438856114,0.134336566343366,0.364663533646635,0.0565943405659434,0.133886611338866,0.287471252874713,0.122737726227377,0.155334466553345,0.498700129987001,0.76982301769823,0.278772122787721,0.555844415558444,0.683981601839816,0.193080691930807,0.329267073292671,0.21982801719828,0.210728927107289,0.331716828317168,0.615388461153885
"SNP-2_1",0.454854514548545,0.266023397660234,0.381711828817118,0.265323467653235,0.572292770722928,0.594040595940406,0.156484351564844,0.226177382261774,0.138786121387861,0.0416458354164584,0.228927107289271,0.112088791120888,0.53034696530347,0.0449455054494551,0.270972902709729,0.183081691830817,0.5999900009999,0.0364463553644636,0.238326167383262,0.397360263973603,0.268973102689731,0.170582941705829,0.262473752624738,0.419508049195081,0.181731826817318,0.418708129187081,0.531196880311969,0.0674432556744326,0.0779422057794221,0.447505249475052,0.352914708529147,0.336366363363664,0.270972902709729,0.415358464153585,0.242475752424758,0.416458354164584,0.363713628637136,0.46955304469553,0.168583141685831,0.0253474652534747,0.574142585741426,0.0884411558844116,0.612788721127887,0.364263573642636,0.824667533246675,0.423107689231077,0.269373062693731,0.745925407459254,0.187281271872813,0.351864813518648
"SNP-2_2",0.441955804419558,0.28962103789621,0.598540145985402,0.306319368063194,0.835916408359164,0.599190080991901,0.841815818418158,0.252974702529747,0.547195280471953,0.396260373962604,0.22982701729827,0.243775622437756,0.328417158284172,0.68023197680232,0.524897510248975,0.425657434256574,0.185881411858814,0.291770822917708,0.550894910508949,0.719028097190281,0.595640435956404,0.233126687331267,0.0483451654834517,0.67958204179582,0.785921407859214,0.678232176782322,0.278772122787721,0.519498050194981,0.27027297270273,0.088041195880412,0.84021597840216,0.655234476552345,0.322567743225677,0.874662533746625,0.227877212278772,0.62023797620238,0.734776522347765,0.13048695130487,0.0681431856814319,0.666633336666333,0.975502449755025,0.734426557344266,0.221727827217278,0.773922607739226,0.33966603339666,0.302019798020198,0.321067893210679,0.455304469553045,0.629187081291871,0.0792920707929207
"SNP-3_1",0.0450954904509549,0.124837516248375,0.439456054394561,0.206079392060794,0.727977202279772,0.730726927307269,0.78977102289771,0.192530746925307,0.383511648835117,0.238476152384762,0.218728127187281,0.293020697930207,0.241275872412759,0.597140285971403,0.708329167083292,0.201529847015298,0.378412158784122,0.0338966103389661,0.134186581341866,0.424807519248075,0.157984201579842,0.488301169883012,0.455154484551545,0.276372362763724,0.273372662733727,0.713728627137286,0.36951304869513,0.275272472752725,0.455454454554545,0.71042895710429,0.735826417358264,0.632486751324868,0.745725427457254,0.377212278772123,0.264823517648235,0.38961103889611,0.585641435856414,0.823217678232177,0.308119188081192,0.0853414658534147,0.491800819918008,0.0923907609239076,0.356014398560144,0.628337166283372,0.1003399660034,0.105789421057894,0.845815418458154,0.862613738626137,0.462853714628537,0.0800919908009199
"SNP-3_2",0.0904409559044096,0.44990500949905,0.0834916508349165,0.303219678032197,0.207529247075292,0.438806119388061,0.398460153984602,0.206529347065293,0.189281071892811,0.777822217778222,0.476202379762024,0.0882411758824118,0.393310668933107,0.242725727427257,0.372062793720628,0.51999800019998,0.302769723027697,0.276072392760724,0.0373962603739626,0.557994200579942,0.188531146885311,0.149435056494351,0.518498150184981,0.384711528847115,0.327367263273673,0.416108389161084,0.0665933406659334,0.511448855114489,0.122287771222878,0.562743725627437,0.75027497250275,0.193630636936306,0.385511448855115,0.306669333066693,0.677782221777822,0.204129587041296,0.248525147485251,0.0585941405859414,0.162833716628337,0.560793920607939,0.263773622637736,0.346665333466653,0.684831516848315,0.592640735926407,0.309319068093191,0.0744925507449255,0.827217278272173,0.997800219978002,0.25007499250075,0.65003499650035
"SNP-4_1",0.406359364063594,0.0305969403059694,0.227627237276272,0.182881711828817,0.30981901809819,0.311018898110189,0.0255974402559744,0.77002299770023,0.406059394060594,0.112388761123888,0.554794520547945,0.193330666933307,0.266823317668233,0.258524147585241,0.807319268073193,0.373462653734627,0.378162183781622,0.380861913808619,0.493050694930507,0.268823117688231,0.282071792820718,0.0216978302169783,0.0518448155184482,0.102339766023398,0.0295970402959704,0.642585741425857,0.0326967303269673,0.106839316068393,0.197780221977802,0.676832316768323,0.325517448255174,0.464553544645535,0.438006199380062,0.458554144585541,0.724177582241776,0.516198380161984,0.15983401659834,0.593690630936906,0.128937106289371,0.392360763923608,0.191930806919308,0.465553444655534,0.50984901509849,0.528997100289971,0.384011598840116,0.0513448655134487,0.742225777422258,0.937956204379562,0.375312468753125,0.399110088991101
"SNP-4_2",0.663533646635336,0.286721327867213,0.114288571142886,0.18038196180382,0.463603639636036,0.0275972402759724,0.520897910208979,0.0401459854014599,0.0729427057294271,0.126537346265373,0.174632536746325,0.108689131086891,0.11958804119588,0.0856914308569143,0.192430756924308,0.558744125587441,0.139436056394361,0.193680631936806,0.172332766723328,0.284171582841716,0.15003499650035,0.3003699630037,0.0329467053294671,0.0631436856314369,0.134586541345865,0.201529847015298,0.0516948305169483,0.0104489551044896,0.0794920507949205,0.429407059294071,0.182431756824318,0.416008399160084,0.225627437256274,0.115938406159384,0.393710628937106,0.149085091490851,0.300969903009699,0.111938806119388,0.157134286571343,0.115238476152385,0.0276972302769723,0.316268373162684,0.0311468853114689,0.0386461353864614,0.479052094790521,0.260723927607239,0.184481551844816,0.300669933006699,0.151034896510349,0.188531146885311
"SNP-5_1",0.740525947405259,0.605739426057394,0.647935206479352,0.303569643035696,0.474602539746025,0.133536646335366,0.183381661833817,0.689031096890311,0.516898310168983,0.673432656734327,0.431206879312069,0.606489351064894,0.124937506249375,0.571492850714929,0.67048295170483,0.497050294970503,0.532196780321968,0.562693730626937,0.71972802719728,0.511598840115988,0.562493750624938,0.642035796420358,0.184181581841816,0.387311268873113,0.363663633636636,0.804019598040196,0.738126187381262,0.131536846315368,0.385361463853615,0.760823917608239,0.614838516148385,0.503899610038996,0.242225777422258,0.690980901909809,0.607289271072893,0.631686831316868,0.285221477852215,0.593940605939406,0.602039796020398,0.301469853014699,0.166333366663334,0.492200779922008,0.370712928707129,0.211428857114289,0.575092490750925,0.013998600139986,0.116188381161884,0.65993400659934,0.442905709429057,0.802369763023698
"SNP-5_2",0.14028597140286,0.0868913108689131,0.32006799320068,0.123187681231877,0.314118588141186,0.333116688331167,0.368213178682132,0.119038096190381,0.0832416758324168,0.0653934606539346,0.0535946405359464,0.343565643435656,0.164583541645835,0.520747925207479,0.15048495150485,0.0647935206479352,0.126387361263874,0.0397460253974603,0.0941905809419058,0.167983201679832,0.204579542045795,0.455654434556544,0.047995200479952,0.134536546345365,0.133386661333867,0.353264673532647,0.131786821317868,0.0435456454354565,0.357214278572143,0.168083191680832,0.367613238676132,0.397660233976602,0.33041695830417,0.0567943205679432,0.20977902209779,0.0527447255274473,0.125737426257374,0.208329167083292,0.503199680031997,0.0376962303769623,0.267523247675233,0.0448455154484552,0.110738926107389,0.276122387761224,0.121137886211379,0.256874312568743,0.388811118888111,0.128787121287871,0.208379162083792,0.317818218178182
"SNP-6_1",0.0231976802319768,0.0391460853914609,0.00494950504949505,0.0177982201779822,0.0645935406459354,0.00024997500249975,0.0048995100489951,0.0289471052894711,0.0005999400059994,0.00104989501049895,0.00724927507249275,0.0422957704229577,0.00044995500449955,0.282771722827717,0.0435456454354565,0.00814918508149185,0.0326967303269673,0.0080991900809919,0.0001999800019998,0.156184381561844,0.0047995200479952,0.075992400759924,0.04999500049995,0.00104989501049895,0.0691430856914309,0.0246475352464754,0.0109489051094891,0.00344965503449655,0.00444955504449555,0.0824917508249175,0.0001999800019998,0.0401459854014599,0.00094990500949905,0.0002999700029997,0.0005999400059994,0.0036996300369963,0.00044995500449955,0.0435456454354565,0.000999900009999,0.594140585941406,0.0493450654934507,0.0214478552144786,0.0304969503049695,0.0690930906909309,0.282721727827217,0.0954904509549045,0.0630436956304369,0.136836316368363,0.00024997500249975,0.0392960703929607
"SNP-6_2",0.625587441255874,0.74967503249675,0.724377562243776,0.544895510448955,0.658084191580842,0.798720127987201,0.516298370162984,0.154084591540846,0.458904109589041,0.621337866213379,0.764023597640236,0.59049095090491,0.515948405159484,0.759224077592241,0.667733226677332,0.723927607239276,0.382861713828617,0.434756524347565,0.617138286171383,0.541645835416458,0.535496450354965,0.736276372362764,0.185481451854815,0.797270272972703,0.597190280971903,0.635786421357864,0.553194680531947,0.759174082591741,0.501199880011999,0.714278572142786,0.427307269273073,0.561343865613439,0.712828717128287,0.35986401359864,0.903659634036596,0.662233776622338,0.818418158184182,0.0813918608139186,0.959004099590041,0.532796720327967,0.475652434756524,0.742925707429257,0.461503849615038,0.257124287571243,0.731826817318268,0.285021497850215,0.162733726627337,0.137286271372863,0.345015498450155,0.634836516348365
"SNP-7_1",0.271722827717228,0.652984701529847,0.410758924107589,0.61993800619938,0.354864513548645,0.365263473652635,0.263523647635237,0.18978102189781,0.462303769623038,0.717728227177282,0.345965403459654,0.202679732026797,0.213178682131787,0.0781921807819218,0.157784221577842,0.597040295970403,0.0836416358364164,0.77982201779822,0.347965203479652,0.0373462653734627,0.338616138386161,0.528397160283972,0.352114788521148,0.751224877512249,0.700729927007299,0.607889211078892,0.327817218278172,0.0506949305069493,0.518798120187981,0.61038896110389,0.335816418358164,0.506099390060994,0.204029597040296,0.502799720027997,0.199180081991801,0.0368963103689631,0.497550244975502,0.641835816418358,0.494650534946505,0.440705929407059,0.117188281171883,0.53044695530447,0.505649435056494,0.393260673932607,0.95980401959804,0.158634136586341,0.517348265173483,0.593190680931907,0.270922907709229,0.451704829517048
