"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-1_1",0.340182990850458,0.304134793260337,0.489225538723064,0.31798410079496,0.398730063496825,0.754712264386781,0.299285035748213,0.854607269636518,0.354432278386081,0.163041847907605,0.363281835908205,0.562521873906305,0.492675366231688,0.931953402329884,0.225438728063597,0.253237338133093,0.291635418229089,0.312784360781961,0.475476226188691,0.191640417979101,0.71636418179091,0.338183090845458,0.124093795310234,0.517474126293685,0.376031198440078,0.347432628368582,0.27853607319634,0.0390480475976201,0.698115094245288,0.208889555522224,0.104494775261237,0.711814409279536,0.378231088445578,0.155042247887606,0.550922453877306,0.193640317984101,0.591170441477926,0.0256987150642468,0.514674266286686,0.80205989700515,0.0825958702064897,0.226388680565972,0.27763611819409,0.0886455677216139,0.214839258037098,0.160741962901855,0.114544272786361,0.521273936303185,0.567671616419179,0.108844557772111
"SNP-1_2",0.514974251287436,0.108994550272486,0.212839358032098,0.199090045497725,0.445677716114194,0.545472726363682,0.278786060696965,0.190740462976851,0.213239338033098,0.332883355832208,0.265636718164092,0.095895205239738,0.4032798360082,0.153542322883856,0.447577621118944,0.387880605969702,0.409029548522574,0.184690765461727,0.602169891505425,0.184890755462227,0.127143642817859,0.0257987100644968,0.442277886105695,0.261686915654217,0.0395480225988701,0.111894405279736,0.375031248437578,0.168491575421229,0.215489225538723,0.0222988850557472,0.433628318584071,0.895405229738513,0.140392980350982,0.370481475926204,0.0610969451527424,0.24388780560972,0.660366981650917,0.11694415279236,0.166391680415979,0.503274836258187,0.565521723913804,0.310584470776461,0.0121493925303735,0.258287085645718,0.444977751112444,0.293085345732713,0.529123543822809,0.236738163091845,0.344482775861207,0.238738063096845
"SNP-2_1",0.455177241137943,0.581120943952802,0.466426678666067,0.347432628368582,0.590070496475176,0.704814759262037,0.376831158442078,0.2020398980051,0.140542972851357,0.0507974601269936,0.226288685565722,0.660066996650167,0.493975301234938,0.0460976951152442,0.180090995450227,0.908704564771761,0.367231638418079,0.311684415779211,0.245087745612719,0.0812959352032398,0.195090245487726,0.177291135443228,0.83810809459527,0.405729713514324,0.60141992900355,0.0304984750762462,0.0706964651767412,0.0651967401629918,0.409129543522824,0.651017449127544,0.35833208339583,0.335983200839958,0.837358132093395,0.208789560521974,0.596970151492425,0.268986550672466,0.353832308384581,0.374231288435578,0.16359182040898,0.0252487375631218,0.426528673566322,0.0905454727263637,0.615669216539173,0.369481525923704,0.919854007299635,0.415029248537573,0.262836858157092,0.308184590770461,0.2012399380031,0.340832958352082
"SNP-2_2",0.43972801359932,0.446227688615569,0.222188890555472,0.313434328283586,0.833458327083646,0.606219689015549,0.84150792460377,0.324983750812459,0.368131593420329,0.404379781010949,0.235538223088846,0.154442277886106,0.16049197540123,0.486925653717314,0.52082395880206,0.742712864356782,0.179091045447728,0.647067646617669,0.31728413579321,0.60381980900955,0.157742112894355,0.226288685565722,0.0373481325933703,0.677966101694915,0.767861606919654,0.84410779461027,0.166741662916854,0.512624368781561,0.265186740662967,0.655317234138293,0.690515474226289,0.168591570421479,0.337983100844958,0.109594520273986,0.172991350432478,0.140342982850857,0.128693565321734,0.126443677816109,0.136843157842108,0.673466326683666,0.0816459177041148,0.734313284335783,0.210389480525974,0.76041197940103,0.348532573371331,0.226238688065597,0.313284335783211,0.457327133643318,0.629518524073796,0.567421628918554
"SNP-3_1",0.727463626818659,0.11904404779761,0.0779461026948653,0.133843307834608,0.698815059247038,0.749962501874906,0.580370981450927,0.574721263936803,0.374831258437078,0.0684965751712414,0.145492725363732,0.290685465726714,0.3994800259987,0.2036398180091,0.701564921753912,0.890855457227139,0.333283335833208,0.0363481825908705,0.27633618319084,0.786510674466277,0.422178891055447,0.594570271486426,0.451677416129194,0.0578471076446178,0.260736963151842,0.706564671766412,0.0984950752462377,0.275086245687716,0.384730763461827,0.63876806159692,0.175991200439978,0.752612369381531,0.582370881455927,0.538323083845808,0.673766311684416,0.384880755962202,0.634568271586421,0.92130393480326,0.466226688665567,0.858807059647018,0.511874406279686,0.0928453577321134,0.816309184540773,0.343782810859457,0.576121193940303,0.595920203989801,0.858607069646518,0.867206639668017,0.460876956152192,0.617169141542923
"SNP-3_2",0.704614769261537,0.293835308234588,0.0521973901304935,0.300234988250587,0.204489775511224,0.274786260686966,0.108144592770361,0.487775611219439,0.190640467976601,0.0616469176541173,0.47957602119894,0.320233988300585,0.387530623468827,0.248787560621969,0.384030798460077,0.282085895705215,0.304134793260337,0.282385880705965,0.911654417279136,0.0543972801359932,0.187040647967602,0.148642567871606,0.450127493625319,0.67851607419629,0.407429628518574,0.420628968551572,0.308834558272086,0.512374381280936,0.127693615319234,0.840257987100645,0.341482925853707,0.251287435628219,0.390330483475826,0.0406479676016199,0.671866406679666,0.207989600519974,0.515274236288186,0.373731313434328,0.16369181540923,0.555322233888306,0.15969201539923,0.351132443377831,0.289685515724214,0.0446977651117444,0.31918404079796,0.0756462176891155,0.11964401779911,0.463426828658567,0.257087145642718,0.650517474126294
"SNP-4_1",0.5963201839908,0.342732863356832,0.315484225788711,0.178791060446978,0.311884405779711,0.472776361181941,0.211939403029849,0.0724963751812409,0.0283985800709965,0.514324283785811,0.0596470176491175,0.182990850457477,0.0602969851507425,0.923553822308885,0.722713864306785,0.447277636118194,0.213789310534473,0.0453477326133693,0.451177441127944,0.217089145542723,0.277786110694465,0.499525023748813,0.0438478076096195,0.211439428028599,0.251187440627969,0.142692865356732,0.424428778561072,0.100344982750862,0.245937703114844,0.539673016349183,0.36003199840008,0.48147592620369,0.245937703114844,0.409529523523824,0.0222488875556222,0.491975401229938,0.080345982700865,0.0554472276386181,0.132093395330233,0.385380730963452,0.179591020448978,0.458877056147193,0.445327733613319,0.533173341332933,0.344832758362082,0.0515974201289935,0.56047197640118,0.84020798960052,0.366081695915204,0.241837908104595
"SNP-4_2",0.506074696265187,0.246887655617219,0.072296385180741,0.182540872956352,0.064146792660367,0.0765961701914904,0.111644417779111,0.256187190640468,0.0678466076696165,0.11604419779011,0.172441377931103,0.106994650267487,0.232588370581471,0.249487525623719,0.1970401479926,0.380680965951702,0.129443527823609,0.15669216539173,0.247837608119594,0.119694015299235,0.150692465376731,0.0326483675816209,0.032348382580871,0.0650467476626169,0.0565971701414929,0.223088845557722,0.151392430378481,0.0103494825258737,0.0255487225638718,0.192140392980351,0.172991350432478,0.405879706014699,0.222438878056097,0.261736913154342,0.216689165541723,0.379631018449078,0.16089195540223,0.112844357782111,0.145942702864857,0.178591070446478,0.0858457077146143,0.40277986100695,0.127943602819859,0.731063446827659,0.466326683665817,0.255487225638718,0.545272736363182,0.360881955902205,0.151642417879106,0.726363681815909
"SNP-5_1",0.401729913504325,0.449627518624069,0.382180890955452,0.375481225938703,0.473826308684566,0.125293735313234,0.813709314534273,0.88045597720114,0.528073596320184,0.466926653667317,0.439478026098695,0.122493875306235,0.348232588370581,0.397430128493575,0.847507624618769,0.499325033748313,0.3998800059997,0.338633068346583,0.0817459127043648,0.51782410879456,0.567621618919054,0.782260886955652,0.191440427978601,0.530173491325434,0.181290935453227,0.901054947252637,0.300934953252337,0.131543422828859,0.0670966451677416,0.760861956902155,0.704464776761162,0.745362731863407,0.511774411279436,0.689765511724414,0.616769161541923,0.498375081245938,0.668666566671666,0.683365831708415,0.609469526523674,0.956152192390381,0.167241637918104,0.032198390080496,0.388830558472076,0.457677116144193,0.0951952402379881,0.364131793410329,0.105594720263987,0.415179241037948,0.446127693615319,0.264586770661467
"SNP-5_2",0.16379181040948,0.08029598520074,0.445377731113444,0.0909954502274886,0.206689665516724,0.239838008099595,0.367431628418579,0.0595970201489925,0.079646017699115,0.0672966351682416,0.0468476576171191,0.178691065446728,0.164641767911604,0.44042797860107,0.502074896255187,0.132793360331983,0.251337433128344,0.0375481225938703,0.449977501124944,0.23928803559822,0.201089945502725,0.228938553072346,0.251087445627719,0.126493675316234,0.136643167841608,0.381180940952952,0.133193340332983,0.142692865356732,0.245437728113594,0.15839208039598,0.245687715614219,0.389930503474826,0.0471976401179941,0.0502474876256187,0.0931953402329884,0.0516974151292435,0.434678266086696,0.208689565521724,0.547122643867807,0.0366981650917454,0.263636818159092,0.0427978601069946,0.310784460776961,0.28003599820009,0.853257337133143,0.802009899505025,0.312034398280086,0.305934703264837,0.213989300534973,0.302284885755712
