"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.044995500449955,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.136186381361864,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0112988701129887,9.99900009999e-05,0.0645935406459354,9.99900009999e-05,0.0467953204679532,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0072992700729927,0.433756624337566,0.428457154284572,0.106389361063894,0.055994400559944,0.0338966103389661
"SNP-44_2",0.246475352464754,0.243075692430757,0.369363063693631,0.287771222877712,9.99900009999e-05,9.99900009999e-05,0.403859614038596,0.76992300769923,0.382361763823618,0.0256974302569743,0.812518748125187,0.0310968903109689,0.131286871312869,0.251474852514749,0.0096990300969903,0.133386661333867,0.0640935906409359,0.785621437856214,0.023997600239976,0.707729227077292,0.404259574042596,0.0202979702029797,0.387261273872613,0.387561243875612,0.372362763723628,0.253374662533747,0.988501149885011,0.402359764023598,0.572742725727427,0.0246975302469753,0.0135986401359864,0.0873912608739126,0.0718928107189281,0.317768223177682,0.241275872412759,0.628437156284372,0.0113988601139886,0.957704229577042,0.262773722627737,0.0095990400959904,9.99900009999e-05,0.4995500449955,0.211378862113789,0.511548845115488,0.155684431556844,0.272772722727727,0.136886311368863,0.202879712028797,0.0863913608639136,0.292370762923708
"SNP-59_1",0.227877212278772,0.431456854314569,0.126587341265873,0.0990900909909009,0.280971902809719,0.341765823417658,0.741625837416258,0.0203979602039796,0.0547945205479452,0.6000399960004,0.315368463153685,9.99900009999e-05,0.266673332666733,0.156484351564844,0.175582441755824,0.236276372362764,0.0166983301669833,0.170882911708829,0.0358964103589641,0.415958404159584,0.084991500849915,0.177882211778822,0.0452954704529547,9.99900009999e-05,0.232576742325767,0.13978602139786,0.0266973302669733,0.180581941805819,0.0106989301069893,0.464153584641536,0.675932406759324,0.26027397260274,0.283571642835716,0.0131986801319868,0.063993600639936,0.018998100189981,0.0388961103889611,0.0133986601339866,0.213878612138786,0.142285771422858,0.225077492250775,0.11978802119788,0.344065593440656,0.358964103589641,0.496150384961504,0.686131386861314,0.896310368963104,0.506849315068493,0.0241975802419758,0.209379062093791
"SNP-59_2",0.0155984401559844,0.0094990500949905,9.99900009999e-05,0.0845915408459154,0.0641935806419358,0.0241975802419758,0.0063993600639936,9.99900009999e-05,0.0211978802119788,0.0064993500649935,0.125987401259874,0.0461953804619538,9.99900009999e-05,0.0082991700829917,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0602939706029397,0.0251974802519748,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0595940405959404,0.10958904109589,9.99900009999e-05,0.0627937206279372,0.301169883011699,9.99900009999e-05,0.0988901109889011,0.01999800019998,0.122987701229877,0.0113988601139886,0.0176982301769823,0.0146985301469853,0.0072992700729927,0.0578942105789421,9.99900009999e-05,9.99900009999e-05,0.0691930806919308,0.161083891610839,0.0042995700429957,0.332366763323668,0.033996600339966,0.121787821217878,0.0075992400759924
"SNP-63_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0254974502549745,9.99900009999e-05,9.99900009999e-05,0.0064993500649935,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.137286271372863,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0592940705929407,9.99900009999e-05,0.0083991600839916,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.114188581141886,0.0522947705229477,9.99900009999e-05,0.264973502649735,9.99900009999e-05,0.0035996400359964,0.208279172082792
"SNP-63_2",0.665433456654335,0.375762423757624,0.275072492750725,0.455054494550545,0.964303569643036,0.236876312368763,0.978002199780022,0.464253574642536,0.854114588541146,0.448355164483552,0.729327067293271,0.285471452854715,0.288271172882712,0.943105689431057,0.4997500249975,0.658334166583342,0.740925907409259,0.556744325567443,0.899410058994101,0.144285571442856,0.195080491950805,0.728727127287271,0.525547445255474,0.462353764623538,0.0833916608339166,0.0861913808619138,0.939206079392061,0.187781221877812,0.314568543145685,0.267873212678732,0.736026397360264,0.455954404559544,0.657634236576342,0.760623937606239,0.863713628637136,0.332066793320668,0.85031496850315,0.479352064793521,0.984501549845015,0.202579742025797,0.555644435556444,0.540845915408459,0.568643135686431,0.968803119688031,0.654934506549345,0.0230976902309769,0.107189281071893,0.0120987901209879,0.556744325567443,0.0288971102889711
"SNP-76_1",9.99900009999e-05,0.0093990600939906,9.99900009999e-05,9.99900009999e-05,0.117088291170883,9.99900009999e-05,0.0063993600639936,9.99900009999e-05,9.99900009999e-05,0.0314968503149685,9.99900009999e-05,9.99900009999e-05,0.0605939406059394,0.0440955904409559,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0568943105689431,9.99900009999e-05,9.99900009999e-05,0.476352364763524,0.0153984601539846,0.102489751024898,0.1004899510049,9.99900009999e-05,0.0075992400759924,0.0273972602739726,0.0263973602639736,9.99900009999e-05,9.99900009999e-05,0.222577742225777,0.0203979602039796,0.107889211078892,9.99900009999e-05,0.0067993200679932,9.99900009999e-05,0.0170982901709829,9.99900009999e-05,9.99900009999e-05,0.526647335266473,0.197080291970803,0.0048995100489951,0.0200979902009799,0.0036996300369963,0.0651934806519348,0.0706929307069293,0.117088291170883,9.99900009999e-05,0.0135986401359864,0.008999100089991
"SNP-76_2",0.699330066993301,0.053994600539946,0.245675432456754,0.314868513148685,0.692330766923308,0.408059194080592,0.702829717028297,0.483451654834517,0.752424757524248,0.455054494550545,0.0840915908409159,9.99900009999e-05,0.0314968503149685,0.0042995700429957,0.212178782121788,0.173582641735826,0.0950904909509049,0.99030096990301,0.675032496750325,0.111088891110889,0.847115288471153,0.394560543945605,0.971102889711029,0.0116988301169883,0.456554344565543,0.854414558544146,0.549245075492451,0.695030496950305,0.766923307669233,0.263073692630737,0.558944105589441,0.220777922207779,0.702929707029297,0.23967603239676,0.839016098390161,0.325967403259674,0.813418658134187,0.356064393560644,0.0073992600739926,0.469053094690531,0.485451454854515,0.306469353064694,0.497450254974503,0.0317968203179682,0.634436556344366,0.60963903609639,0.347065293470653,0.4003599640036,0.621837816218378,0.835516448355164
"SNP-83_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0063993600639936,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0118988101189881,9.99900009999e-05,0.023997600239976,0.0164983501649835,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0034996500349965,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0278972102789721,9.99900009999e-05,9.99900009999e-05,0.0468953104689531,0.0034996500349965,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0027997200279972,9.99900009999e-05,0.167483251674833,9.99900009999e-05,0.55964403559644,0.0586941305869413
"SNP-83_2",0.647735226477352,0.139386061393861,0.321167883211679,0.716328367163284,0.696730326967303,0.788221177882212,0.211678832116788,0.292570742925707,0.106989301069893,0.285771422857714,0.312468753124688,0.325867413258674,0.911308869113089,0.0775922407759224,0.278172182781722,0.624037596240376,0.807119288071193,0.437256274372563,0.175782421757824,0.246775322467753,0.121287871212879,0.823317668233177,0.08999100089991,0.532346765323468,0.141985801419858,0.378362163783622,0.509249075092491,0.315768423157684,0.180981901809819,0.728627137286271,0.141285871412859,0.158784121587841,0.418458154184582,0.239476052394761,0.818518148185181,0.326467353264674,0.36016398360164,0.961703829617038,0.345265473452655,0.299370062993701,0.501249875012499,0.607839216078392,0.137086291370863,0.167083291670833,0.893710628937106,0.415358464153585,0.93040695930407,0.232676732326767,0.552044795520448,0.865913408659134
