"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.000999900009999,0.0194980501949805,0.412658734126587,0.0105989401059894,0.0086991300869913,0.0046995300469953
"SNP-44_2",9.99900009999e-05,0.0045995400459954,0.0153984601539846,0.0007999200079992,9.99900009999e-05,9.99900009999e-05,0.0144985501449855,0.163283671632837,0.0278972102789721,9.99900009999e-05,0.384161583841616,0.000999900009999,0.0032996700329967,0.0395960403959604,0.138586141385861,0.0814918508149185,0.0518948105189481,0.0347965203479652,0.115988401159884,0.115888411158884,0.272372762723728,0.0068993100689931,0.056994300569943,0.0435956404359564,9.99900009999e-05,0.210778922107789,0.0003999600039996,0.0624937506249375,0.314168583141686,0.0341965803419658,0.0145985401459854,0.034996500349965,0.0031996800319968,0.332866713328667,0.284871512848715,0.648935106489351,0.157184281571843,0.445055494450555,0.133886611338866,9.99900009999e-05,9.99900009999e-05,0.0073992600739926,0.148185181481852,0.331066893310669,0.0715928407159284,0.134686531346865,0.0305969403059694,0.064993500649935,0.0102989701029897,0.295270472952705
"SNP-59_1",9.99900009999e-05,0.0021997800219978,0.0004999500049995,9.99900009999e-05,0.0044995500449955,0.0040995900409959,0.0462953704629537,0.0064993500649935,0.000999900009999,0.0466953304669533,0.0474952504749525,0.0005999400059994,0.0042995700429957,0.0031996800319968,0.0087991200879912,0.0562943705629437,0.0006999300069993,0.0012998700129987,0.0162983701629837,0.0111988801119888,0.0004999500049995,0.0062993700629937,0.0104989501049895,9.99900009999e-05,0.0471952804719528,0.0026997300269973,0.0070992900709929,0.0050994900509949,9.99900009999e-05,0.0024997500249975,0.229377062293771,0.0116988301169883,0.0025997400259974,0.0212978702129787,0.0005999400059994,0.0117988201179882,0.0220977902209779,0.0562943705629437,0.0034996500349965,0.0231976802319768,0.0331966803319668,0.0005999400059994,0.0084991500849915,0.0496950304969503,0.563743625637436,0.185181481851815,0.143185681431857,0.410658934106589,0.0687931206879312,0.0976902309769023
"SNP-59_2",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0004999500049995,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0003999600039996,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0003999600039996,0.0004999500049995,9.99900009999e-05,9.99900009999e-05,0.0023997600239976,9.99900009999e-05,9.99900009999e-05,0.0070992900709929,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0003999600039996,9.99900009999e-05,0.0025997400259974,0.000999900009999,9.99900009999e-05,0.0005999400059994,0.0576942305769423,0.0023997600239976,0.279372062793721,0.0110988901109889,0.0444955504449555,0.0035996400359964
"SNP-63_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0090990900909909,9.99900009999e-05,0.0005999400059994,9.99900009999e-05,9.99900009999e-05,0.0004999500049995,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0132986701329867,9.99900009999e-05,9.99900009999e-05,0.0006999300069993,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0436956304369563,0.0007999200079992,0.0018998100189981,9.99900009999e-05,0.0005999400059994,9.99900009999e-05,0.0005999400059994,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0026997300269973,0.0004999500049995,0.000999900009999,0.0007999200079992,0.21007899210079,0.0004999500049995,0.101689831016898,9.99900009999e-05,0.075992400759924,0.0235976402359764
"SNP-63_2",0.165483451654835,0.225477452254775,0.236376362363764,0.780621937806219,0.656134386561344,0.401459854014599,0.496150384961504,0.23967603239676,0.706129387061294,0.255374462553745,0.237076292370763,0.791820817918208,0.472452754724528,0.936006399360064,0.226577342265773,0.0605939406059394,0.764823517648235,0.119388061193881,0.81951804819518,0.481851814818518,0.365963403659634,0.804519548045195,0.346265373462654,0.108589141085891,0.131786821317868,0.279272072792721,0.0600939906009399,0.0952904709529047,0.838516148385162,0.632336766323368,0.455654434556544,0.611238876112389,0.612238776122388,0.958604139586041,0.151484851514849,0.473352664733527,0.114788521147885,0.15028497150285,0.162383761623838,0.158084191580842,0.66953304669533,0.611938806119388,0.330566943305669,0.794420557944206,0.963903609639036,0.157384261573843,0.108289171082892,0.110588941105889,0.648735126487351,0.223177682231777
"SNP-76_1",0.0004999500049995,0.0056994300569943,9.99900009999e-05,9.99900009999e-05,0.0005999400059994,9.99900009999e-05,0.015998400159984,0.0004999500049995,9.99900009999e-05,0.0108989101089891,0.0058994100589941,9.99900009999e-05,0.002999700029997,0.0373962603739626,9.99900009999e-05,9.99900009999e-05,0.0026997300269973,0.0045995400459954,9.99900009999e-05,9.99900009999e-05,0.0774922507749225,0.0004999500049995,0.0058994100589941,9.99900009999e-05,9.99900009999e-05,0.004999500049995,0.0004999500049995,0.0023997600239976,9.99900009999e-05,9.99900009999e-05,0.0326967303269673,9.99900009999e-05,0.0050994900509949,9.99900009999e-05,0.0881911808819118,9.99900009999e-05,0.0166983301669833,0.0036996300369963,9.99900009999e-05,0.0061993800619938,0.0723927607239276,0.0007999200079992,9.99900009999e-05,0.0373962603739626,0.05999400059994,0.0021997800219978,0.319168083191681,0.0743925607439256,0.149185081491851,0.0012998700129987
"SNP-76_2",0.004999500049995,0.596640335966403,0.0453954604539546,0.69003099690031,0.584941505849415,0.592940705929407,0.719528047195281,0.627337266273373,0.781021897810219,0.888911108889111,0.38996100389961,0.011998800119988,0.143085691430857,0.058994100589941,0.656734326567343,0.103389661033897,0.0594940505949405,0.641935806419358,0.351664833516648,0.458454154584542,0.474552544745525,0.282171782821718,0.47005299470053,0.137586241375862,0.0056994300569943,0.633236676332367,0.102089791020898,0.703329667033297,0.609239076092391,0.0221977802219778,0.540445955404459,0.668933106689331,0.0922907709229077,0.897210278972103,0.656534346565343,0.931606839316068,0.0663933606639336,0.444955504449555,0.0592940705929407,0.154684531546845,0.210778922107789,0.474752524747525,0.387361263873613,0.0166983301669833,0.531246875312469,0.542445755424458,0.578742125787421,0.481351864813519,0.503949605039496,0.730926907309269
"SNP-83_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.005999400059994,9.99900009999e-05,0.0007999200079992,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0006999300069993,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0002999700029997,9.99900009999e-05,0.0010998900109989,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0022997700229977,9.99900009999e-05,9.99900009999e-05,0.0007999200079992,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0744925507449255,9.99900009999e-05,0.168183181681832,0.0017998200179982
"SNP-83_2",0.155884411558844,0.438856114388561,0.390860913908609,0.670732926707329,0.305369463053695,0.335366463353665,0.457654234576542,0.6998300169983,0.674532546745325,0.284671532846715,0.509149085091491,0.520647935206479,0.753524647535247,0.171882811718828,0.450554944505549,0.295770422957704,0.562243775622438,0.544545545445455,0.37986201379862,0.437656234376562,0.837216278372163,0.362163783621638,0.116388361163884,0.62023797620238,0.484151584841516,0.143585641435856,0.343365663433657,0.204379562043796,0.392860713928607,0.458154184581542,0.256374362563744,0.224477552244776,0.665133486651335,0.363763623637636,0.592140785921408,0.672032796720328,0.207279272072793,0.781321867813219,0.132486751324868,0.0815918408159184,0.476852314768523,0.609139086091391,0.192980701929807,0.261273872612739,0.8995100489951,0.702029797020298,0.735326467353265,0.78972102789721,0.318768123187681,0.777122287771223
