"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0323967603239676,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.364063593640636,0.0398960103989601,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0358964103589641,9.99900009999e-05,9.99900009999e-05,0.0291970802919708,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.105089491050895,9.99900009999e-05,0.197480251974803,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0196980301969803,9.99900009999e-05,0.0565943405659434,9.99900009999e-05,9.99900009999e-05,0.0080991900809919,9.99900009999e-05,9.99900009999e-05,0.0056994300569943,0.211478852114789,0.103689631036896,9.99900009999e-05,0.104789521047895,9.99900009999e-05,0.02999700029997,9.99900009999e-05,0.667733226677332,0.408959104089591,0.195980401959804,0.0780921907809219,0.67003299670033,0.717928207179282
"SNP-44_2",0.708429157084292,0.16978302169783,0.972102789721028,0.886111388861114,9.99900009999e-05,9.99900009999e-05,0.643435656434357,0.956704329567043,0.888211178882112,0.0936906309369063,0.978102189781022,0.693630636936306,0.70982901709829,0.623037696230377,0.846815318468153,0.415258474152585,0.946105389461054,0.31996800319968,0.805919408059194,0.15958404159584,0.183381661833817,0.738326167383262,0.498250174982502,0.544345565443456,0.805019498050195,0.217978202179782,0.443455654434557,0.723727627237276,0.609339066093391,0.76952304769523,0.791320867913209,0.0748925107489251,0.61993800619938,0.614938506149385,0.55964403559644,0.728727127287271,0.794020597940206,0.996700329967003,0.864813518648135,0.986901309869013,9.99900009999e-05,0.928707129287071,0.661933806619338,0.876212378762124,0.746825317468253,0.0774922507749225,0.32046795320468,0.97960203979602,0.415958404159584,0.313968603139686
"SNP-59_1",0.776622337766223,0.168683131686831,0.255974402559744,0.0215978402159784,0.877412258774123,0.325867413258674,0.883911608839116,0.718428157184282,0.422957704229577,0.753124687531247,0.552844715528447,0.910608939106089,0.422557744225577,0.975902409759024,0.979202079792021,0.613838616138386,0.0271972802719728,0.495450454954505,0.506049395060494,0.567743225677432,0.492750724927507,0.881311868813119,0.837916208379162,0.296870312968703,0.0140985901409859,0.0136986301369863,0.64993500649935,0.806119388061194,0.0182981701829817,0.962803719628037,0.677932206779322,0.703129687031297,0.411658834116588,0.432356764323568,0.563543645635436,0.163083691630837,0.9002099790021,0.61013898610139,0.866813318668133,0.846415358464154,0.843715628437156,0.877912208779122,0.535246475352465,0.0068993100689931,0.9000099990001,0.875012498750125,0.914908509149085,0.768123187681232,0.22987701229877,0.716428357164284
"SNP-59_2",0.462853714628537,0.923907609239076,0.247875212478752,0.925507449255074,0.969403059694031,0.852914708529147,0.533746625337466,0.578442155784422,0.479352064793521,0.268273172682732,0.905309469053095,0.8002199780022,0.348565143485651,0.418158184181582,0.736926307369263,0.793720627937206,0.576042395760424,0.806119388061194,0.832216778322168,0.677332266773323,0.482451754824518,0.825017498250175,0.403759624037596,0.895410458954105,0.524747525247475,0.779022097790221,0.937306269373063,0.626437356264374,0.734926507349265,0.871012898710129,0.167083291670833,0.941905809419058,0.80951904809519,0.820717928207179,0.703429657034297,0.792120787921208,0.102489751024898,0.466553344665533,0.137686231376862,0.861113888611139,0.85961403859614,0.727827217278272,0.362363763623638,0.182581741825817,0.991600839916008,0.941005899410059,0.781521847815218,0.95010498950105,0.153084691530847,0.535246475352465
"SNP-63_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0543945605439456,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0361963803619638,0.0061993800619938,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0625937406259374,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.004999500049995,9.99900009999e-05,0.0031996800319968,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0056994300569943,9.99900009999e-05,9.99900009999e-05,0.0370962903709629,0.457854214578542,0.0337966203379662,9.99900009999e-05,0.312468753124688,0.227277272272773,0.0672932706729327,0.136686331366863,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"SNP-63_2",0.588941105889411,0.762423757624238,0.709029097090291,0.576042395760424,0.661133886611339,0.709429057094291,0.862213778622138,0.78012198780122,0.427757224277572,0.305369463053695,0.930506949305069,0.890810918908109,0.418858114188581,0.322567743225677,0.468853114688531,0.786821317868213,0.592940705929407,0.718928107189281,0.0992900709929007,0.597340265973403,0.662533746625337,0.604139586041396,0.653534646535346,0.79012098790121,0.739326067393261,0.822117788221178,0.556944305569443,0.650734926507349,0.53034696530347,0.705229477052295,0.731326867313269,0.91050894910509,0.215978402159784,0.567143285671433,0.237176282371763,0.454854514548545,0.58964103589641,0.473752624737526,0.72962703729627,0.918408159184082,0.600839916008399,0.0176982301769823,0.602039796020398,0.705529447055295,0.482251774822518,0.882811718828117,0.801319868013199,0.608239176082392,0.496950304969503,0.88011198880112
"SNP-76_1",9.99900009999e-05,0.0090990900909909,9.99900009999e-05,9.99900009999e-05,0.448855114488551,0.269273072692731,0.195080491950805,9.99900009999e-05,0.202179782021798,0.690530946905309,9.99900009999e-05,9.99900009999e-05,0.107389261073893,0.338966103389661,0.338866113388661,9.99900009999e-05,9.99900009999e-05,0.78022197780222,9.99900009999e-05,0.208679132086791,0.0097990200979902,0.125987401259874,0.0401959804019598,0.0722927707229277,0.0353964603539646,0.0075992400759924,0.561343865613439,9.99900009999e-05,0.0292970702929707,0.0062993700629937,0.0755924407559244,0.264873512648735,0.65023497650235,9.99900009999e-05,0.0067993200679932,9.99900009999e-05,0.206379362063794,9.99900009999e-05,0.0977902209779022,0.885311468853115,0.542345765423458,0.631836816318368,0.402159784021598,0.666933306669333,0.514948505149485,0.896110388961104,0.761023897610239,9.99900009999e-05,0.173182681731827,0.196580341965803
"SNP-76_2",0.861313868613139,0.41975802419758,0.604639536046395,0.177682231776822,0.788521147885211,0.514448555144486,0.829417058294171,0.363563643635636,0.673332666733327,0.527347265273473,0.513148685131487,9.99900009999e-05,0.118088191180882,0.131186881311869,0.531246875312469,0.380561943805619,0.223577642235776,0.488351164883512,0.693430656934307,0.623237676232377,0.573242675732427,0.773522647735226,0.6996300369963,0.291270872912709,0.362263773622638,0.16998300169983,0.47955204479552,0.638236176382362,0.754224577542246,0.402959704029597,0.136886311368863,0.914508549145086,0.196280371962804,0.393860613938606,0.839016098390161,0.711228877112289,0.434956504349565,0.31036896310369,0.202979702029797,0.817118288171183,0.0690930906909309,0.796820317968203,0.07999200079992,0.121387861213879,0.836116388361164,0.515248475152485,0.596340365963404,0.25037496250375,0.346865313468653,0.604939506049395
"SNP-83_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.112588741125887,0.141385861413859,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.529347065293471,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0638936106389361,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.181381861813819,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0242975702429757,9.99900009999e-05,0.0345965403459654,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.738526147385261,9.99900009999e-05,0.0212978702129787,9.99900009999e-05,0.0170982901709829,9.99900009999e-05,9.99900009999e-05,0.348365163483652,0.94990500949905,0.0054994500549945,0.132286771322868
"SNP-83_2",0.567443255674433,0.204179582041796,0.537046295370463,0.466953304669533,0.254674532546745,0.276072392760724,0.850714928507149,0.331466853314669,0.0585941405859414,0.4004599540046,0.533546645335466,0.413458654134587,0.4004599540046,0.142885711428857,0.540745925407459,0.41025897410259,0.0606939306069393,0.470952904709529,0.438756124387561,0.147885211478852,0.106289371062894,0.703129687031297,0.355864413558644,0.63993600639936,0.619338066193381,0.351564843515648,0.42035796420358,0.403159684031597,0.18008199180082,0.817818218178182,0.251374862513749,0.155184481551845,0.321067893210679,0.269273072692731,0.422657734226577,0.367663233676632,0.311068893110689,0.645035496450355,0.32006799320068,0.311368863113689,0.694230576942306,0.136986301369863,0.125387461253875,0.198980101989801,0.963203679632037,0.156084391560844,0.59044095590441,0.801219878012199,0.579242075792421,0.577142285771423
