"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.241675832416758,0.203479652034797,0.0830916908309169,0.004999500049995,0.175982401759824,0.558844115588441,0.155784421557844,0.385261473852615,0.672032796720328,0.216678332166783,0.0062993700629937,0.0801919808019198,0.251074892510749,0.370562943705629,0.0532946705329467,0.657034296570343,0.0063993600639936,0.206879312068793,0.152884711528847,0.293370662933707,0.377862213778622,0.689331066893311,0.791120887911209,0.53974602539746,0.296170382961704,0.611438856114389,0.638436156384362,0.323267673232677,0.726827317268273,0.406459354064594,0.136886311368863,0.334166583341666,0.127987201279872,0.910908909109089,0.32996700329967,0.504749525047495,0.58954104589541,0.323767623237676,0.247675232476752,0.183181681831817,0.554344565543446,0.749425057494251,0.001999800019998,0.347165283471653,0.932306769323068,0.861313868613139,0.646835316468353,0.668133186681332,0.42025797420258,0.648535146485351
"SNP-44_2",0.601639836016398,0.341765823417658,0.202979702029797,0.477752224777522,0.368763123687631,0.399360063993601,0.330566943305669,0.283671632836716,0.448955104489551,0.499050094990501,0.578242175782422,0.206979302069793,0.251574842515748,0.427157284271573,0.403159684031597,0.356264373562644,0.191080891910809,0.368663133686631,0.326967303269673,0.407459254074593,0.436956304369563,0.415258474152585,0.578742125787421,0.637636236376362,0.402659734026597,0.541645835416458,0.147385261473853,0.396860313968603,0.173582641735826,0.583341665833417,0.408059194080592,0.322867713228677,0.645835416458354,0.108689131086891,0.53984601539846,0.132386761323868,0.376162383761624,0.593640635936406,0.424657534246575,0.611538846115388,0.503249675032497,0.172782721727827,0.586341365863414,0.486051394860514,0.35036496350365,0.300869913008699,0.558544145585441,0.601039896010399,0.187581241875812,0.162883711628837
"SNP-59_1",0.313268673132687,0.349465053494651,0.204379562043796,0.412858714128587,0.514148585141486,0.399060093990601,0.246775322467753,0.197080291970803,0.191080891910809,0.705129487051295,0.190880911908809,0.363563643635636,0.305669433056694,0.0374962503749625,0.135886411358864,0.476552344765523,0.433456654334567,0.418558144185581,0.299270072992701,0.244175582441756,0.468753124687531,0.607739226077392,0.447255274472553,0.402859714028597,0.468553144685531,0.303369663033697,0.362463753624638,0.111188881111889,0.212378762123788,0.562143785621438,0.21987801219878,0.628637136286371,0.58014198580142,0.28977102289771,0.0654934506549345,0.283671632836716,0.56964303569643,0.134086591340866,0.390560943905609,0.497950204979502,0.609239076092391,0.33036696330367,0.187381261873813,0.470552944705529,0.341665833416658,0.534446555344466,0.849115088491151,0.680931906809319,0.34016598340166,0.690630936906309
"SNP-59_2",0.476252374762524,0.490550944905509,0.27957204279572,0.456154384561544,0.668833116688331,0.639236076392361,0.633636636336366,0.5997400259974,0.701029897010299,0.679432056794321,0.332466753324668,0.159084091590841,0.548945105489451,0.370762923707629,0.354564543545645,0.390560943905609,0.554344565543446,0.467153284671533,0.596040395960404,0.136286371362864,0.387361263873613,0.662433756624338,0.584441555844416,0.117988201179882,0.363863613638636,0.534846515348465,0.52014798520148,0.347765223477652,0.659334066593341,0.356864313568643,0.222277772222778,0.53004699530047,0.0164983501649835,0.493750624937506,0.64973502649735,0.352264773522648,0.721127887211279,0.561043895610439,0.4995500449955,0.704729527047295,0.606839316068393,0.437556244375562,0.193980601939806,0.449455054494551,0.894910508949105,0.482251774822518,0.261773822617738,0.921307869213079,0.557644235576442,0.61043895610439
"SNP-63_1",0.10988901109889,0.132886711328867,0.308569143085691,0.0971902809719028,0.457054294570543,0.464053594640536,0.250874912508749,0.000999900009999,0.168583141685831,0.263673632636736,0.210778922107789,0.380561943805619,0.0053994600539946,0.295570442955704,0.166983301669833,0.0566943305669433,0.123387661233877,0.0605939406059394,0.371262873712629,0.238576142385761,0.343165683431657,0.119088091190881,0.525147485251475,0.282471752824718,0.0501949805019498,0.151284871512849,9.99900009999e-05,0.0876912308769123,0.26047395260474,0.251674832516748,0.101089891010899,0.0995900409959004,0.423557644235576,0.0028997100289971,0.365463453654635,0.005999400059994,0.243575642435756,0.151584841515848,0.255574442555744,0.111888811118888,0.624837516248375,0.175982401759824,0.176982301769823,0.303669633036696,0.647735226477352,0.217378262173783,0.231776822317768,9.99900009999e-05,0.267173282671733,0.846715328467153
"SNP-63_2",0.321867813218678,0.348065193480652,0.402259774022598,0.379062093790621,0.316668333166683,0.427457254274573,0.22977702229777,0.315068493150685,0.565743425657434,0.326167383261674,0.423657634236576,0.333766623337666,0.274972502749725,0.522047795220478,0.299070092990701,0.553844615538446,0.211478852114789,0.547345265473453,0.273772622737726,0.375862413758624,0.214478552144786,0.46965303469653,0.377462253774623,0.502149785021498,0.518848115188481,0.334066593340666,0.383861613838616,0.34966503349665,0.267273272672733,0.422757724227577,0.355964403559644,0.175082491750825,0.473452654734527,0.4997500249975,0.513748625137486,0.565643435656434,0.45045495450455,0.237776222377762,0.382161783821618,0.248575142485751,0.535246475352465,0.31976802319768,0.561243875612439,0.563343665633437,0.396160383961604,0.555344465553445,0.288571142885711,0.492150784921508,0.51024897510249,0.586441355864414
"SNP-76_1",0.327967203279672,0.377362263773623,0.258574142585741,0.314268573142686,0.481951804819518,0.645035496450355,0.411558844115588,0.143685631436856,0.314768523147685,0.663833616638336,0.305369463053695,0.272372762723728,0.122887711228877,0.11048895110489,0.649235076492351,0.339066093390661,0.0834916508349165,0.318868113188681,0.656034396560344,0.214278572142786,0.115888411158884,0.448455154484552,0.52974702529747,0.466953304669533,0.145985401459854,0.416658334166583,0.404159584041596,0.0366963303669633,0.323667633236676,0.504449555044496,0.608639136086391,0.231876812318768,0.426457354264574,0.216178382161784,0.595840415958404,0.195180481951805,0.516548345165483,0.404759524047595,0.398860113988601,0.531946805319468,0.542145785421458,0.0400959904009599,0.0524947505249475,0.505149485051495,0.83981601839816,0.548645135486451,0.684331566843316,9.99900009999e-05,0.626037396260374,0.82951704829517
"SNP-76_2",0.0044995500449955,0.598740125987401,0.574942505749425,0.459054094590541,0.56024397560244,0.55964403559644,0.513248675132487,0.567443255674433,0.486951304869513,0.38976102389761,0.6000399960004,0.0151984801519848,0.481251874812519,0.625237476252375,0.352864713528647,0.534746525347465,0.536946305369463,0.654234576542346,0.592240775922408,0.642635736426357,0.413558644135586,0.635536446355364,0.564643535646435,0.587441255874413,0.0044995500449955,0.514648535146485,0.543845615438456,0.224077592240776,0.557244275572443,0.50974902509749,0.341565843415658,0.62013798620138,0.411258874112589,0.42975702429757,0.66953304669533,0.538746125387461,0.433856614338566,0.478752124787521,0.661033896610339,0.434656534346565,0.525847415258474,0.685931406859314,0.572642735726427,0.474552544745525,0.740625937406259,0.573242675732427,0.367963203679632,0.577942205779422,0.531346865313469,0.598940105989401
"SNP-83_1",0.0056994300569943,0.587941205879412,0.143785621437856,0.06999300069993,0.688031196880312,0.353064693530647,0.395160483951605,0.247575242475752,0.158384161583842,0.0812918708129187,0.0197980201979802,0.107489251074893,0.0034996500349965,0.352864713528647,0.366563343665633,0.382061793820618,0.0595940405959404,0.443255674432557,0.155184481551845,0.216578342165783,0.0722927707229277,0.277072292770723,0.512648735126487,9.99900009999e-05,0.302369763023698,0.386161383861614,0.189481051894811,0.133086691330867,0.224877512248775,0.285471452854715,0.777522247775222,9.99900009999e-05,0.222277772222778,0.702529747025297,0.138086191380862,0.791420857914209,0.53004699530047,0.21037896210379,0.0078992100789921,0.118888111188881,0.203079692030797,0.362963703629637,0.294970502949705,0.0907909209079092,0.965403459654035,0.597140285971403,0.0347965203479652,0.3004699530047,0.589141085891411,0.0994900509949005
"SNP-83_2",0.215678432156784,0.388461153884612,0.501749825017498,0.854114588541146,0.326067393260674,0.355164483551645,0.493350664933507,0.706829317068293,0.764023597640236,0.453554644535546,0.628137186281372,0.546645335466453,0.787521247875212,0.174382561743826,0.442255774422558,0.315368463153685,0.701129887011299,0.736426357364264,0.411858814118588,0.464353564643536,0.834916508349165,0.609339066093391,0.148985101489851,0.596040395960404,0.83051694830517,0.104289571042896,0.453354664533547,0.171182881711829,0.295270472952705,0.341465853414659,0.234876512348765,0.200779922007799,0.838516148385162,0.504449555044496,0.327567243275672,0.670732926707329,0.274572542745725,0.778422157784222,0.233576642335766,0.208779122087791,0.626337366263374,0.658034196580342,0.347565243475652,0.551944805519448,0.60983901609839,0.58974102589741,0.906109389061094,0.971402859714029,0.186881311868813,0.584141585841416
