"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0223977602239776,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.45015498450155,0.202979702029797,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0354964503549645,9.99900009999e-05,9.99900009999e-05,0.0148985101489851,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0861913808619138,0.004999500049995,0.0086991300869913,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0171982801719828,9.99900009999e-05,0.0198980101989801,9.99900009999e-05,0.0192980701929807,9.99900009999e-05,9.99900009999e-05,0.0454954504549545,9.99900009999e-05,0.0347965203479652,0.105489451054895,0.0807919208079192,0.0528947105289471,0.0024997500249975,0.0964903509649035,9.99900009999e-05,0.101989801019898,9.99900009999e-05,0.580841915808419,0.274772522747725,0.165483451654835,0.162383761623838,0.421457854214579,0.659134086591341
"SNP-44_2",0.542345765423458,0.221377862213779,0.933006699330067,0.6999300069993,0.0734926507349265,0.538146185381462,0.374262573742626,0.910608939106089,0.92990700929907,0.0948905109489051,0.94000599940006,0.919408059194081,0.683531646835316,0.276872312768723,0.764123587641236,0.541145885411459,0.41995800419958,0.266473352664734,0.660833916608339,0.386661333866613,0.202479752024798,0.637836216378362,0.313268673132687,0.512448755124488,0.902309769023098,0.258174182581742,0.57004299570043,0.556144385561444,0.875512448755124,0.882111788821118,0.696030396960304,0.32036796320368,0.518448155184482,0.654334566543346,0.463053694630537,0.763123687631237,0.697730226977302,0.997000299970003,0.781521847815218,0.942005799420058,0.786121387861214,0.960903909609039,0.364263573642636,0.836816318368163,0.62013798620138,0.0852914708529147,0.278772122787721,0.993900609939006,0.328967103289671,0.520747925207479
"SNP-59_1",0.73012698730127,0.443355664433557,0.253374662533747,0.0324967503249675,0.903609639036096,0.268773122687731,0.758824117588241,0.610638936106389,0.547045295470453,0.706229377062294,0.568143185681432,0.866813318668133,0.64003599640036,0.934406559344066,0.950904909509049,0.616438356164384,0.0405959404059594,0.508049195080492,0.382461753824618,0.508849115088491,0.212778722127787,0.827917208279172,0.535046495350465,0.150984901509849,0.0205979402059794,0.0194980501949805,0.486851314868513,0.821817818218178,0.0278972102789721,0.890910908909109,0.531446855314469,0.856214378562144,0.41955804419558,0.42985701429857,0.483951604839516,0.358364163583642,0.855914408559144,0.502049795020498,0.475252474752525,0.819418058194181,0.736426357364264,0.821917808219178,0.553544645535446,0.0105989401059894,0.772122787721228,0.730526947305269,0.832916708329167,0.44995500449955,0.103389661033897,0.611038896110389
"SNP-59_2",0.375062493750625,0.442055794420558,0.107989201079892,0.752024797520248,0.935806419358064,0.865413458654135,0.263373662633737,0.455854414558544,0.181881811818818,0.621837816218378,0.623037696230377,0.264173582641736,0.217578242175782,0.185581441855814,0.303369663033697,0.9004099590041,0.554144585541446,0.51004899510049,0.454954504549545,0.687031296870313,0.366563343665633,0.840715928407159,0.221077892210779,0.422857714228577,0.565243475652435,0.348865113488651,0.788521147885211,0.741625837416258,0.21037896210379,0.956504349565043,0.166483351664834,0.630936906309369,0.672332766723328,0.812718728127187,0.431656834316568,0.812518748125187,0.117288271172883,0.646935306469353,0.0134986501349865,0.87961203879612,0.470752924707529,0.751724827517248,0.157384261573843,0.0403959604039596,0.971602839716028,0.743825617438256,0.487651234876512,0.857014298570143,0.206979302069793,0.482251774822518
"SNP-63_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.208279172082792,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.012998700129987,0.0230976902309769,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0282971702829717,0.0260973902609739,9.99900009999e-05,9.99900009999e-05,0.0203979602039796,9.99900009999e-05,0.0128987101289871,0.0267973202679732,9.99900009999e-05,0.0030996900309969,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0618938106189381,0.453054694530547,0.0277972202779722,9.99900009999e-05,0.406859314068593,0.603739626037396,0.102289771022898,0.188581141885811,9.99900009999e-05,0.000999900009999,0.0014998500149985
"SNP-63_2",0.578842115788421,0.766623337666233,0.491850814918508,0.484751524847515,0.498550144985501,0.538146185381462,0.43025697430257,0.872712728727127,0.312068793120688,0.276072392760724,0.85971402859714,0.830716928307169,0.217178282171783,0.469053094690531,0.461153884611539,0.828017198280172,0.273572642735726,0.814818518148185,0.193280671932807,0.26977302269773,0.538546145385461,0.553044695530447,0.771322867713229,0.723227677232277,0.764223577642236,0.971102889711029,0.742825717428257,0.72962703729627,0.303269673032697,0.292070792920708,0.289071092890711,0.90990900909909,0.392260773922608,0.59024097590241,0.274472552744726,0.634436556344366,0.365963403659634,0.474052594740526,0.398460153984602,0.922607739226077,0.467753224677532,0.0173982601739826,0.328767123287671,0.539046095390461,0.511448855114489,0.875812418758124,0.673632636736326,0.671732826717328,0.298770122987701,0.473752624737526
"SNP-76_1",9.99900009999e-05,0.0174982501749825,9.99900009999e-05,9.99900009999e-05,0.257074292570743,0.212478752124788,0.421557844215578,0.0130986901309869,0.425857414258574,0.641835816418358,9.99900009999e-05,9.99900009999e-05,0.194580541945805,0.3998600139986,0.0261973802619738,9.99900009999e-05,9.99900009999e-05,0.581541845815418,0.0997900209979002,0.486551344865513,0.0964903509649035,0.292070792920708,0.0938906109389061,0.0565943405659434,0.0413958604139586,0.0141985801419858,0.233076692330767,9.99900009999e-05,9.99900009999e-05,0.011998800119988,0.207879212078792,0.118388161183882,0.481651834816518,9.99900009999e-05,0.0124987501249875,9.99900009999e-05,0.164083591640836,0.0084991500849915,0.27987201279872,0.661733826617338,0.256674332566743,0.552244775522448,0.379062093790621,0.831816818318168,0.423957604239576,0.789021097890211,0.562743725627437,9.99900009999e-05,0.027997200279972,0.188981101889811
"SNP-76_2",0.755424457554245,0.816518348165183,0.413958604139586,0.322067793220678,0.523347665233477,0.565243475652435,0.927307269273073,0.562143785621438,0.603839616038396,0.433756624337566,0.700829917008299,9.99900009999e-05,0.142685731426857,0.730626937306269,0.816618338166183,0.700729927007299,0.396760323967603,0.875012498750125,0.787821217878212,0.655234476552345,0.855814418558144,0.875412458754125,0.547645235476452,0.361263873612639,0.75982401759824,0.185281471852815,0.567643235676432,0.883011698830117,0.485451454854515,0.706829317068293,0.289171082891711,0.943705629437056,0.0216978302169783,0.578442155784422,0.842415758424158,0.875212478752125,0.483651634836516,0.460853914608539,0.271072892710729,0.823217678232177,0.0266973302669733,0.555544445555444,0.0863913608639136,0.0424957504249575,0.821617838216178,0.729227077292271,0.718028197180282,0.214878512148785,0.471952804719528,0.442155784421558
"SNP-83_1",9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.168083191680832,0.0761923807619238,9.99900009999e-05,9.99900009999e-05,0.0132986701329867,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0500949905009499,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0692930706929307,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0666933306669333,0.0031996800319968,0.0105989401059894,9.99900009999e-05,9.99900009999e-05,0.060993900609939,9.99900009999e-05,9.99900009999e-05,0.155784421557844,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0123987601239876,9.99900009999e-05,0.0174982501749825,0.0054994500549945,0.0132986701329867,9.99900009999e-05,0.500749925007499,9.99900009999e-05,0.0181981801819818,9.99900009999e-05,0.020997900209979,9.99900009999e-05,9.99900009999e-05,0.294770522947705,0.926307369263074,0.0394960503949605,0.0564943505649435
"SNP-83_2",0.511848815118488,0.333366663333667,0.74962503749625,0.432056794320568,0.317668233176682,0.346865313468653,0.663933606639336,0.854114588541146,0.0454954504549545,0.397260273972603,0.505649435056494,0.441255874412559,0.493750624937506,0.16028397160284,0.535446455354465,0.524747525247475,0.0727927207279272,0.815718428157184,0.649335066493351,0.209179082091791,0.218278172182782,0.667433256674333,0.392360763923608,0.36026397360264,0.334066593340666,0.347065293470653,0.234676532346765,0.48025197480252,0.313368663133687,0.690730926907309,0.25017498250175,0.153484651534847,0.338566143385661,0.328967103289671,0.539046095390461,0.436856314368563,0.418358164183582,0.748525147485251,0.257974202579742,0.311168883111689,0.137286271372863,0.318568143185681,0.353664633536646,0.79012098790121,0.913608639136086,0.222977702229777,0.527847215278472,0.475652434756524,0.265073492650735,0.565443455654435
