"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-44_1",0.159184081591841,0.515748425157484,9.99900009999e-05,0.0050994900509949,0.000999900009999,0.241175882411759,0.42995700429957,0.211578842115788,0.586841315868413,0.0056994300569943,0.0051994800519948,9.99900009999e-05,0.0760923907609239,0.282671732826717,0.0254974502549745,0.628937106289371,0.0056994300569943,0.0623937606239376,0.0948905109489051,0.0083991600839916,0.237576242375762,0.736926307369263,0.430856914308569,0.460853914608539,0.281871812818718,0.314368563143686,0.483851614838516,0.181981801819818,0.411658834116588,0.426157384261574,0.0033996600339966,0.607239276072393,0.305069493050695,0.841615838416158,0.300969903009699,0.556344365563444,0.436356364363564,0.152184781521848,0.0057994200579942,0.101689831016898,0.62013798620138,0.34016598340166,9.99900009999e-05,0.222377762223778,0.854114588541146,0.795820417958204,0.548245175482452,0.791920807919208,0.476552344765523,0.652634736526347
"SNP-44_2",0.383961603839616,0.399160083991601,0.30996900309969,0.317268273172683,0.257174282571743,0.273072692730727,0.227577242275772,0.32046795320468,0.356764323567643,0.32006799320068,0.447955204479552,0.322867713228677,0.242275772422758,0.238976102389761,0.356664333566643,0.14028597140286,0.161883811618838,0.296470352964704,0.243975602439756,0.315768423157684,0.321967803219678,0.224877512248775,0.399260073992601,0.488551144885511,0.405359464053595,0.370962903709629,0.17998200179982,0.236176382361764,0.208679132086791,0.381061893810619,0.300569943005699,0.263573642635736,0.46955304469553,0.116088391160884,0.341065893410659,0.172382761723828,0.250974902509749,0.407059294070593,0.254074592540746,0.463953604639536,0.32026797320268,0.263473652634737,0.290670932906709,0.4004599540046,0.224877512248775,0.362363763623638,0.454854514548545,0.576442355764424,0.13028697130287,0.288071192880712
"SNP-59_1",0.325167483251675,0.251374862513749,0.142285771422858,0.245075492450755,0.350564943505649,0.287671232876712,0.142885711428857,0.176282371762824,0.0062993700629937,0.53984601539846,0.23987601239876,0.246875312468753,0.283371662833717,0.0771922807719228,0.0048995100489951,0.371262873712629,0.23997600239976,0.234776522347765,0.195980401959804,0.00999900009999,0.31986801319868,0.433456654334567,0.230876912308769,0.223577642235776,0.133586641335866,0.315368463153685,0.261473852614739,0.163183681631837,0.226477352264774,0.451854814518548,0.181281871812819,0.341665833416658,0.198480151984802,0.212478752124788,0.0516948305169483,0.184881511848815,0.429357064293571,0.158984101589841,0.148185181481852,0.414558544145585,0.46995300469953,0.0986901309869013,0.140785921407859,0.292670732926707,0.278672132786721,0.401559844015598,0.611238876112389,0.648135186481352,0.241475852414759,0.673532646735326
"SNP-59_2",0.0595940405959404,0.0974902509749025,0.274272572742726,0.298770122987701,0.471552844715528,0.44025597440256,0.369463053694631,0.270772922707729,0.165683431656834,0.457254274572543,0.0928907109289071,0.362563743625637,0.363863613638636,0.187081291870813,0.127287271272873,0.2001799820018,0.211978802119788,0.238276172382762,0.356564343565643,0.0155984401559844,0.0246975302469753,0.235776422357764,0.255574442555744,0.134286571342866,0.251874812518748,0.234376562343766,0.307569243075692,0.236876312368763,0.399060093990601,0.191080891910809,0.171482851714829,0.277172282771723,0.015998400159984,0.206679332066793,0.494150584941506,0.148285171482852,0.575442455754425,0.348965103489651,0.237076292370763,0.336966303369663,0.411258874112589,0.31976802319768,0.143085691430857,0.196180381961804,0.785921407859214,0.256474352564744,0.162283771622838,0.941205879412059,0.507249275072493,0.426057394260574
"SNP-63_1",0.0004999500049995,0.0002999700029997,0.0160983901609839,9.99900009999e-05,0.0947905209479052,0.0970902909709029,0.141785821417858,0.0035996400359964,9.99900009999e-05,0.158284171582842,0.0973902609739026,9.99900009999e-05,0.0070992900709929,0.188081191880812,0.0956904309569043,9.99900009999e-05,0.0003999600039996,0.034996500349965,0.0811918808119188,0.180781921807819,0.162283771622838,0.0377962203779622,0.0764923507649235,0.126187381261874,0.0394960503949605,0.0627937206279372,9.99900009999e-05,0.0711928807119288,0.12978702129787,0.0117988201179882,0.11988801119888,0.0387961203879612,0.0836916308369163,9.99900009999e-05,0.17998200179982,0.0030996900309969,0.232376762323768,0.100989901009899,0.134086591340866,9.99900009999e-05,0.0006999300069993,0.104489551044896,0.0085991400859914,0.107889211078892,0.604039596040396,0.177982201779822,0.121587841215878,9.99900009999e-05,0.0672932706729327,0.808919108089191
"SNP-63_2",0.26997300269973,0.288671132886711,0.391960803919608,0.376362363763624,0.271872812718728,0.383661633836616,0.306869313068693,0.398160183981602,0.496050394960504,0.315268473152685,0.406159384061594,0.402059794020598,0.321567843215678,0.429357064293571,0.26977302269773,0.384861513848615,0.252374762523748,0.4002599740026,0.332566743325667,0.268973102689731,0.378962103789621,0.26037396260374,0.42045795420458,0.426457354264574,0.313068693130687,0.446455354464554,0.406159384061594,0.387261273872613,0.346165383461654,0.386861313868613,0.27997200279972,0.277172282771723,0.453954604539546,0.445155484451555,0.41975802419758,0.462753724627537,0.362963703629637,0.325767423257674,0.314668533146685,0.233776622337766,0.416758324167583,0.337566243375662,0.398360163983602,0.304669533046695,0.3999600039996,0.490950904909509,0.358564143585641,0.478652134786521,0.52024797520248,0.394160583941606
"SNP-76_1",0.137686231376862,0.184481551844816,0.123087691230877,0.0546945305469453,0.326467353264674,0.456054394560544,0.0486951304869513,0.117688231176882,0.214278572142786,0.371362863713629,0.204279572042796,0.0280971902809719,0.0504949505049495,0.0180981901809819,0.107789221077892,0.0274972502749725,0.125187481251875,0.255674432556744,9.99900009999e-05,0.0783921607839216,0.018998100189981,0.311168883111689,0.141485851414859,0.19008099190081,0.0241975802419758,0.223577642235776,0.226077392260774,0.0024997500249975,0.0227977202279772,0.125187481251875,0.424557544245575,0.131486851314869,0.287371262873713,0.0201979802019798,0.393560643935606,0.143785621437856,0.470552944705529,0.250774922507749,0.213478652134787,0.272972702729727,0.085991400859914,0.0194980501949805,0.0625937406259374,0.372162783721628,0.656234376562344,0.503549645035496,0.352364763523648,9.99900009999e-05,0.344565543445655,0.837316268373163
"SNP-76_2",0.0496950304969503,0.539346065393461,0.493150684931507,0.44005599440056,0.295270472952705,0.312268773122688,0.430656934306569,0.487551244875512,0.443755624437556,0.369163083691631,0.47025297470253,0.344765523447655,0.338866113388661,0.608639136086391,0.335066493350665,0.604939506049395,0.495050494950505,0.602039796020398,0.465553444655534,0.505149485051495,0.252774722527747,0.576742325767423,0.556244375562444,0.337366263373663,0.0508949105089491,0.480751924807519,0.492450754924508,0.304769523047695,0.280871912808719,0.536146385361464,0.311168883111689,0.498650134986501,0.438156184381562,0.433156684331567,0.659334066593341,0.400559944005599,0.419058094190581,0.373162683731627,0.605939406059394,0.335266473352665,0.472652734726527,0.510848915108489,0.415558444155584,0.301569843015698,0.683531646835316,0.409259074092591,0.348965103489651,0.363863613638636,0.38976102389761,0.514848515148485
"SNP-83_1",0.0002999700029997,0.394560543945605,0.0430956904309569,0.115288471152885,0.418458154184582,0.105289471052895,0.386961303869613,0.0824917508249175,0.0753924607539246,0.001999800019998,0.0791920807919208,0.132186781321868,0.0866913308669133,0.21987801219878,0.0522947705229477,0.216978302169783,0.0885911408859114,0.0204979502049795,0.117188281171883,0.0627937206279372,0.065993400659934,0.387161283871613,0.327467253274673,0.0003999600039996,0.24037596240376,0.1995800419958,0.0615938406159384,0.0850914908509149,0.148085191480852,0.216778322167783,0.48015198480152,0.0085991400859914,0.312768723127687,0.474152584741526,0.113388661133887,0.542245775422458,0.0185981401859814,0.0873912608739126,0.0013998600139986,0.107389261073893,0.264973502649735,0.425257474252575,0.377662233776622,0.0462953704629537,0.961803819618038,0.256274372562744,0.0638936106389361,0.364263573642636,0.550944905509449,0.0930906909309069
"SNP-83_2",0.153484651534847,0.24017598240176,0.306569343065693,0.777222277772223,0.364563543645635,0.387261273872613,0.488151184881512,0.759124087591241,0.743925607439256,0.471352864713529,0.687731226877312,0.337366263373663,0.826317368263174,0.193380661933807,0.448355164483552,0.354964503549645,0.646235376462354,0.764123587641236,0.418958104189581,0.512948705129487,0.805819418058194,0.532346765323468,0.152784721527847,0.64003599640036,0.825317468253175,0.0938906109389061,0.478352164783522,0.177182281771823,0.334966503349665,0.198480151984802,0.254774522547745,0.151284871512849,0.877112288771123,0.493650634936506,0.185281471852815,0.786821317868213,0.284371562843716,0.705529447055295,0.295570442955704,0.133186681331867,0.421457854214579,0.712228777122288,0.372362763723628,0.625337466253375,0.563243675632437,0.62003799620038,0.86051394860514,0.751824817518248,0.102289771022898,0.600739926007399
