"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-1_1",0.7936031984008,0.221389305347326,0.391304347826087,0.247876061969015,0.51424287856072,0.638680659670165,0.209895052473763,0.746626686656672,0.257371314342829,0.121939030484758,0.549225387306347,0.454272863568216,0.488255872063968,0.840579710144927,0.865567216391804,0.631684157921039,0.224887556221889,0.230884557721139,0.740129935032484,0.262868565717141,0.776111944027986,0.252373813093453,0.0935814602372788,0.407796101949025,0.374812593703148,0.709145427286357,0.608695652173913,0.225387306346827,0.580709645177411,0.664167916041979,0.0884969874685298,0.605697151424288,0.284357821089455,0.586706646676662,0.440779610194903,0.542228885557221,0.462268865567216,0.756621689155422,0.414792603698151,0.654172913543228,0.0795789523027473,0.303848075962019,0.193403298350825,0.844577711144428,0.772113943028486,0.12143928035982,0.0963538876428242,0.378810594702649,0.431784107946027,0.568715642178911
"SNP-1_2",0.542228885557221,0.086696469312346,0.235382308845577,0.137931034482759,0.32183908045977,0.403298350824588,0.23688155922039,0.139930034982509,0.470764617691154,0.239380309845077,0.189405297351324,0.0830624422429743,0.678660669665167,0.132433783108446,0.417291354322839,0.269365317341329,0.305347326336832,0.11944027986007,0.468265867066467,0.271864067966017,0.591704147926037,0.36631684157921,0.489255372313843,0.312843578210895,0.484257871064468,0.0964719238840411,0.264867566216892,0.129435282358821,0.192903548225887,0.0870608787569122,0.31584207896052,0.784607696151924,0.0900087078418287,0.254372813593203,0.0757941942746515,0.16391804097951,0.516741629185407,0.0854796960062058,0.102948525737131,0.388305847076462,0.657171414292854,0.223388305847076,0.424787606196902,0.556221889055472,0.780609695152424,0.825587206396802,0.384807596201899,0.156921539230385,0.235882058970515,0.466266866566717
"SNP-2_1",0.331334332833583,0.497251374312844,0.549725137431284,0.241379310344828,0.71464267866067,0.543228385807096,0.252873563218391,0.16391804097951,0.0887052837951563,0.0735490169915566,0.149425287356322,0.511744127936032,0.43328335832084,0.0730795224214892,0.197401299350325,0.868565717141429,0.453773113443278,0.257371314342829,0.167416291854073,0.282358820589705,0.197901049475262,0.105447276361819,0.67416291854073,0.307346326836582,0.533233383308346,0.303848075962019,0.371314342828586,0.0724710289438088,0.278360819590205,0.868565717141429,0.249375312343828,0.24487756121939,0.832583708145927,0.295352323838081,0.481259370314843,0.278360819590205,0.245377311344328,0.335332333833083,0.111444277861069,0.0712813758588977,0.40679660169915,0.0825592654205839,0.465767116441779,0.268865567216392,0.950524737631184,0.297351324337831,0.175912043978011,0.882058970514743,0.145427286356822,0.237881059470265
"SNP-2_2",0.328835582208896,0.330334832583708,0.460769615192404,0.226886556721639,0.694152923538231,0.438280859570215,0.72463768115942,0.212893553223388,0.408295852073963,0.307846076961519,0.240379810094953,0.484257871064468,0.646676661669165,0.520739630184908,0.387806096951524,0.896551724137931,0.144927536231884,0.487756121939031,0.411294352823588,0.557221389305347,0.458770614692654,0.177911044477761,0.0745673526161439,0.523238380809595,0.645177411294353,0.708145927036482,0.633183408295852,0.373813093453273,0.180409795102449,0.713143428285857,0.705647176411794,0.606196901549225,0.307846076961519,0.950024987506247,0.910544727636182,0.460769615192404,0.822588705647176,0.0937218368712486,0.102948525737131,0.533233383308346,0.912043978010994,0.582208895552224,0.176911544227886,0.622188905547226,0.247376311844078,0.195902048975512,0.211394302848576,0.321339330334833,0.458270864567716,0.417291354322839
"SNP-3_1",0.593703148425787,0.0842387533363974,0.31984007996002,0.138430784607696,0.60119940029985,0.616691654172913,0.653673163418291,0.732633683158421,0.283858070964518,0.319340329835082,0.144427786106947,0.205397301349325,0.305847076461769,0.691654172913543,0.55872063968016,0.847576211894053,0.261369315342329,0.0644185041871102,0.410794602698651,0.661169415292354,0.318340829585207,0.903548225887057,0.338830584707646,0.199900049975012,0.193903048475762,0.577211394302849,0.47576211894053,0.198900549725137,0.333833083458271,0.67216391804098,0.737631184407796,0.627186406796602,0.605697151424288,0.422788605697151,0.517741129435282,0.280859570214893,0.48575712143928,0.809095452273863,0.353823088455772,0.708645677161419,0.468265867066467,0.0835253415177236,0.710644677661169,0.486256871564218,0.413793103448276,0.446276861569215,0.682658670664668,0.703148425787106,0.316841579210395,0.559720139930035
"SNP-3_2",0.72063968015992,0.4007996001999,0.336831584207896,0.236381809095452,0.146926536731634,0.68815592203898,0.695152423788106,0.359820089955023,0.137431284357821,0.668165917041479,0.35632183908046,0.239380309845077,0.281859070464768,0.167416291854073,0.281859070464768,0.405297351324338,0.223388305847076,0.2063968015992,0.823088455772114,0.513743128435782,0.148925537231384,0.109445277361319,0.390804597701149,0.56671664167916,0.297351324337831,0.305847076461769,0.336831584207896,0.422288855572214,0.0884952208630856,0.715142428785607,0.622688655672164,0.175412293853073,0.278360819590205,0.23888055972014,0.527736131934033,0.152423788105947,0.598700649675162,0.284857571214393,0.120939530234883,0.413793103448276,0.19640179910045,0.251374312843578,0.805097451274363,0.453773113443278,0.228885557221389,0.0936008650436876,0.689155422288856,0.999500249875062,0.175912043978011,0.513243378310845
"SNP-4_1",0.653173413293353,0.235882058970515,0.220889555222389,0.123938030984508,0.223388305847076,0.338330834582709,0.135432283858071,0.626186906546727,0.372313843078461,0.382808595702149,0.410794602698651,0.12343828085957,0.174412793603198,0.839080459770115,0.667166416791604,0.316341829085457,0.269865067466267,0.278860569715142,0.747126436781609,0.218890554722639,0.197901049475262,0.362818590704648,0.0729493256046819,0.144927536231884,0.174412793603198,0.508245877061469,0.311844077961019,0.0816024506196684,0.387306346826587,0.655672163918041,0.320339830084958,0.360819590204898,0.315342328835582,0.587706146926537,0.597701149425287,0.374812593703148,0.454272863568216,0.444777611194403,0.291354322838581,0.275862068965517,0.11944027986007,0.332833583208396,0.364817591204398,0.4007996001999,0.263868065967017,0.0789130599496996,0.569215392303848,0.840579710144927,0.243378310844578,0.260869565217391
"SNP-4_2",0.508245877061469,0.263868065967017,0.0835544768715137,0.130434782608696,0.32783608195902,0.331334332833583,0.381309345327336,0.175912043978011,0.0741406438566328,0.0882065352921521,0.130934532733633,0.082046247585174,0.195402298850575,0.173913043478261,0.135932033983008,0.773613193403298,0.0920276010413518,0.340329835082459,0.216391804097951,0.226386806596702,0.110944527736132,0.205897051474263,0.0715206701968843,0.116941529235382,0.0931453578296161,0.278860569715142,0.368315842078961,0.0605202905393636,0.429785107446277,0.333833083458271,0.101949025487256,0.304347826086957,0.158920539730135,0.588705647176412,0.343328335832084,0.550224887556222,0.198900549725137,0.0877684415751258,0.103448275862069,0.839080459770115,0.0778552717934254,0.307846076961519,0.0941337065307663,0.743128435782109,0.301349325337331,0.186906546726637,0.751624187906047,0.944527736131934,0.116441779110445,0.55672163918041
"SNP-5_1",0.611194402798601,0.602198900549725,0.510744627686157,0.282358820589705,0.351824087956022,0.0858777704720022,0.681659170414793,0.76111944027986,0.399300349825087,0.689655172413793,0.326836581709145,0.459770114942529,0.252873563218391,0.48175912043978,0.726136931534233,0.460269865067466,0.419790104947526,0.438280859570215,0.616691654172913,0.393303348325837,0.432283858070965,0.822088955522239,0.131434282858571,0.403298350824588,0.659670164917541,0.80359820089955,0.737631184407796,0.0908477273467044,0.274862568715642,0.599700149925038,0.575712143928036,0.611694152923538,0.408295852073963,0.757621189405297,0.468765617191404,0.497251374312844,0.715642178910545,0.516741629185407,0.465767116441779,0.979010494752624,0.105947026486757,0.367316341829085,0.264867566216892,0.897051474262869,0.428285857071464,0.44327836081959,0.0944281080037267,0.916541729135432,0.315342328835582,0.657171414292854
"SNP-5_2",0.102448775612194,0.0733626191600569,0.320839580209895,0.0817326906425684,0.434782608695652,0.215892053973014,0.250374812593703,0.0878196805486572,0.0758388059470732,0.0761815371376143,0.0648338625715744,0.235882058970515,0.101449275362319,0.386806596701649,0.368815592203898,0.449775112443778,0.157421289355322,0.0632247874765383,0.31984007996002,0.15392303848076,0.135432283858071,0.333333333333333,0.330834582708646,0.0849209976204362,0.0906397627816265,0.451274362818591,0.0845307459355661,0.392303848075962,0.229885057471264,0.200899550224888,0.502248875562219,0.286856571714143,0.446276861569215,0.075385339434368,0.128435782108946,0.0692837007723903,0.310844577711144,0.131934032983508,0.401799100449775,0.0753350166483759,0.186906546726637,0.0715447724599886,0.1944027986007,0.467766116941529,0.687656171914043,0.659670164917541,0.269865067466267,0.233883058470765,0.146426786606697,0.316841579210395
"SNP-6_1",0.0665629656132979,0.0650536026014528,0.0685833644757155,0.0673647717567291,0.0721314255462904,0.0627980605846492,0.0603466920929903,0.0679557103325281,0.0619380978860791,0.0652201971086228,0.0589408562226929,0.0657886664409323,0.058658567985363,0.206896551724138,0.0733338141674016,0.0689834216309934,0.0629087704655934,0.0593734933088945,0.0695944876940145,0.0913345530012058,0.0676998684682469,0.0797535873207529,0.154922538730635,0.060883791846468,0.0776540332077522,0.0663080759011215,0.143928035982009,0.0601676347319912,0.082385914993639,0.0738499013862296,0.0693222546111138,0.15992003998001,0.0576740878565783,0.0675811150260951,0.0622730068497692,0.0603549428131236,0.061115416284467,0.226886556721639,0.0598636562919789,0.892553723138431,0.0720660897184059,0.065654664378409,0.0706543741187208,0.0803402138073525,0.67816091954023,0.0896476304517073,0.381809095452274,0.736131934032983,0.0698851486091706,0.0731944654245884
"SNP-6_2",0.48575712143928,0.613693153423288,0.610694652673663,0.411294352823588,0.515742128935532,0.665667166416792,0.846576711644178,0.776611694152924,0.473263368315842,0.792603698150925,0.640179910044978,0.457771114442779,0.3928035982009,0.619690154922539,0.592203898050975,0.581209395302349,0.286356821589205,0.318840579710145,0.48175912043978,0.418290854572714,0.399300349825087,0.563218390804598,0.129435282358821,0.654672663668166,0.579210394802599,0.514742628685657,0.671664167916042,0.789105447276362,0.357321339330335,0.569215392303848,0.317341329335332,0.414292853573213,0.56271864067966,0.262868565717141,0.815092453773113,0.495252373813093,0.689655172413793,0.840579710144927,0.868065967016492,0.829585207396302,0.347326336831584,0.616191904047976,0.72263868065967,0.177911044477761,0.575212393803098,0.209895052473763,0.103448275862069,0.888555722138931,0.230884557721139,0.52623688155922
