"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_G2M_CHECKPOINT","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_MYOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_COMPLEMENT","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","HALLMARK_HEME_METABOLISM","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_MITOTIC_SPINDLE","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_APOPTOSIS","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_UV_RESPONSE_UP","HALLMARK_DNA_REPAIR","HALLMARK_UV_RESPONSE_DN","HALLMARK_COAGULATION","HALLMARK_SPERMATOGENESIS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PEROXISOME","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_PROTEIN_SECRETION","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MYC_TARGETS_V2","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_APICAL_SURFACE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING"
"SNP-1_1",0.809595202398801,0.247376311844078,0.336831584207896,0.133933033483258,0.525737131434283,0.538230884557721,0.226886556721639,0.677661169415292,0.269365317341329,0.138930534732634,0.567216391804098,0.39880059970015,0.471264367816092,0.88255872063968,0.879060469765117,0.549725137431284,0.168415792103948,0.261869065467266,0.701649175412294,0.279860069965017,0.753623188405797,0.324837581209395,0.0215515252942938,0.393803098450775,0.399300349825087,0.710644677661169,0.564217891054473,0.212893553223388,0.528235882058971,0.644677661169415,0.0596266011336966,0.600199900049975,0.301349325337331,0.628185907046477,0.419790104947526,0.532233883058471,0.463268365817091,0.697651174412794,0.426286856571714,0.540229885057471,0.0273965998230755,0.305847076461769,0.225887056471764,0.858570714642679,0.769115442278861,0.0449978003597979,0.113943028485757,0.333333333333333,0.418290854572714,0.518740629685157
"SNP-1_2",0.607196401799101,0.0583706899650311,0.293853073463268,0.147426286856572,0.319340329835082,0.450274862568716,0.263368315842079,0.111944027986007,0.505247376311844,0.262368815592204,0.189905047476262,0.0696141212637504,0.680659670164918,0.162418790604698,0.441779110444778,0.283858070964518,0.329835082458771,0.125937031484258,0.445777111444278,0.233383308345827,0.626186906546727,0.334332833583208,0.418790604697651,0.308845577211394,0.521739130434783,0.0681159171743206,0.251874062968516,0.110444777611194,0.199900049975012,0.0538607802073386,0.334832583708146,0.729635182408796,0.0698014209444224,0.265367316341829,0.0410003385543597,0.171414292853573,0.613693153423288,0.0381705122912376,0.0628813435410654,0.278860569715142,0.719640179910045,0.174412793603198,0.412293853073463,0.567716141929036,0.747126436781609,0.770614692653673,0.351824087956022,0.0661118973809703,0.312343828085957,0.436781609195402
"SNP-2_1",0.359320339830085,0.538730634682659,0.607696151924038,0.261869065467266,0.743628185907046,0.484757621189405,0.254872563718141,0.228385807096452,0.0666239931266075,0.0231119436089943,0.176411794102949,0.526736631684158,0.427286356821589,0.0238504578398134,0.28535732133933,0.886056971514243,0.39880059970015,0.273863068465767,0.191904047976012,0.254372813593203,0.189905047476262,0.114942528735632,0.629685157421289,0.272363818090955,0.546726636681659,0.310844577711144,0.369315342328836,0.0439662510128913,0.249875062468766,0.859070464767616,0.294352823588206,0.236381809095452,0.834582708645677,0.218890554722639,0.516741629185407,0.253373313343328,0.252873563218391,0.382308845577211,0.0453011907959864,0.00383353283499788,0.358820589705147,0.0361997645290569,0.443778110944528,0.257871064467766,0.955022488755622,0.219390304847576,0.186406796601699,0.916041979010495,0.214392803598201,0.32783608195902
"SNP-2_2",0.343828085957021,0.380309845077461,0.506746626686657,0.230384807596202,0.679160419790105,0.48175912043978,0.768615692153923,0.285857071464268,0.487256371814093,0.351324337831084,0.264367816091954,0.534232883558221,0.679160419790105,0.648175912043978,0.458770614692654,0.88655672163918,0.149425287356322,0.55472263868066,0.488755622188906,0.609695152423788,0.440279860069965,0.1944027986007,0.0162189782702753,0.624187906046976,0.705647176411794,0.706646676661669,0.700649675162419,0.382308845577211,0.1984007996002,0.665167416291854,0.662668665667166,0.63768115942029,0.302848575712144,0.948525737131434,0.890554722638681,0.519740129935032,0.83208395802099,0.124937531234383,0.111444277861069,0.421289355322339,0.930534732633683,0.665667166416792,0.164417791104448,0.627186406796602,0.231384307846077,0.195902048975512,0.195402298850575,0.253373313343328,0.573213393303348,0.410794602698651
"SNP-3_1",0.576211894052973,0.120939530234883,0.343328335832084,0.225887056471764,0.602698650674663,0.667666166916542,0.614192903548226,0.749125437281359,0.27536231884058,0.35632183908046,0.15192403798101,0.234382808595702,0.371814092953523,0.744627686156922,0.523238380809595,0.785607196401799,0.343828085957021,0.0261898927976243,0.366816591704148,0.663168415792104,0.290354822588706,0.888555722138931,0.381809095452274,0.263868065967017,0.229385307346327,0.546226886556722,0.464767616191904,0.217391304347826,0.377311344327836,0.715142428785607,0.820589705147426,0.646676661669165,0.681659170414793,0.469765117441279,0.560219890054973,0.311344327836082,0.530734632683658,0.799100449775112,0.318340829585207,0.582208895552224,0.363818090954523,0.0718925962634229,0.738130934532734,0.462768615692154,0.372813593203398,0.389805097451274,0.783608195902049,0.76711644177911,0.478760619690155,0.591204397801099
"SNP-3_2",0.700149925037481,0.43528235882059,0.430284857571214,0.264367816091954,0.265367316341829,0.717141429285357,0.741629185407296,0.392303848075962,0.223388305847076,0.681659170414793,0.43328335832084,0.311344327836082,0.43528235882059,0.24687656171914,0.168915542228886,0.43928035982009,0.286856571714143,0.254372813593203,0.84607696151924,0.546726636681659,0.16791604197901,0.0717333870496297,0.384807596201899,0.645177411294353,0.401299350324838,0.353323338330835,0.444277861069465,0.469765117441279,0.0751394573222185,0.772113943028486,0.721139430284858,0.213893053473263,0.382308845577211,0.264867566216892,0.551724137931034,0.151424287856072,0.618690654672664,0.36431784107946,0.177411294352824,0.35832083958021,0.211394302848576,0.411794102948526,0.848575712143928,0.372813593203398,0.210394802598701,0.0585256346213211,0.678660669665167,0.999000499750125,0.1984007996002,0.508745627186407
"SNP-4_1",0.650174912543728,0.230384807596202,0.175412293853073,0.0120787992476938,0.16591704147926,0.276861569215392,0.125937031484258,0.600699650174913,0.295352323838081,0.43728135932034,0.36231884057971,0.0611867630693613,0.178910544727636,0.838580709645177,0.651674162918541,0.305847076461769,0.0661186999722081,0.283858070964518,0.722138930534733,0.154422788605697,0.193403298350825,0.345827086456772,0.0011867788119645,0.144427786106947,0.168415792103948,0.543728135932034,0.245877061469265,0.0189859702445494,0.381309345327336,0.569215392303848,0.348825587206397,0.344827586206897,0.322338830584708,0.648175912043978,0.587706146926537,0.368315842078961,0.474762618690655,0.411794102948526,0.240379810094953,0.2023988005997,0.100449775112444,0.292353823088456,0.32783608195902,0.365317341329335,0.149425287356322,0.0274476326023129,0.619190404797601,0.766616691654173,0.213893053473263,0.324837581209395
"SNP-4_2",0.610694652673663,0.340829585207396,0.0761523409708527,0.138930534732634,0.334832583708146,0.390304847576212,0.433783108445777,0.259870064967516,0.0317115109652905,0.114442778610695,0.164417791104448,0.0794529942159076,0.228885557221389,0.158920539730135,0.183408295852074,0.787106446776612,0.0728764345420796,0.411794102948526,0.20439780109945,0.228885557221389,0.12143928035982,0.252373813093453,0.00795535121143609,0.176411794102949,0.114442778610695,0.340829585207396,0.409295352323838,0.00689519878702183,0.426786606696652,0.3968015992004,0.159420289855072,0.304347826086957,0.183908045977011,0.579710144927536,0.444277861069465,0.642678660669665,0.250874562718641,0.0664953711059495,0.133433283358321,0.879560219890055,0.0635400375941914,0.39880059970015,0.112943528235882,0.711644177911045,0.374812593703148,0.153423288355822,0.777611194402799,0.963018490754623,0.126436781609195,0.549225387306347
"SNP-5_1",0.594702648675662,0.682658670664668,0.493753123438281,0.27936031984008,0.305847076461769,0.103948025987006,0.654172913543228,0.76311844077961,0.373813093453273,0.679160419790105,0.320339830084958,0.485257371314343,0.310844577711144,0.551724137931034,0.706146926536732,0.489755122438781,0.449775112443778,0.500249875062469,0.632683658170915,0.401299350324838,0.474262868565717,0.843578210894553,0.128935532233883,0.461769115442279,0.681159420289855,0.811094452773613,0.758620689655172,0.0730110601724617,0.313343328335832,0.491754122938531,0.5992003998001,0.620189905047476,0.418790604697651,0.851574212893553,0.485257371314343,0.464767616191904,0.683658170914543,0.531234382808596,0.505247376311844,0.958020989505247,0.152423788105947,0.391804097951024,0.190904547726137,0.890554722638681,0.419790104947526,0.43928035982009,0.132433783108446,0.948525737131434,0.348825587206397,0.562218890554723
"SNP-5_2",0.163418290854573,0.039776000861883,0.339330334832584,0.0706494828319684,0.449275362318841,0.255872063968016,0.274862568715642,0.0452147233105837,0.0290628162540146,0.0426121902550509,0.0156549750742745,0.27736131934033,0.0807615372586021,0.5992003998001,0.473263368315842,0.43928035982009,0.167416291854073,0.0184338239117374,0.400299850074962,0.145427286356822,0.138930534732634,0.399300349825087,0.378310844577711,0.0477317091294979,0.11944027986007,0.425787106446777,0.0633600091882419,0.39480259870065,0.261869065467266,0.235382308845577,0.48175912043978,0.329335332333833,0.486756621689155,0.0112817216233433,0.148925537231384,0.0223407119735076,0.370314842578711,0.156421789105447,0.407796101949025,0.016484285540011,0.171414292853573,0.0176817112315564,0.248875562218891,0.565217391304348,0.665667166416792,0.702148925537231,0.317341329335332,0.196901549225387,0.15792103948026,0.457771114442779
